issue_id,reporter_col,component_col,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,summary_col,description_col,ST_col,Patch_col,CE_col,TC_col,EN_col,files_col,target_Security,target_Performance
72,Willem Jiang,camel-core,0.0,0.0,14.0,0.0,0.0,14.0, FileConfigureTest pass window box file configur test pass window box, file separ differ unix window system test pass window box attach patch pleas look test window box file separ differ unix window system test pass window box attach patch pleas look test window box,0,1,0,0,0,camel-core/src/test/java/org/apache/camel/component/file/FileConfigureTest.java;,0,0
84,Brian McCallister,camel-core,0.0,0.0,14.0,0.0,0.0,14.0, throw use except TypeConverter avail throw use except type convert avail, type convert avail NPE thrown requir trace sourc find root problem type convert avail NPE thrown requir trace sourc find root problem,0,1,0,0,1,camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java;camel-core/src/main/java/org/apache/camel/processor/ConvertBodyProcessor.java;,0,0
100,Aaron Crickenberger,camel-activemq,0.0,0.0,43.0,1.0,0.0,42.0, recent snapshot requir ActiveMQ recent snapshot requir activ MQ, may moot given project relationship recent introduc side effect recent snapshot abl use camel without ActiveMQ jar float around long never tri use activemq queue foo URI recent snapshot first time someth use AnnotationTypeCoverterLoader ActiveMQConverter get load caus NoClassDefFoundError ActiveMQDestination may moot given project relationship recent introduc side effect recent snapshot abl use camel without activ MQ jar float around long never tri use activemq queue foo URI recent snapshot first time someth use annot type covert loader activ MQ convert get load caus class def found error activ MQ destin,0,0,0,0,0,tests/camel-partial-classpath-test/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;tests/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyBean.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyConverter.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/META-INF/services/org/apache/camel/TypeConverter;camel-core/src/main/java/org/apache/camel/impl/DefaultComponentResolver.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;,0,0
112,james strachan,camel-activemq,1.0,0.0,19.0,0.0,0.0,20.0, JMSXGroupID copi across ActiveMQ endpoint JMSX group ID copi across activ MQ endpoint, see thread http www nabbl com MethodName header ignor beanRef tf html see thread http www nabbl com method name header ignor bean ref tf html,0,0,0,1,0,components/camel-activemq/src/test/java/org/apache/camel/component/activemq/ActiveMQReplyToHeaderUsingConverterTest.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/EndpointMessageListener.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsBinding.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsMessage.java;,0,0
132,james strachan,camel-http,0.0,0.0,5.0,0.0,0.0,5.0, enabl poll via http compon enabl poll via http compon,,0,0,0,0,0,components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpEndpoint.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpPollingConsumer.java;components/camel-http/src/test/java/org/apache/camel/component/http/HttpPollingGetTest.java;,0,0
143,Dejan Predovic,camel-core,0.0,0.0,12.0,0.0,1.0,11.0, XPath namespac configur possibl xml path namespac configur possibl xml, xpath xml element offer way defin namespac map xpath xml element offer way defin namespac map,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java;camel-core/src/main/java/org/apache/camel/model/language/ElementAwareExpression.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/main/java/org/apache/camel/spi/ElementAware.java;camel-core/src/test/java/org/apache/camel/builder/xml/XPathWithNamespacesFromDomTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;components/camel-spring/src/test/java/org/apache/camel/spring/processor/SpringXPathFilterWithNamespaceTest.java;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/xpathFilterWithNamespace.xml;camel-core/src/main/java/org/apache/camel/model/language/ExpressionType.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/test/java/org/apache/camel/processor/XPathFilterTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;,0,0
161,Bozhong Lin,null,0.0,0.0,11.0,0.0,0.0,11.0, URL link broken org apach camel processor API doc URL link broken org apach camel processor API doc, messag transform link broken messag transform link broken,0,0,0,1,0,camel-core/src/main/java/org/apache/camel/Processor.java;,0,0
166,Bozhong Lin,camel-core,0.0,1.0,21.0,0.0,0.0,22.0, org apach camel processor UnitOfWorkWithAsyncFlowTest failur org apach camel processor unit work async flow test failur, run org apach camel processor UnitOfWorkWithAsyncFlowTestTests run failur error skip time elaps sec lt lt lt FAILURE prevent develop build camel linux platform thank run org apach camel processor unit work async flow test test run failur error skip time elaps sec lt lt lt FAILURE prevent develop build camel linux platform thank,0,0,0,0,0,camel-core/pom.xml;camel-core/pom.xml;camel-core/src/test/java/org/apache/camel/processor/UnitOfWorkTest.java;,0,0
199,Gert Vanthienen,camel-core,1.0,1.0,19.0,0.0,0.0,21.0, new convert node sourc new convert node sourc, current convert node gt sourc requir use camel splitter function insid ServiceMix jbi servic urn eu java smx fleetintegr camel splitter xpath trace trace jbi endpoint urn eu java smx fleetintegr jm mq current convert node gt sourc requir use camel splitter function insid servic mix jbi servic urn eu java smx fleetintegr camel splitter xpath trace trace jbi endpoint urn eu java smx fleetintegr jm mq,0,1,1,0,0,camel-core/src/main/java/org/apache/camel/converter/jaxp/XmlConverter.java;camel-core/src/test/java/org/apache/camel/converter/JaxpTest.java;,0,0
210,Roman Kalukiewicz,camel-core,0.0,0.0,8.0,0.0,0.0,8.0, except claus proceed pipelin except claus proceed pipelin, problem similar CAMEL time except claus except clear pipelin proceed problem similar CAMEL time except claus except clear pipelin proceed,0,1,0,0,0,camel-core/src/main/java/org/apache/camel/processor/Pipeline.java;camel-core/src/test/java/org/apache/camel/processor/PipelineTest.java;camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;camel-core/src/main/java/org/apache/camel/util/ExchangeHelper.java;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;,0,0
