issue_id,summary_col,description_col,target_Security,target_Performance
72, FileConfigureTest pass window box file configur test pass window box, file separ differ unix window system test pass window box attach patch pleas look test window box file separ differ unix window system test pass window box attach patch pleas look test window box,0,0
84, throw use except TypeConverter avail throw use except type convert avail, type convert avail NPE thrown requir trace sourc find root problem type convert avail NPE thrown requir trace sourc find root problem,0,0
100, recent snapshot requir ActiveMQ recent snapshot requir activ MQ, may moot given project relationship recent introduc side effect recent snapshot abl use camel without ActiveMQ jar float around long never tri use activemq queue foo URI recent snapshot first time someth use AnnotationTypeCoverterLoader ActiveMQConverter get load caus NoClassDefFoundError ActiveMQDestination may moot given project relationship recent introduc side effect recent snapshot abl use camel without activ MQ jar float around long never tri use activemq queue foo URI recent snapshot first time someth use annot type covert loader activ MQ convert get load caus class def found error activ MQ destin,0,0
112, JMSXGroupID copi across ActiveMQ endpoint JMSX group ID copi across activ MQ endpoint, see thread http www nabbl com MethodName header ignor beanRef tf html see thread http www nabbl com method name header ignor bean ref tf html,0,0
132, enabl poll via http compon enabl poll via http compon,,0,0
143, XPath namespac configur possibl xml path namespac configur possibl xml, xpath xml element offer way defin namespac map xpath xml element offer way defin namespac map,0,0
161, URL link broken org apach camel processor API doc URL link broken org apach camel processor API doc, messag transform link broken messag transform link broken,0,0
166, org apach camel processor UnitOfWorkWithAsyncFlowTest failur org apach camel processor unit work async flow test failur, run org apach camel processor UnitOfWorkWithAsyncFlowTestTests run failur error skip time elaps sec lt lt lt FAILURE prevent develop build camel linux platform thank run org apach camel processor unit work async flow test test run failur error skip time elaps sec lt lt lt FAILURE prevent develop build camel linux platform thank,0,0
199, new convert node sourc new convert node sourc, current convert node gt sourc requir use camel splitter function insid ServiceMix jbi servic urn eu java smx fleetintegr camel splitter xpath trace trace jbi endpoint urn eu java smx fleetintegr jm mq current convert node gt sourc requir use camel splitter function insid servic mix jbi servic urn eu java smx fleetintegr camel splitter xpath trace trace jbi endpoint urn eu java smx fleetintegr jm mq,0,0
210, except claus proceed pipelin except claus proceed pipelin, problem similar CAMEL time except claus except clear pipelin proceed problem similar CAMEL time except claus except clear pipelin proceed,0,0
214, releas didnt seem includ javadoc doc directori manual releas didnt seem includ javadoc doc directori manual, wonder due machin hiram dodgi maven plugin around someth wonder due machin hiram dodgi maven plugin around someth,0,0
224, header lost XSLT process header lost XSLT process, xslt process messag header lost see attach unit test test fail sinc revis http svn apach org viewvc view rev amp revis xslt process messag header lost see attach unit test test fail sinc revis http svn apach org viewvc view rev amp revis,0,0
232, fix perform counter fix perform counter,,0,0
237, upgrad geronimo spec version upgrad geronimo spec version,,0,0
269, add getter method routeCollection properti RouteBuilder class add getter method rout collect properti rout builder class, need stop RouteBuilder solut issu could access routeCollection properti RouteBuilder class need stop rout builder solut issu could access rout collect properti rout builder class,0,0
275, cxf camel transport support regist cxf bu automat cxf camel transport support regist cxf bu automat, cxf bu init tranport modul classpath regist bu automat cxf machen add spring bean describ transport id transport factori class map per lt bean xmln http www springframework org schema bean xmln xsi http www org XMLSchema instanc xmln foo http cxf apach org configur foo xsi schemaLocation http www springframework org schema bean http www springframework org schema bean spring bean xsd gt lt bean class org apach camel compon cxf transport CamelTransportFactory lazi init true gt lt properti name bu ref cxf gt lt properti name transportIds gt lt list gt lt valu gt http cxf apach org transport camel lt valu gt lt list gt lt properti gt lt bean gt lt bean gt cxf bu init tranport modul classpath regist bu automat cxf machen add spring bean describ transport id transport factori class map per lt bean xmln http www springframework org schema bean xmln xsi http www org XML schema instanc xmln foo http cxf apach org configur foo xsi schema locat http www springframework org schema bean http www springframework org schema bean spring bean xsd gt lt bean class org apach camel compon cxf transport camel transport factori lazi init true gt lt properti name bu ref cxf gt lt properti name transport id gt lt list gt lt valu gt http cxf apach org transport camel lt valu gt lt list gt lt properti gt lt bean gt lt bean gt,0,0
277, spring integr TheadType miss org apach camel model jaxb index spring integr thead type miss org apach camel model jaxb index, TheadType miss org apach camel model jaxb index gt JAXB know unmarshal thread bug descript found camel user forum http www nabbl com processor thread pool td html thead type miss org apach camel model jaxb index gt JAXB know unmarshal thread bug descript found camel user forum http www nabbl com processor thread pool td html,0,0
278, spring integr bad url META INF spring schema spring integr bad url META INF spring schema, http activemq apach org camel schema spring camel spring xsd becom http activemq apach org camel schema spring camel spring xsdhttp activemq apach org camel schema spring camel spring xsd becom http activemq apach org camel schema spring camel spring xsdThere camel spring xsd camel spring xsd http activemq apach org camel schema spring http activemq apach org camel schema spring camel spring xsd becom http activemq apach org camel schema spring camel spring xsdhttp activemq apach org camel schema spring camel spring xsd becom http activemq apach org camel schema spring camel spring xsd camel spring xsd camel spring xsd http activemq apach org camel schema spring,0,0
283, DeadLetterChannel log improv exchang handl dead letter dead letter channel log improv exchang handl dead letter, submit patch improv logger deadletterchannel deliveri attempt output exchang id correl line log file also log exchang could deliv handl failur process usual deadletterchannel minor issu exist debug log sleep also output milli line similar log line CamelI output exchang exchang toString deliveri could deliv success sinc could sensit data exchang invoic input messag want log log think log exchang id good improv align posit loglin easier grep find log investig incid submit patch improv logger deadletterchannel deliveri attempt output exchang id correl line log file also log exchang could deliv handl failur process usual deadletterchannel minor issu exist debug log sleep also output milli line similar log line camel output exchang exchang string deliveri could deliv success sinc could sensit data exchang invoic input messag want log log think log exchang id good improv align posit loglin easier grep find log investig incid,0,0
286, NullPointerException CXF rout endpoint router servic CXF endpoint null pointer except CXF rout endpoint router servic CXF endpoint, endpoint ad cxf router cxf servic endpoint messag exchang interrupt NullPointerException exampl code JAVA BEGIN code worksfrom StringUtils join cxfRouterURI StringUtils join cxfServiceURI code crash problem seda log endpoint string anyEndpoint activemq someQueue JAVA END StringUtils join cxfRouterURI anyEndpoint StringUtils join cxfServiceURI EXCEPTION BEGIN org apach cxf phase PhaseInterceptorChain doInterceptINFO interceptor thrown except unwind noworg apach cxf interceptor fault org apach camel compon cxf interceptor RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java org apach cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java org apach camel compon cxf invok CxfClient invokeWithMessageStream CxfClient java org apach camel compon cxf invok CxfClient dispatch CxfClient java org apach camel compon cxf CxfProducer process CxfProducer java org apach camel compon cxf CxfProducer process CxfProducer java org apach camel impl convert AsyncProcessorTypeConverter ProcessorToAsynProcessorBridge process AsyncProcessorTypeConverter java org apach camel processor SendProcessor process SendProcessor java org apach camel processor DeadLetterChannel process DeadLetterChannel java org apach camel processor DeadLetterChannel process DeadLetterChannel java org apach camel processor pipelin process pipelin java org apach camel processor pipelin process pipelin java org apach camel processor UnitOfWorkProcessor process UnitOfWorkProcessor java org apach camel util AsyncProcessorHelper process AsyncProcessorHelper java org apach camel processor DelegateAsyncProcessor process DelegateAsyncProcessor java org apach camel compon cxf CamelInvoker invok CamelInvoker java org apach camel compon cxf interceptor AbstractInvokerInterceptor handleMessage AbstractInvokerInterceptor java org apach cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java org apach camel compon cxf CxfMessageObserver onMessage CxfMessageObserver java org apach cxf transport http_jetty JettyHTTPDestination serviceRequest JettyHTTPDestination java org apach cxf transport http_jetty JettyHTTPDestination doService JettyHTTPDestination java org apach cxf transport http_jetty JettyHTTPHandler handl JettyHTTPHandler java org mortbay jetti handler ContextHandler handl ContextHandler java org mortbay jetti handler ContextHandlerCollection handl ContextHandlerCollection java org mortbay jetti handler HandlerWrapper handl HandlerWrapper java org mortbay jetti server handl server java org mortbay jetti HttpConnection handleRequest HttpConnection java org mortbay jetti HttpConnection RequestHandler content HttpConnection java org mortbay jetti HttpParser parseNext HttpParser java org mortbay jetti HttpParser parseAvailable HttpParser java org mortbay jetti HttpConnection handl HttpConnection java org mortbay io nio SelectChannelEndPoint run SelectChannelEndPoint java org mortbay thread BoundedThreadPool PoolThread run BoundedThreadPool java caus java lang NullPointerException org apach common io IOUtils copyLarge IOUtils java org apach common io IOUtils copi IOUtils java org apach camel compon cxf interceptor RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java EXCEPTION END known workaround chang code like JAVA BEGIN string anyEndpoint activemq someQueue StringUtils join cxfRouterURI process new processor public void process exchang exchang throw except exchang setOut exchang getIn anyEndpoint StringUtils join cxfServiceURI JAVA END endpoint ad cxf router cxf servic endpoint messag exchang interrupt null pointer except exampl code JAVA BEGIN code worksfrom string util join cxf router URI string util join cxf servic URI code crash problem seda log endpoint string endpoint activemq queue JAVA END string util join cxf router URI endpoint string util join cxf servic URI EXCEPTION BEGIN org apach cxf phase phase interceptor chain intercept INFO interceptor thrown except unwind noworg apach cxf interceptor fault org apach camel compon cxf interceptor raw messag content redirect interceptor handl messag raw messag content redirect interceptor java org apach cxf phase phase interceptor chain intercept phase interceptor chain java org apach camel compon cxf invok cxf client invok messag stream cxf client java org apach camel compon cxf invok cxf client dispatch cxf client java org apach camel compon cxf cxf produc process cxf produc java org apach camel compon cxf cxf produc process cxf produc java org apach camel impl convert async processor type convert processor asyn processor bridg process async processor type convert java org apach camel processor send processor process send processor java org apach camel processor dead letter channel process dead letter channel java org apach camel processor dead letter channel process dead letter channel java org apach camel processor pipelin process pipelin java org apach camel processor pipelin process pipelin java org apach camel processor unit work processor process unit work processor java org apach camel util async processor helper process async processor helper java org apach camel processor deleg async processor process deleg async processor java org apach camel compon cxf camel invok invok camel invok java org apach camel compon cxf interceptor abstract invok interceptor handl messag abstract invok interceptor java org apach cxf phase phase interceptor chain intercept phase interceptor chain java org apach camel compon cxf cxf messag observ messag cxf messag observ java org apach cxf transport http_jetty jetti HTTP destin servic request jetti HTTP destin java org apach cxf transport http_jetty jetti HTTP destin servic jetti HTTP destin java org apach cxf transport http_jetty jetti HTTP handler handl jetti HTTP handler java org mortbay jetti handler context handler handl context handler java org mortbay jetti handler context handler collect handl context handler collect java org mortbay jetti handler handler wrapper handl handler wrapper java org mortbay jetti server handl server java org mortbay jetti http connect handl request http connect java org mortbay jetti http connect request handler content http connect java org mortbay jetti http parser pars next http parser java org mortbay jetti http parser pars avail http parser java org mortbay jetti http connect handl http connect java org mortbay io nio select channel end point run select channel end point java org mortbay thread bound thread pool pool thread run bound thread pool java caus java lang null pointer except org apach common io IO util copi larg IO util java org apach common io IO util copi IO util java org apach camel compon cxf interceptor raw messag content redirect interceptor handl messag raw messag content redirect interceptor java EXCEPTION END known workaround chang code like JAVA BEGIN string endpoint activemq queue string util join cxf router URI process new processor public void process exchang exchang throw except exchang set exchang get endpoint string util join cxf servic URI JAVA END,0,0
288, support set aggreg stragey multicastProcessor support set aggreg stragey multicast processor, use case router configur could like direct multicast direct direct direct direct process new AppendingProcessor direct aggregat direct process new AppendingProcessor direct aggregat direct process new AppendingProcessor direct aggregat direct aggregat aggreg header chees new BodyAggregatingStrategy completedPredicate header aggreg isEqualTo mock result send messag endpoint direct want get final result processor requir much like CAMEL use case router configur could like direct multicast direct direct direct direct process new append processor direct aggregat direct process new append processor direct aggregat direct process new append processor direct aggregat direct aggregat aggreg header chees new bodi aggreg strategi complet predic header aggreg equal mock result send messag endpoint direct want get final result processor requir much like CAMEL,0,0
291, MulticastRecipientList recipi list use multicast processor multicast recipi list recipi list use multicast processor, probabl would use recipientList InOut mode work pipelin face problem howev InOnly ok seem InOut remind RoutingSlip option could use MulticastProcessor process recipi think make sens attach patch enhanc camel core featur probabl would use recipi list mode work pipelin face problem howev ok seem remind rout slip option could use multicast processor process recipi think make sens attach patch enhanc camel core featur,0,0
298, remov tangl impl impl convert remov tangl impl impl convert, current impl impl convert refer possibl cycl avoid look found impl convert refer singl class CachingInjector class camel core seem use class suggest move CachingInjector impl convert cycl remov far see caus ther issu current impl impl convert refer possibl cycl avoid look found impl convert refer singl class cach injector class camel core seem use class suggest move cach injector impl convert cycl remov far see caus ther issu,0,0
304, multithread HTTP invoc work multithread HTTP invoc work, descript bug http www nabbl com multithread http endpoint html descript bug http www nabbl com multithread http endpoint html,0,0
320, DefaultParameterMappingStrategy load default default paramet map strategi load default, prevent BeanProcessor use bean method messag paramet bean method name process exchang paramet exampl map messag tri use ParameterExpression bodyAs messag class instead inmessageExpression prevent bean processor use bean method messag paramet bean method name process exchang paramet exampl map messag tri use paramet express bodi messag class instead inmessag express,0,0
323, spring jar twice camel distro spring jar twice camel distro, download latest snapshot apach camel zip fromhttp peopl apach org repo snapshot repositori org apach camel apach camel SNAPSHOT zip file contain spring jar twice camel lib camel lib optionalIs spring mandatori option btw includ old version common log jar common log download latest snapshot apach camel zip fromhttp peopl apach org repo snapshot repositori org apach camel apach camel SNAPSHOT zip file contain spring jar twice camel lib camel lib option spring mandatori option btw includ old version common log jar common log,0,0
324, bad content length header valu http respons bad content length header valu http respons, default HttpBinding class copi request header attribut request respons includ content length consequ respons declar size request lead seriou truncat problem workaround simpli add line removeHeader content length writeResponse method httpbind class allow jetti set right valu default http bind class copi request header attribut request respons includ content length consequ respons declar size request lead seriou truncat problem workaround simpli add line remov header content length write respons method httpbind class allow jetti set right valu,0,0
335, mail compon miss configur possibl mail compon miss configur possibl, possibl configur behaviour mail compon see thread http www nabbl com problem camel mail compon rout td html possibl configur behaviour mail compon see thread http www nabbl com problem camel mail compon rout td html,0,0
340, mina TCP support InOut pattern mina TCP support pattern, see thread http www nabbl com camel mina TCP InOut exchang td htmlThis builder support InOut client send textlin localhost client never receiv respons url mina tcp localhost textlin true uri process new processor public void process exchang string getIn getBody string class append newlin end denot end data textlin codec getOut setBody hello attach patch fix introduc new paramet URL fluent builder sync true ie better name use url instead patch camel send respons back client mina tcp localhost textlin true amp sync true see thread http www nabbl com camel mina TCP exchang td html builder support client send textlin localhost client never receiv respons url mina tcp localhost textlin true uri process new processor public void process exchang string get get bodi string class append newlin end denot end data textlin codec get set bodi hello attach patch fix introduc new paramet URL fluent builder sync true ie better name use url instead patch camel send respons back client mina tcp localhost textlin true amp sync true,0,0
356, synchron mode handl except thrown MINA synchron mode handl except thrown MINA, camel MINA synchron mode InOut exchang pattern handl except thrown MINA current MINA intercept log except WARN level overrid proper method mina handl end user deal also raisen forum propog header properti rais anoth ticket weekend work patch camel fix problem camel MINA synchron mode exchang pattern handl except thrown MINA current MINA intercept log except WARN level overrid proper method mina handl end user deal also raisen forum propog header properti rais anoth ticket weekend work patch camel fix problem,0,0
362, camel mina allow lazi creation connect camel mina allow lazi creation connect, current implement mina compon produc server start camel fail mina session creation doStart method call camel start simpl solut option allow lazili creat session send exchang produc process method current implement mina compon produc server start camel fail mina session creation start method call camel start simpl solut option allow lazili creat session send exchang produc process method,0,0
