issue_id,reporter,component,keywords,summary_proc,description_proc,Security
12,Eric Yang,null,0, add addit transit state, run server daemon current state start start would nice transit state start stop,0 
46,Eric Yang,ambari-agent,0, preserv cluster id blueprint name blueprint revis agent local disk, agent execut command behav control agent store cluster id blueprint name blueprint revis local disk keep track current deploy state agent,0 
92,Eric Yang,ambari-agent,0, agent retri heartbeat messag control not receiv heartbeat, heartbeat not receiv correctli control retri,0 
103,Eric Yang,ambari-server; ambari-web,0, remov agent entiti bean public schema xsd, agent entiti bean locat ambari client org apach ambari common rest entiti agent henc schema xsd gener public rest api includ agent entiti bean move org apach ambari common rest agent exclud agent entiti expos public,0 
192,Ramya Sunil,null,0, check nn safemod restart, no check safemod reconfigur cluster,0 
198,Jitendra Nath Pandey,ambari-server,0, depend templeton hcat client, hcat client instal templeton server node,0 
199,Jitendra Nath Pandey,ambari-server,0, remov import mysql puppet modul manifest, remov import mysql puppet modul manifest modul deprec,0 
202,Ramya Sunil,null,0, add check verifi jdk path instal, jdk instal not valid path caus problem servic start later stage,0 
207,Jitendra Nath Pandey,ambari-server,0, php notic undefin variabl manifest usr share hmc php puppet genmanifest host config php, undefin variabl use,0 
208,Hitesh Shah,null,0, support filter host base discoveri statu, api get host allow filter bad host,0 
217,vitthal (Suhas) Gogate,null,0, alert tabl right need tie visual verbal context content display, current dashboard servic entri click right side alert tabl caption not indic show alert relat servic cpation tabl chang indic correspond servic name,0 
222,vitthal (Suhas) Gogate,null,0, remov word alert nagio alert descript, sort redund,0 
226,Suresh Srinivas,null,0, make daemon name field name consist, follow name need consist hdf gt hdf mapreduc gt map reduc zookeep gt zoo keeper hadoop gt hadoop,0 
232,Vikram Dixit K,null,0, enabl lzo show checkbox instead text, current enabl lzo option show text box need fill true fals chang ui element checkbox,0 
236,Jitendra Nath Pandey,ambari-server,0, increas puppet agent timeout, puppet agent timeout increas sometim possibl due bug rubi puppet master take long time compil send back catalog,0 
237,Jitendra Nath Pandey,ambari-server,0, refactor puppet kick loop easili chang retri timeout, refactor puppet kick loop easili chang retri timeout,0 
245,Jitendra Nath Pandey,ambari-server,0, support data cleanup instal fail, need support data cleanup cluster instal case failur,0 
247,Varun Kapoor,null,0, replac index php cluster php, like titl say overwrit index php content cluster php make sure add link add node wizard well,0 
249,Vikram Dixit K,null,0, uninstal support ui, uninstal wipeout support ui,0 
252,Varun Kapoor,null,0, remov playground file hmc, bunch temporari playground file got wrongli commit hmc codebas remov get thing cleaner state least face thing,0 
253,Ramya Sunil,null,0, support uninstal state mysql modul, current no support uninstal mysql packag,0 
255,Varun Kapoor,null,0, renam reloc file appropri, imag html directori imag html file whose extens chang htmli would nice clean,0 
256,Ramya Sunil,null,0, updat hive config enabl author, etc hive conf hive site xml lt properti gt lt name gt hive secur author enabl lt name gt lt valu gt true lt valu gt lt descript gt enabl disabl hive client author lt descript gt lt properti gt lt properti gt lt name gt hive secur author manag lt name gt lt valu gt org apach hcatalog secur hdf author provid lt valu gt lt descript gt hive client author manag class name user defin author class implement interfac org apach hadoop hive ql secur author hive author provid lt descript gt lt properti gt etc hive conf hive env sh add export hive aux jar path usr lib hcatalog share hcatalog hcatalog jar,0 
257,Arpit Gupta,site,0, manag servic section empti section no client compon instal, manag servic page section client servic no long run process user no compon head no content mayb hide head no servic present,0 
262,Arpit Gupta,site,0, init wizard advanc config valid error bypass, make naigo password type password differ caus valid error let user move next screen ignor valid error page,0 
264,Arpit Gupta,site,0, nagio admin contact check ensur alway email address,,0 
274,Ramya Sunil,null,0, templeton data hdf need readabl user, content user templeton dir bash hadoop df ls user templeton found item rw templeton hdf user templeton hadoop stream jar rw templeton hdf user templeton hive tar gz rw templeton hdf user templeton pig tar gz rw templeton hdf user templeton ugi jar templeton user use jar,0 
