issue_id,reporter_col,team_col,component_col,grep_sec,grep_perf,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,ST_col,Patch_col,CE_col,TC_col,EN_col,files_col,target_Security,target_Performance
12,Eric Yang,1,null,0,0,0.0,0.0,11.0,0.0,0.0,11.0,0,0,0,0,0,,0,0
46,Eric Yang,1,ambari-agent,0,1,1.0,0.0,18.0,0.0,0.0,19.0,0,0,0,0,0,,0,0
92,Eric Yang,1,ambari-agent,0,0,1.0,0.0,6.0,0.0,0.0,7.0,0,0,0,0,0,,0,0
103,Eric Yang,1,ambari-server; ambari-web,0,0,4.0,0.0,17.0,0.0,0.0,21.0,0,0,0,0,0,,0,0
192,Ramya Sunil,1,null,0,0,1.0,0.0,5.0,0.0,0.0,6.0,0,1,0,0,0,CHANGES.txt;hmc/puppet/modules/hdp-hadoop/manifests/hdfs/service_check.pp;,0,0
198,Jitendra Nath Pandey,1,ambari-server,0,0,2.0,0.0,5.0,0.0,0.0,7.0,0,1,0,0,0,CHANGES.txt;hmc/php/puppet/genmanifest/PuppetClassDependencies.php;,0,0
199,Jitendra Nath Pandey,1,ambari-server,0,0,1.0,0.0,6.0,0.0,0.0,7.0,0,0,0,0,0,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;,0,0
202,Ramya Sunil,1,null,0,0,0.0,0.0,13.0,0.0,0.0,13.0,0,1,0,0,0,CHANGES.txt;hmc/puppet/modules/hdp/manifests/java/package.pp;,0,0
207,Jitendra Nath Pandey,1,ambari-server,0,0,1.0,0.0,9.0,0.0,0.0,10.0,0,1,0,0,0,,0,0
208,Hitesh Shah,1,null,0,0,0.0,0.0,10.0,1.0,0.0,9.0,0,1,0,0,0,,0,0
217,vitthal (Suhas) Gogate,1,null,0,0,1.0,1.0,19.0,1.0,0.0,20.0,0,1,0,0,0,,0,0
222,vitthal (Suhas) Gogate,1,null,0,0,1.0,0.0,6.0,1.0,0.0,6.0,0,1,0,0,0,,0,0
226,Suresh Srinivas,1,null,0,0,1.0,0.0,18.0,0.0,0.0,19.0,0,1,0,0,1,,0,0
232,Vikram Dixit K,1,null,0,0,0.0,0.0,17.0,0.0,0.0,17.0,0,1,0,0,0,,0,0
236,Jitendra Nath Pandey,1,ambari-server,0,1,2.0,0.0,15.0,0.0,0.0,17.0,0,1,0,0,0,,0,0
237,Jitendra Nath Pandey,1,ambari-server,0,0,1.0,0.0,7.0,1.0,0.0,7.0,0,1,0,0,0,,0,1
245,Jitendra Nath Pandey,1,ambari-server,0,0,0.0,0.0,9.0,0.0,0.0,9.0,0,1,0,0,0,,0,0
247,Varun Kapoor,1,null,0,0,1.0,0.0,15.0,0.0,0.0,16.0,0,1,0,0,0,,0,0
249,Vikram Dixit K,1,null,0,0,0.0,0.0,3.0,0.0,0.0,3.0,0,1,0,0,0,,0,0
252,Varun Kapoor,1,null,0,0,0.0,0.0,13.0,0.0,0.0,13.0,0,1,0,0,0,,0,0
253,Ramya Sunil,1,null,0,0,0.0,0.0,7.0,0.0,0.0,7.0,0,1,0,0,0,,0,0
255,Varun Kapoor,1,null,0,0,0.0,0.0,13.0,0.0,0.0,13.0,0,1,0,0,0,,0,0
256,Ramya Sunil,1,null,0,0,4.0,0.0,36.0,0.0,0.0,40.0,0,1,1,0,0,,0,0
257,Arpit Gupta,0,site,0,1,0.0,0.0,17.0,1.0,0.0,16.0,0,1,0,0,0,,0,0
262,Arpit Gupta,0,site,1,0,2.0,0.0,17.0,2.0,0.0,17.0,0,1,0,0,0,,0,0
264,Arpit Gupta,0,site,0,0,2.0,0.0,6.0,0.0,0.0,8.0,0,1,0,0,0,,0,0
274,Ramya Sunil,1,null,0,0,4.0,0.0,19.0,0.0,0.0,23.0,0,1,1,0,0,,0,0
276,Suresh Srinivas,1,site,0,1,2.0,0.0,38.0,1.0,0.0,39.0,0,1,0,0,1,,0,0
280,Vikram Dixit K,1,null,0,0,0.0,0.0,8.0,0.0,0.0,8.0,0,1,0,0,0,,0,0
283,Vikram Dixit K,1,null,0,0,0.0,0.0,6.0,0.0,0.0,6.0,0,1,0,0,0,,0,0
287,Vikram Dixit K,1,ambari-server; ambari-web,0,0,0.0,0.0,6.0,0.0,0.0,6.0,0,1,0,0,0,,0,0
290,Jitendra Nath Pandey,1,ambari-server,0,0,1.0,0.0,5.0,0.0,0.0,6.0,0,1,0,0,0,,0,0
292,Jitendra Nath Pandey,1,ambari-web,0,0,0.0,1.0,3.0,0.0,0.0,4.0,0,1,0,0,0,,0,0
300,Yusaku Sako,1,null,0,0,0.0,0.0,13.0,0.0,1.0,12.0,0,1,0,0,0,,0,0
302,Ramya Sunil,1,null,0,0,1.0,0.0,9.0,0.0,0.0,10.0,0,1,0,0,0,,0,0
304,Vinod Kumar Vavilapalli,1,null,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,,0,0
310,Yusaku Sako,1,null,0,0,0.0,0.0,8.0,0.0,0.0,8.0,0,1,0,0,0,,0,0
312,Hitesh Shah,1,null,0,0,1.0,0.0,4.0,0.0,0.0,5.0,0,1,0,0,0,,0,0
316,Vinod Kumar Vavilapalli,1,null,0,0,0.0,1.0,7.0,0.0,0.0,8.0,0,1,0,0,0,,0,0
319,Jitendra Nath Pandey,1,ambari-server,0,0,1.0,0.0,5.0,0.0,0.0,6.0,0,0,0,0,0,,0,0
323,Vikram Dixit K,1,ambari-server,0,0,1.0,0.0,9.0,0.0,0.0,10.0,0,1,0,0,0,,0,0
326,Jitendra Nath Pandey,1,ambari-server,0,0,0.0,0.0,12.0,1.0,0.0,11.0,0,1,0,0,0,,0,0
330,Vinod Kumar Vavilapalli,1,null,0,0,0.0,0.0,23.0,0.0,0.0,23.0,0,1,0,0,0,,0,0
335,Ramya Sunil,1,null,0,1,2.0,0.0,18.0,1.0,0.0,19.0,0,1,0,0,0,,0,0
338,Vikram Dixit K,1,ambari-server,0,0,1.0,0.0,16.0,0.0,0.0,17.0,0,1,0,0,0,,0,0
339,Vikram Dixit K,1,ambari-web,0,0,0.0,0.0,8.0,0.0,0.0,8.0,0,1,0,0,0,,0,0
349,Vikram Dixit K,1,ambari-server; ambari-web,0,0,0.0,0.0,12.0,0.0,0.0,12.0,0,1,0,0,0,,0,0
352,Yusaku Sako,1,null,0,0,2.0,0.0,24.0,1.0,0.0,25.0,0,1,0,0,0,,0,0
357,Yusaku Sako,1,null,0,0,0.0,0.0,8.0,0.0,0.0,8.0,0,1,0,0,0,,0,0
362,Vikram Dixit K,1,ambari-server,0,0,0.0,0.0,9.0,0.0,0.0,9.0,0,1,0,0,0,,0,0
366,Varun Kapoor,1,null,0,0,0.0,0.0,10.0,0.0,0.0,10.0,0,1,0,0,0,,0,0
369,Yusaku Sako,1,null,0,0,0.0,0.0,7.0,1.0,0.0,6.0,0,1,0,0,0,,0,0
371,Jitendra Nath Pandey,1,ambari-server,0,0,0.0,0.0,5.0,0.0,0.0,5.0,0,1,0,0,0,,0,0
377,Jitendra Nath Pandey,1,ambari-server,0,0,0.0,0.0,4.0,0.0,0.0,4.0,0,1,0,0,0,,0,0
386,Hitesh Shah,1,null,0,0,0.0,0.0,14.0,3.0,1.0,10.0,0,1,0,0,0,,0,0
393,Mahadev konar,1,null,0,0,0.0,0.0,7.0,0.0,0.0,7.0,0,1,0,0,0,,0,0
394,Vikram Dixit K,1,ambari-server,0,0,0.0,0.0,10.0,0.0,0.0,10.0,0,1,0,0,0,,0,0
399,Yusaku Sako,1,null,0,0,0.0,0.0,6.0,1.0,0.0,5.0,0,1,0,0,0,,0,0
401,Jitendra Nath Pandey,1,ambari-server,0,0,0.0,0.0,7.0,0.0,0.0,7.0,0,1,0,0,0,,0,0
402,Vikram Dixit K,1,ambari-server,0,0,0.0,0.0,11.0,0.0,0.0,11.0,0,1,0,0,0,,0,0
404,Yusaku Sako,1,null,0,0,0.0,0.0,5.0,0.0,0.0,5.0,0,1,0,0,0,,0,0
414,Mahadev konar,1,null,0,0,1.0,0.0,3.0,0.0,0.0,4.0,0,1,0,0,0,,0,0
415,Hitesh Shah,1,null,0,0,1.0,0.0,5.0,0.0,0.0,6.0,0,1,0,0,0,,0,0
420,Yusaku Sako,1,null,0,0,0.0,0.0,5.0,1.0,0.0,4.0,0,1,0,0,0,,0,0
426,Ramya Sunil,1,null,0,0,4.0,2.0,40.0,1.0,1.0,44.0,0,1,0,0,0,,0,0
429,Mahadev konar,1,null,0,0,0.0,0.0,6.0,0.0,0.0,6.0,0,1,0,0,0,,0,0
433,Vikram Dixit K,1,ambari-server,0,0,0.0,0.0,5.0,0.0,0.0,5.0,0,1,0,0,0,,0,0
435,Vikram Dixit K,1,ambari-server,0,0,0.0,0.0,10.0,1.0,0.0,9.0,0,1,0,0,0,,0,0
442,Ramya Sunil,1,null,0,0,4.0,1.0,16.0,0.0,1.0,20.0,0,1,0,0,0,,0,0
449,Yusaku Sako,1,null,0,0,0.0,0.0,21.0,0.0,0.0,21.0,0,1,0,0,0,,0,0
450,Yusaku Sako,1,null,0,0,1.0,0.0,4.0,0.0,0.0,5.0,0,1,0,0,0,,0,0
455,vitthal (Suhas) Gogate,1,null,0,0,1.0,0.0,6.0,0.0,0.0,7.0,0,1,0,0,0,,0,0
466,Vikram Dixit K,1,ambari-server; ambari-web,0,0,0.0,0.0,18.0,0.0,0.0,18.0,0,1,0,0,0,,0,0
467,Mahadev konar,1,null,0,0,1.0,0.0,3.0,0.0,0.0,4.0,0,1,0,0,0,,0,0
468,Yusaku Sako,1,null,0,0,0.0,0.0,13.0,0.0,0.0,13.0,0,1,0,0,0,,0,0
475,Yusaku Sako,1,null,0,0,0.0,0.0,10.0,0.0,0.0,10.0,0,1,0,0,0,,0,0
482,Yusaku Sako,1,null,0,0,0.0,0.0,9.0,0.0,0.0,9.0,0,1,0,0,0,,0,0
486,Yusaku Sako,1,null,0,1,2.0,0.0,12.0,1.0,0.0,13.0,0,1,0,0,0,,0,0
488,Yusaku Sako,1,null,0,0,0.0,0.0,28.0,1.0,0.0,27.0,0,1,0,0,0,,0,0
491,Yusaku Sako,1,null,0,0,1.0,0.0,21.0,0.0,0.0,22.0,0,1,0,0,0,,0,0
492,Hitesh Shah,1,null,0,0,0.0,0.0,6.0,0.0,0.0,6.0,0,1,0,0,0,,0,0
