issue_id,reporter,component,keywords,summary_proc,description_proc,Performance,files
72,Willem Jiang,camel-core,0, file configur test pass window box, file separ differ unix window system test pass window box attach patch pleas look test window box,0,camel-core/src/test/java/org/apache/camel/component/file/FileConfigureTest.java;
84,Brian McCallister,camel-core,0, throw use except type convert avail, type convert avail npe thrown requir trace sourc find root problem,0,camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java;camel-core/src/main/java/org/apache/camel/processor/ConvertBodyProcessor.java;
100,Aaron Crickenberger,camel-activemq,0, recent snapshot requir activ mq, may moot given project relationship recent introduc side effect recent snapshot abl use camel without activ mq jar float around long never tri use activemq queue foo uri recent snapshot first time someth use annot type covert loader activ mq convert get load caus class def found error activ mq destin,0,tests/camel-partial-classpath-test/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;tests/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyBean.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyConverter.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/META-INF/services/org/apache/camel/TypeConverter;camel-core/src/main/java/org/apache/camel/impl/DefaultComponentResolver.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;
112,james strachan,camel-activemq,0, jmsx group id copi across activ mq endpoint, see thread http www nabbl com method name header ignor bean ref tf html,0,components/camel-activemq/src/test/java/org/apache/camel/component/activemq/ActiveMQReplyToHeaderUsingConverterTest.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/EndpointMessageListener.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsBinding.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsMessage.java;
132,james strachan,camel-http,0, enabl poll via http compon,,0,components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpEndpoint.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpPollingConsumer.java;components/camel-http/src/test/java/org/apache/camel/component/http/HttpPollingGetTest.java;
143,Dejan Predovic,camel-core,0, path namespac configur possibl xml, xpath xml element offer way defin namespac map,0,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java;camel-core/src/main/java/org/apache/camel/model/language/ElementAwareExpression.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/main/java/org/apache/camel/spi/ElementAware.java;camel-core/src/test/java/org/apache/camel/builder/xml/XPathWithNamespacesFromDomTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;components/camel-spring/src/test/java/org/apache/camel/spring/processor/SpringXPathFilterWithNamespaceTest.java;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/xpathFilterWithNamespace.xml;camel-core/src/main/java/org/apache/camel/model/language/ExpressionType.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/test/java/org/apache/camel/processor/XPathFilterTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;
161,Bozhong Lin,null,0, url link broken org apach camel processor api doc, messag transform link broken,0,camel-core/src/main/java/org/apache/camel/Processor.java;
166,Bozhong Lin,camel-core,0, org apach camel processor unit work async flow test failur, run org apach camel processor unit work async flow test test run failur error skip time elaps sec lt lt lt failur prevent develop build camel linux platform thank,0,camel-core/pom.xml;camel-core/pom.xml;camel-core/src/test/java/org/apache/camel/processor/UnitOfWorkTest.java;
199,Gert Vanthienen,camel-core,0, new convert node sourc, current convert node gt sourc requir use camel splitter function insid servic mix jbi servic urn eu java smx fleetintegr camel splitter xpath trace trace jbi endpoint urn eu java smx fleetintegr jm mq,0,camel-core/src/main/java/org/apache/camel/converter/jaxp/XmlConverter.java;camel-core/src/test/java/org/apache/camel/converter/JaxpTest.java;
210,Roman Kalukiewicz,camel-core,0, except claus proceed pipelin, problem similar camel time except claus except clear pipelin proceed,0,camel-core/src/main/java/org/apache/camel/processor/Pipeline.java;camel-core/src/test/java/org/apache/camel/processor/PipelineTest.java;camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;camel-core/src/main/java/org/apache/camel/util/ExchangeHelper.java;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;
