issue_id,reporter,component,keywords,summary_proc,description_proc,Performance,files
5,Tulika Agrawal,Network Server,0, network server protocol error select fail order specifi, report armi file derbi dev list use network server one tri execut select statement fail sql except ex divid zero order claus specifi part select server throw distribut protocol except instead appropri error repro use ij util ij gt connect jdbc derbi net localhost db user password ij gt creat tabl int int row insert updat deletedij gt insert valu row insert updat delet without order fine gt attempt divid zero fine ij gt select fn mod error db sql error sqlcode sqlstate sqlerrmc order die ij gt select fn mod order error execut fail due distribut protocol error caus dealloc convers drda data stream syntax error detect reason note problem drda conn thread java file process command method case code point opnqri block code case sql except call writer clear buffer use ensur opnqflrm sent back client opnqryrm qrydsc may written buffer opnqflrm call clear buffer replac someth smarter instead full clear caus problem shown back buffer write made sinc begin case code point opnqri block,0,
19,Ramandeep Kaur,Services,0, npe tri creat databas directori allow, open bug behalf daniel debrunn bug occur embed derbi derbi network server derbi network server might best secur except thrown tri creat databas disallow directori sqlstate bug reproduc ij like drive inaccess disk cd rom ij gt connect jdbc derbi wombat creat true error xj fail creat databas wombat,0,java/engine/org/apache/derby/iapi/services/monitor/PersistentService.java;java/engine/org/apache/derby/impl/services/monitor/PersistentServiceImpl.java;java/engine/org/apache/derby/impl/services/monitor/TopService.java;
38,Mamta A. Satoor,SQL,0, make lock non reserv keyword derbi sinc reserv keyword sql standard, sinc lock reserv keyword sql standard derbi make lock reserv keyword,0,java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;
42,Sunitha Kambhampati,Services,0, use encrypt store length inform extern key servic properti, use derbi databas encrypt provis provid key use encrypt extern key case key store databas ad secur use inform extern key use encrypt databas servic properti right key length store servic properti store servic properti,0,java/engine/org/apache/derby/impl/services/jce/JCECipherFactory.java;
44,Lance Andersen,JDBC,0, support like escap, request support select foo like escap function work jdbc rdbm combo includ db db univers driver function benefici tool well appserv gener sql ejbql,0,java/engine/org/apache/derby/iapi/reference/SQLState.java;java/engine/org/apache/derby/iapi/types/Like.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/engine/org/apache/derby/loc/messages_en.properties;
45,Lance Andersen,SQL,0, request support cast like claus, request support cast like claus exampl select id quantiti name price pnum productejb tabl name like cast varchar support db eas migrat db derbi,0,java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java;java/testing/org/apache/derbyTesting/functionTests/master/LOB.out;java/testing/org/apache/derbyTesting/functionTests/master/dynamicLikeOptimization.out;
85,A B,SQL,0, npe creat trigger tabl default schema exist, background connect derbi db user id password default schema user exampl connect ij gt connect jdbc derbi db user user password pwd default schema someus problem turn tabl exist non default schema default schema case someus exist yet object creat schema attempt creat trigger use qualifi name lead null pointer except derbi engin repro ij creat databas default schema someus ij gt connect jdbc derbi db creat true user user password pwd creat tabl non default schema case call itko ij gt creat tabl itko int row insert updat delet schema itko exist exist schema itko default schema someus exist creat object schema yet tri creat trigger itko non default schema ij gt creat trigger trig updat itko row mode db sql select sy systabl error xj java except java lang null pointer except look derbi log file show stack trace given word look like compil schema field sy systrigg get set end null caus npe subsequ process java lang null pointer except org apach derbi impl sql catalog sysstat row factori make sysstat srow sysstat row factori java org apach derbi impl sql catalog data dictionari impl add sp descriptor data dictionari impl java org apach derbi impl sql execut creat trigger constant action creat sp creat trigger constant action java org apach derbi impl sql execut creat trigger constant action execut constant action creat trigger constant action java org apach derbi impl sql execut misc result set open misc result set java org apach derbi impl sql gener prepar statement execut gener prepar statement java org apach derbi impl jdbc emb statement execut statement emb statement java org apach derbi impl jdbc emb statement execut emb statement java org apach derbi impl jdbc emb statement execut emb statement java org apach derbi impl tool ij ij execut immedi ij java org apach derbi impl tool ij util main catch util main java org apach derbi impl tool ij util main go util main java org apach derbi impl tool ij main go main java org apach derbi impl tool ij main main core main java org apach derbi impl tool ij main main main java org apach derbi tool ij main ij java,0,java/engine/org/apache/derby/impl/sql/execute/CreateTriggerConstantAction.java;java/testing/org/apache/derbyTesting/functionTests/master/triggerGeneral.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/triggerGeneral.sql;
88,Daniel John Debrunner,Test,0, run suit summari round incorrectli, exampl output run suit report file test run pass test pass fail test fail singl failur lead fail pass round pass percentag round fail percentag,0,BUILDING.txt;build.xml;java/testing/org/apache/derbyTesting/functionTests/harness/GenerateReport.java;
90,Ron Reuben,Tools,0, dblook display messag key instead associ text, use derbi version execut java org apach derbi tool dblookinstead get usag messag get cslook usag similarli use dblook gener databas schema output text contain key one instead associ text cslook timestamp lt gt cslook db name lt sampl gt cslook db url lt jdbc derbi sampl gt append log fals cslook schema header creat schema samp cslook tabl header creat tabl samp tray receiv timestamp sourc char subject char note text varchar,0,
94,Sunitha Kambhampati,Store,0, lock releas properli possibl relat occur lock escal, follow scenario lt code snippet gt string sel select updat prepar statement ps conn prepar statement sel int val ps set max row val result set rs ps execut queri string in updat set current rs get cursor name prepar statement ps conn prepar statement in ps set int iter rs next ps execut updat print lock tabl inform system println lock tabl commit transact print lock tabl conn conn commit lt end code snippet gt run transact twice caus lock timeout second time seem like lock releas properli tabl even transact commit connect close also condit seem happen lock escal tabl lock occur increas lock escal threshold prevent lock escal row level lock lock releas properli print lock inform see row level lock tabl also tabl level lock result lock escal commit resultset close row level lock releas thu second iter test unreleas row level lock caus lock timeout happen case second iter test lock tabl show previou row lock null transact id right transact run default isol level read commit default lock escal threshold set http incub apach org derbi manual tune perf html idx attach program reproduct reproduc problem less number row tabl pleas run program follow derbi properti set derbi lock deadlock trace truederbi lock escal threshold,0,java/engine/org/apache/derby/impl/store/raw/xact/RowLocking2.java;java/testing/org/apache/derbyTesting/functionTests/master/derby94.out;java/testing/org/apache/derbyTesting/functionTests/suites/storetests.runall;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/derby94.sql;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/derby94_derby.properties;
