issue_id,reporter_col,team_col,component_col,grep_sec,grep_perf,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,ST_col,Patch_col,CE_col,TC_col,EN_col,files_col,target_Security,target_Performance
5,Tulika Agrawal,0,Network Server,1,1,2.0,0.0,89.0,2.0,1.0,88.0,0,0,1,0,0,,0,0
19,Ramandeep Kaur,1,Services,0,1,2.0,1.0,24.0,0.0,0.0,27.0,0,0,0,0,0,java/engine/org/apache/derby/iapi/services/monitor/PersistentService.java;java/engine/org/apache/derby/impl/services/monitor/PersistentServiceImpl.java;java/engine/org/apache/derby/impl/services/monitor/TopService.java;,0,0
38,Mamta A. Satoor,1,SQL,0,0,0.0,0.0,8.0,1.0,0.0,7.0,0,0,0,0,0,java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;,0,0
42,Sunitha Kambhampati,1,Services,0,0,2.0,0.0,15.0,1.0,0.0,16.0,0,0,0,0,0,java/engine/org/apache/derby/impl/services/jce/JCECipherFactory.java;,1,0
44,Lance Andersen,1,JDBC,0,0,0.0,0.0,18.0,1.0,0.0,17.0,0,0,0,0,0,java/engine/org/apache/derby/iapi/reference/SQLState.java;java/engine/org/apache/derby/iapi/types/Like.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/engine/org/apache/derby/loc/messages_en.properties;,0,0
45,Lance Andersen,1,SQL,0,0,0.0,0.0,12.0,0.0,0.0,12.0,0,0,0,1,0,java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java;java/testing/org/apache/derbyTesting/functionTests/master/LOB.out;java/testing/org/apache/derbyTesting/functionTests/master/dynamicLikeOptimization.out;,0,0
85,A B,1,SQL,1,1,1.0,1.0,90.0,3.0,0.0,89.0,1,0,0,0,0,java/engine/org/apache/derby/impl/sql/execute/CreateTriggerConstantAction.java;java/testing/org/apache/derbyTesting/functionTests/master/triggerGeneral.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/triggerGeneral.sql;,0,0
88,Daniel John Debrunner,1,Test,0,0,0.0,0.0,16.0,1.0,1.0,14.0,0,0,0,0,0,BUILDING.txt;build.xml;java/testing/org/apache/derbyTesting/functionTests/harness/GenerateReport.java;,0,0
90,Ron Reuben,0,Tools,0,0,0.0,0.0,37.0,1.0,0.0,36.0,0,0,0,0,0,,0,0
94,Sunitha Kambhampati,1,Store,0,1,4.0,0.0,86.0,6.0,1.0,83.0,0,0,0,0,0,java/engine/org/apache/derby/impl/store/raw/xact/RowLocking2.java;java/testing/org/apache/derbyTesting/functionTests/master/derby94.out;java/testing/org/apache/derbyTesting/functionTests/suites/storetests.runall;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/derby94.sql;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/derby94_derby.properties;,0,0
