Subject,TXT,Others,ML,TP,TN,FP,FN,TPR,FPR,p,n,IM,cyn,cnp,EC
Ambari,1,CHI2,MNB,,,,,,,,,,,,
Ambari,1,MI 623,,,,,,,,,,,,,
,,MI 1038,,,,,,,,,,,,,
,,MI 1661,,,,,,,,,,,,,
,,MI 3530,,,,,,,,,,,,,
,,FS 623 ,,,,,,,,,,,,,
,,FS 1038 ,,,,,,,,,,,,,
,,FS 2077 ,,,,,,,,,,,,,
,,FS 3115,,,,,,,,,,,,,
Camel,,CHI2,MNB,,,,,,,,,,,,
,,"MI 1020 
",,,,,,,,,,,,,
,,MI 1701   ,,,,,,,,,,,,,
,,FS 1020  ,,,,,,,,,,,,,
,,FS 2721,,,,,,,,,,,,,
Derby,,CHI2 ,MNB,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ambari,"TXT, STR",,,24,850,109,24,0.5,0.113660063,48,959,19.97916667,,,
Camel,"TXT, STR",,,59,695,212,51,0.536363636,0.233737596,110,907,,,,
derby,"TXT, STR",,,88,638,261,19,0.822429907,0.290322581,107,899,,,,
Average,,,,171,2183,582,94,0.619597848,0.212573413,265,2765,,10,5,6381.687721
,,,,,,,,,,,,,,,
ambari,TXT,,MNB,32,534,425,9,0.780487805,0.443169969,,,,,,
derby,TXT,,MNB,86,482,417,15,0.851485149,0.463848721,,,,,,
camel,TXT,,MNB,62,548,359,31,0.666666667,0.395810364,,,,,,
,,,,180,1564,1201,55,0.766213207,0.434276351,235,2765,,10,5,12282.44059
