Subject,TXT,Others,ML,TP,TN,FP,FN,TPR,FPR,p,n,IM,cyn,cnp,EC
Ambari,1,CHI2,MNB,17,612,359,12,0.586206897,0.369721936,29,971,33.48275862,2,20,7204
Ambari,1,MI 623,,16,625,346,13,0.551724138,0.356333677,29,971,33.48275862,2,20,6946
,,MI 1038,,13,695,276,16,0.448275862,0.284243048,29,971,33.48275862,2,20,5552
,,MI 1661,,15,676,295,14,0.517241379,0.303810505,29,971,33.48275862,2,20,5928
,,MI 3530,,17,658,313,12,0.586206897,0.322348095,29,971,33.48275862,2,20,6284
,,FS 623 ,,21,610,361,8,0.724137931,0.371781668,29,971,33.48275862,2,20,7236
,,FS 1038 ,,19,630,341,10,0.655172414,0.351184346,29,971,33.48275862,2,20,6840
,,FS 2077 ,,21,626,345,8,0.724137931,0.355303811,29,971,33.48275862,2,20,6916
,,FS 3115,,20,622,349,9,0.689655172,0.359423275,29,971,33.48275862,2,20,6998
Camel,,CHI2,MNB,21,562,406,11,0.65625,0.419421488,32,968,30.25,2,20,8142
,,"MI 1020 
",,21,438,530,11,0.65625,0.547520661,32,968,30.25,2,20,10622
,,MI 1701   ,,22,386,582,10,0.6875,0.601239669,32,968,30.25,2,20,11660
,,FS 1020  ,,20,467,501,12,0.625,0.517561984,32,968,30.25,2,20,10044
,,FS 2721,,23,428,540,9,0.71875,0.55785124,32,968,30.25,2,20,10818
Derby,,CHI2 ,MNB,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ambari,"TXT, STR",,,14,762,202,20,0.411764706,0.209543569,34,964,,,,
Camel,"TXT, STR",,,21,948,102,16,0.567567568,0.097142857,37,1050,,,,
derby,"TXT, STR",,,72,794,115,18,0.8,0.126512651,90,909,,,,
Avg,,,,107,2504,419,54,0.593110758,0.144399692,161,2923,18.1552795,1,1,487.5894687
,,,,,,,,,,,,,,,
ambari,TXT,,MNB,16,612,359,13,0.551724138,0.369721936,,,,,,
derby,TXT,,MNB,72,589,323,16,0.818181818,0.354166667,,,,,,
camel,TXT,,MNB,21,460,508,11,0.65625,0.524793388,,,,,,
Avg,,,,109,1661,1190,40,0.675385319,0.41622733,149,2851,19.13422819,1,1,1235.031707
