@Relation 1_ambari_Performance_str
@attribute auth {48.0,30.0,41.0,34.0,4.0,15.0,6.0,52.0,36.0,23.0,5.0,54.0,43.0,21.0,33.0,9.0,31.0,14.0,13.0,29.0,2.0,0.0,49.0,35.0,28.0,38.0,26.0,50.0,40.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
35.0,0.0,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
52.0,0.0,0.986,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.91,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.22,0
35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,0.05,0
36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,0.075,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
38.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
30.0,0.022,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52.0,0.067,0.995,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88,0.12,0
52.0,0.042,0.996,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
50.0,0.0,0.994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
36.0,0.016,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
41.0,0.135,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
41.0,0.045,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.048,0.995,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
41.0,0.069,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
14.0,0.061,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
48.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.026,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
40.0,0.043,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.92,0.08,0
13.0,0.056,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.89,0.11,0
4.0,0.0,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26.0,0.125,0.982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.103,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.9,1
54.0,0.12,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.071,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,0.182,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.154,0.986,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
