@Relation 3_ambari_Performance_str
@attribute auth {12.0,32.0,48.0,45.0,41.0,4.0,34.0,6.0,52.0,46.0,36.0,23.0,25.0,5.0,54.0,43.0,21.0,33.0,2.0,13.0,29.0,31.0,14.0,0.0,53.0,35.0,11.0,28.0,26.0,50.0,40.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41,0.59,0
54.0,0.0,0.999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54.0,0.024,0.999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,0.998,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.95,0
0.0,0.0,0.999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0
29.0,0.5,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0
28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2.0,0.038,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
13.0,0.038,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
48.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.27,0
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
52.0,0.083,0.992,0.0,1.0,0.0,0.0,0.0,0.0,0.98,0.02,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
32.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
33.0,0.043,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
13.0,0.071,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
48.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
13.0,0.056,0.999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,0.0,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
50.0,0.024,0.999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
36.0,0.016,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26.0,0.125,0.982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.111,0.986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
21.0,0.125,0.982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.103,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.12,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.99,1
40.0,0.071,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,0.182,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.154,0.986,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.99,1
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40.0,0.032,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.129,0.994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.024,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.04,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.125,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
5.0,0.08,0.994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
5.0,0.067,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
13.0,0.014,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.017,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
31.0,0.098,0.997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
13.0,0.086,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.667,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.89,0.11,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.115,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
5.0,0.15,0.991,0.0,1.0,0.0,0.0,0.0,0.0,0.96,0.04,1
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.517,0.483,0
40.0,0.0,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.604,0.396,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0
52.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.852,0.148,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.101,0.899,0
40.0,0.008,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.9,0
25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19,0.81,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.79,0.21,0
11.0,0.037,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.512,0.488,0
46.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.734,0.266,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.993,0.007,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0
40.0,0.04,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0
34.0,0.0,0.995,1.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,0
29.0,0.1,0.989,1.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.718,0.282,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.325,0.675,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.599,0.401,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.302,0.698,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.167,0.968,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0
