@Relation 4_Camel_Shaon_Performance_str
@attribute auth {173.0,217.0,212.0,16.0,284.0,6.0,142.0,177.0,84.0,275.0,171.0,39.0,126.0,47.0,204.0,210.0,74.0,65.0,154.0,150.0,18.0,311.0,181.0,250.0,306.0,240.0,148.0,248.0,36.0,198.0,97.0,259.0,48.0,180.0,123.0,317.0,268.0,278.0,262.0,72.0,241.0,8.0,22.0,133.0,294.0,114.0,20.0,57.0,282.0,53.0,298.0,314.0,230.0,226.0,73.0,186.0,205.0,66.0,200.0,245.0,153.0,87.0,303.0,293.0,29.0,7.0,111.0,292.0,34.0,88.0,267.0,60.0,85.0,160.0,42.0,297.0,263.0,92.0,158.0,147.0,305.0,68.0,166.0,242.0,156.0,4.0,299.0,43.0,290.0,237.0,190.0,100.0,227.0,155.0,26.0,195.0,310.0,283.0,13.0,216.0,256.0,252.0,276.0,254.0,61.0,246.0,117.0,213.0,90.0,316.0,233.0,244.0,40.0,67.0,165.0,229.0,151.0,49.0,187.0,128.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute comp6 {0.0,1.0}
@attribute comp7 {0.0,1.0}
@attribute comp8 {0.0,1.0}
@attribute des0 {0.0,1.0}
@attribute des2 {0.0,1.0}
@attribute des3 {0.0,1.0}
@attribute des4 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
298.0,0.053,0.997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
268.0,0.062,0.999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
316.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
293.0,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
205.0,0.059,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0
305.0,0.043,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
126.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0
68.0,0.05,0.997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
278.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
74.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
