@relation 7_Camel_Shaon_str-weka.filters.unsupervised.attribute.NumericToNominal-R5-18-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute author {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321}
@attribute pos numeric
@attribute neu numeric
@attribute neg numeric
@attribute com0 {0,1}
@attribute com1 {0,1}
@attribute com2 {0,1}
@attribute com3 {0,1}
@attribute com4 {0,1}
@attribute com5 {0,1}
@attribute com6 {0,1}
@attribute com7 {0,1}
@attribute com8 {0,1}
@attribute ST {0,1}
@attribute Patch {0,1}
@attribute CE {0,1}
@attribute TC {0,1}
@attribute EN {0,1}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}

@data
298,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2,1,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
316,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.36,0
97,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
48,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,0,0,22,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
252,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
316,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0,0,18,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
128,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
128,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
103,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.02,0
118,2,1,37,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
163,1,1,22,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
163,0,0,15,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
74,3,2,43,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
300,6,2,103,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
298,3,0,28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
237,1,2,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
68,4,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
252,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,0,1,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.01,0
74,0,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,0,0,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
167,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,2,50,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
74,1,1,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.99,0
128,1,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,5,4,132,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
59,1,0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0,0,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
