@Relation 0_ambari_Performance_str
@attribute auth {12.0,48.0,16.0,41.0,4.0,34.0,18.0,6.0,52.0,23.0,25.0,5.0,54.0,43.0,21.0,47.0,33.0,2.0,14.0,29.0,13.0,31.0,0.0,49.0,35.0,7.0,28.0,44.0,38.0,56.0,26.0,50.0,40.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.97,0.03,0
43.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6.0,0.043,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,0.1,0.991,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.2,0.952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35.0,0.081,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.059,0.996,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40.0,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22,0.78,0
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.97,0
52.0,0.042,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
14.0,0.067,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
41.0,0.033,0.999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
50.0,0.024,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.97,0.03,0
12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52.0,0.083,0.992,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,0.032,0.999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2.0,0.071,0.995,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98,0.02,0
54.0,0.021,0.999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40.0,0.024,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
52.0,0.067,0.995,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.97,0
0.0,0.0,0.986,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35.0,0.027,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54.0,0.111,0.986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
21.0,0.125,0.982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.103,0.996,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
54.0,0.12,0.995,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40.0,0.071,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,0.182,0.98,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
54.0,0.154,0.986,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.032,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40.0,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
48.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.022,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41.0,0.129,0.994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.024,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.04,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.125,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
5.0,0.08,0.994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
5.0,0.067,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
13.0,0.014,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.017,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
31.0,0.098,0.997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
13.0,0.086,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
6.0,0.667,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.33,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
