@Relation 8_ambari_Performance_str
@attribute auth {12.0,48.0,41.0,34.0,4.0,15.0,39.0,6.0,52.0,23.0,25.0,17.0,5.0,54.0,43.0,21.0,33.0,2.0,14.0,29.0,13.0,31.0,24.0,35.0,28.0,26.0,50.0,40.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
40.0,0.008,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,0.031,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.99,0
12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4.0,0.067,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5.0,0.033,0.999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40.0,0.04,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.94,0.06,0
12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.98,0
5.0,0.1,0.989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
25.0,0.167,0.968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
52.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4.0,0.118,0.987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
