issue_id,reporter_col,component_col,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,summary_col,description_col,ST_col,Patch_col,CE_col,TC_col,EN_col,files_col,target_Security,target_Performance
12,J.W. Janssen,wicket,1.0,0.0,15.0,0.0,0.0,16.0, open modal window without AjaxRequestTarget open modal window without ajax request target, wicket includ new modal window compon howev compon use valid AjaxRequestTarget would use modal window could open programmat time without AjaxRequestTarget wicket includ new modal window compon howev compon use valid ajax request target would use modal window could open programmat time without ajax request target,0,0,0,0,0,wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;,0,0
16,Korbinian Bachl,wicket,0.0,0.0,69.0,1.0,1.0,67.0, miss base URL encod miss base URL encod, yesterday show concept ompon friend stuml someth dont understand think might bug small panelcompo hold searchform textfield submit noth special code behind look like overrid public void onSubmit string suchFeld getSuchfeld suchFeld length gt PageParameters param new PageParameters param add find suchFeld setResponsePage such class param els setResponsePage getPage getClass compon put BasePage public BasePage add bar add new SuchPanel SuchPanel wich extend real page public class foo extend BasePage creat new instanc zigarren public foo wich work fine howev class name contain non ascii letter etc give bug noth enter search partpubl class zubeh extend BasePage creat new instanc zubeh public zubeh setResponsePage getPage getClass come action troubl page might URL wicket bookmarkablePage de page zubeh rbut form tri go wicket bookmarkablePage de page zubeh rwich result CODE app server yesterday show concept ompon friend stuml someth dont understand think might bug small panelcompo hold searchform textfield submit noth special code behind look like overrid public void submit string feld get suchfeld feld length gt page paramet param new page paramet param add find feld set respons page such class param els set respons page get page get class compon put base page public base page add bar add new panel panel wich extend real page public class foo extend base page creat new instanc zigarren public foo wich work fine howev class name contain non ascii letter etc give bug noth enter search partpubl class zubeh extend base page creat new instanc zubeh public zubeh set respons page get page get class come action troubl page might URL wicket bookmark page de page zubeh rbut form tri go wicket bookmark page de page zubeh rwich result CODE app server,0,0,0,0,0,wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/test/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategyTest.java;wicket/src/test/java/wicket/protocol/http/request/Nﾃｶnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/src/changes/changes.xml;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/test/java/wicket/protocol/http/request/Nﾃｶnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/src/test/java/wicket/protocol/http/request/WebRequestCodingStrategyTest.java;wicket/.settings/org.eclipse.core.resources.prefs;wicket/src/test/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategyTest.java;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/.settings/org.eclipse.core.resources.prefs;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/src/test/java/wicket/protocol/http/request/WebRequestCodingStrategyTest.java;,0,0
31,Bernhard Frauendienst,wicket,0.0,0.0,24.0,0.0,0.0,24.0, wrong sourc path build xml wrong sourc path build xml, path use ant build xml match actual file structur particular follow chang made follow line chang lt properti name src main dir valu src java gt lt properti name src test dir valu src test gt lt properti name src main dir valu src main java gt lt properti name src test dir valu src test java gt path use ant build xml match actual file structur particular follow chang made follow line chang lt properti name src main dir valu src java gt lt properti name src test dir valu src test gt lt properti name src main dir valu src main java gt lt properti name src test dir valu src test java gt,0,0,0,0,0,wicket-examples/src/assembly/build.xml;wicket-parent/src/assembly/build.xml;wicket-parent/src/assembly/build.xml;wicket-spring-examples/src/assembly/build.xml;,0,0
38,Alexander Kellett,wicket,2.0,1.0,34.0,0.0,0.0,37.0, WicketTester fail call clickLink ResourceLink mount resourc wicket tester fail call click link resourc link mount resourc, basic testcas WebApplicationapplication getSharedResources add mountedResource new MountedResource ResourceReference mountedResourceRef new ResourceReference mountedResource applic mountSharedResource mountedLink mountedResourceRef getSharedResourceKey WebPageadd new ResourceLink mountedResourceLink new ResourceReference mountedResource testcas itselftest startPage LinksPage class tester clickLink mountedResourceLink attach eclips gener project build xml work command line use TestNG test war built use eclips work link basic testcas web applicationappl get share resourc add mount resourc new mount resourc resourc refer mount resourc ref new resourc refer mount resourc applic mount share resourc mount link mount resourc ref get share resourc key web pageadd new resourc link mount resourc link new resourc refer mount resourc testcas itselftest start page link page class tester click link mount resourc link attach eclips gener project build xml work command line use test NG test war built use eclips work link,0,0,0,0,0,wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/test/java/wicket/util/tester/MockResourceLinkPage.html;wicket/src/test/java/wicket/util/tester/MockResourceLinkPage.java;wicket/src/test/java/wicket/util/tester/WicketTesterTest.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;,0,0
81,Martijn Dashorst,wicket,3.0,0.0,24.0,1.0,0.0,26.0, make debug set session depend make debug set session depend, current debug set global everyon get see ajax debug link nobodi product system not accept gener debug link user might benefici quickli see go wrong site enabl debug link programmat singl user imagin set also benefit current debug set global everyon get see ajax debug link nobodi product system not accept gener debug link user might benefici quickli see go wrong site enabl debug link programmat singl user imagin set also benefit,0,0,0,0,0,wicket/src/main/java/wicket/Application.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/Application.java;,0,0
82,Igor Vaynberg,wicket,0.0,1.0,4.0,0.0,0.0,5.0, support case insensit mount path support case insensit mount path,,0,0,0,0,0,wicket-examples/src/main/java/wicket/examples/niceurl/NiceUrlApplication.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket-examples/src/main/java/wicket/examples/niceurl/NiceUrlApplication.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;,0,0
85,Jean-Baptiste Quenot,wicket,1.0,0.0,31.0,0.0,1.0,31.0, FormTester not set request paramet unchang form field form tester not set request paramet unchang form field, use FormTester form correctli field valu FormTester not call setFormComponentValue everi field thu request paramet not set next request submit call workaround call setValue everi field attach patch fix problem AbstractTextComponent also add new method getTextComponentValue shortcut access field valu use form tester form correctli field valu form tester not call set form compon valu everi field thu request paramet not set next request submit call workaround call set valu everi field attach patch fix problem abstract text compon also add new method get text compon valu shortcut access field valu,0,0,0,0,0,wicket/src/main/java/wicket/util/tester/FormTester.java;wicket/src/main/java/wicket/util/tester/FormTester.java;,0,0
88,Juergen Donnerstag,wicket,0.0,0.0,16.0,0.0,0.0,16.0, NPE check java NPE check java, form exampl fail NPE check java group hasRawInput string input group getInputAsArray string input input lt lt lt lt lt lt NPE valu equal input tag put check check juergen form exampl fail NPE check java group raw input string input group get input array string input input lt lt lt lt lt lt NPE valu equal input tag put check check juergen,0,0,0,0,0,wicket/src/main/java/wicket/markup/html/form/Check.java;wicket/src/main/java/wicket/markup/html/form/Check.java;,0,0
91,Dmitry Kandalov,wicket,0.0,0.0,2.0,0.0,0.0,2.0, russian applic properti russian applic properti,,0,0,0,0,0,wicket/src/main/java/wicket/Application_ru.properties;wicket/src/main/java/wicket/Application_ru.properties;,0,0
100,Eelco Hillenius,null,0.0,0.0,16.0,0.0,0.0,16.0, extract IPageMap interfac PageMap extract page map interfac page map, extract IPageMap interfac PageMap make easier client provid wrap proxi implement give option implement custom ISessionStores extract page map interfac page map make easier client provid wrap proxi implement give option implement custom session store,0,0,0,0,0,wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/ClientPageSavingSessionStore.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/RequestLogger.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/request/compound/DefaultRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;,0,0
