issue_id,reporter_col,team_col,component_col,grep_sec,grep_perf,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,ST_col,Patch_col,CE_col,TC_col,EN_col,files_col,target_Security,target_Performance
12,J.W. Janssen,0,wicket,0,1,1.0,0.0,15.0,0.0,0.0,16.0,0,0,0,0,0,wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;,0,0
16,Korbinian Bachl,0,wicket,0,1,0.0,0.0,69.0,1.0,1.0,67.0,0,0,0,0,0,wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/test/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategyTest.java;wicket/src/test/java/wicket/protocol/http/request/Nﾃｶnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/src/changes/changes.xml;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/test/java/wicket/protocol/http/request/Nﾃｶnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/src/test/java/wicket/protocol/http/request/WebRequestCodingStrategyTest.java;wicket/.settings/org.eclipse.core.resources.prefs;wicket/src/test/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategyTest.java;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/.settings/org.eclipse.core.resources.prefs;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.html;wicket/src/test/java/wicket/protocol/http/request/Nﾃｸnﾃ・ciiPﾃ､ge.java;wicket/src/test/java/wicket/protocol/http/request/WebRequestCodingStrategyTest.java;,0,0
31,Bernhard Frauendienst,0,wicket,0,0,0.0,0.0,24.0,0.0,0.0,24.0,0,0,0,0,0,wicket-examples/src/assembly/build.xml;wicket-parent/src/assembly/build.xml;wicket-parent/src/assembly/build.xml;wicket-spring-examples/src/assembly/build.xml;,0,0
38,Alexander Kellett,0,wicket,0,1,2.0,1.0,34.0,0.0,0.0,37.0,0,0,0,0,0,wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/test/java/wicket/util/tester/MockResourceLinkPage.html;wicket/src/test/java/wicket/util/tester/MockResourceLinkPage.java;wicket/src/test/java/wicket/util/tester/WicketTesterTest.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;,0,0
81,Martijn Dashorst,1,wicket,0,0,3.0,0.0,23.0,1.0,0.0,25.0,0,0,0,0,0,wicket/src/main/java/wicket/Application.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/Application.java;,0,0
82,Igor Vaynberg,1,wicket,0,0,0.0,1.0,4.0,0.0,0.0,5.0,0,0,0,0,0,wicket-examples/src/main/java/wicket/examples/niceurl/NiceUrlApplication.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket-examples/src/main/java/wicket/examples/niceurl/NiceUrlApplication.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;,0,0
85,Jean-Baptiste Quenot,1,wicket,0,1,1.0,0.0,30.0,0.0,1.0,30.0,0,0,0,0,0,wicket/src/main/java/wicket/util/tester/FormTester.java;wicket/src/main/java/wicket/util/tester/FormTester.java;,0,0
88,Juergen Donnerstag,1,wicket,0,0,0.0,0.0,16.0,0.0,0.0,16.0,0,0,0,0,0,wicket/src/main/java/wicket/markup/html/form/Check.java;wicket/src/main/java/wicket/markup/html/form/Check.java;,0,0
91,Dmitry Kandalov,0,wicket,0,0,0.0,0.0,2.0,0.0,0.0,2.0,0,0,0,0,0,wicket/src/main/java/wicket/Application_ru.properties;wicket/src/main/java/wicket/Application_ru.properties;,0,0
100,Eelco Hillenius,1,null,0,0,0.0,0.0,16.0,0.0,0.0,16.0,0,0,0,0,0,wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/ClientPageSavingSessionStore.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/RequestLogger.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/request/compound/DefaultRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;,0,0
