issue_id,reporter_col,team_col,component_col,grep_sec,grep_perf,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,ST_col,Patch_col,CE_col,TC_col,EN_col,target_Security,target_Performance
12,J.W. Janssen,0,wicket,0,1,0.0625,0.0,0.995850622406639,0.0,0.0,1.0,0,0,0,0,0,0,0
16,Korbinian Bachl,0,wicket,0,1,0.0,0.0,1.0,0.014492753623188406,0.014702748774770935,0.9995644360315065,0,0,0,0,0,0,0
31,Bernhard Frauendienst,0,wicket,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
38,Alexander Kellett,0,wicket,0,1,0.05405405405405406,0.028527370855821126,0.9975770196546931,0.0,0.0,1.0,0,0,0,0,0,0,0
81,Martijn Dashorst,1,wicket,0,0,0.11538461538461539,0.0,0.995008319467554,0.038461538461538464,0.0,0.9984639016897081,0,0,0,0,0,0,0
82,Igor Vaynberg,1,wicket,0,0,0.0,0.2,0.9523809523809523,0.0,0.0,1.0,0,0,0,0,0,0,0
85,Jean-Baptiste Quenot,1,wicket,0,1,0.03225806451612903,0.0,0.9989258861439313,0.0,0.03225806451612903,0.9989258861439313,0,0,0,0,0,0,0
88,Juergen Donnerstag,1,wicket,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
91,Dmitry Kandalov,0,wicket,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
100,Eelco Hillenius,1,null,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
101,Alastair Maw,1,null,0,0,0.0,0.047619047619047616,0.997624703087886,0.047619047619047616,0.0498812351543943,0.9948946049833868,0,0,0,0,0,0,0
105,Martijn Dashorst,1,wicket,0,0,0.0,0.0,1.0,0.0625,0.0,0.995850622406639,0,0,0,0,0,0,0
142,Ingram Chen,0,wicket,0,1,0.0,0.015625,0.9997520456236053,0.015625,0.015869080089263576,0.9994922888678355,0,0,0,0,0,0,0
