issue_id, type, status, resolution, component, priority, reporter, created, assigned, assignee, resolved, created, assigned, summary, description, affected_version, fixed_version, votes, watches, description_words, assingnee_count, comment_count, commenter, Surprising, Dormant, Blocker, Security, Performance, Breakage, commit_count, file_count, files
12,Improvement,Resolved,Fixed,,Major,Eric Yang,0.001157407,0.001157407,Eric Yang,2011/09/26 23:44:36 +0100,0.001157407,0.001157407,/SUM add addit transit state/SUM,For running a server (daemon)  the current states are: START and STARTED. It would be nice to have transition state: STARTING  and STOPPING.,0.1.0,0.1.0,0,0,23,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
46,Improvement,Resolved,Fixed,ambari-agent,Major,Eric Yang,0.001203704,0.001203704,Eric Yang,2011/10/07 21:50:48 +0100,0.001203704,0.001203704,/SUM preserv cluster id blueprint name blueprint revis agent local disk/SUM,After agent execute commands on behave of the controller  agent should store cluster id  blueprint name and blueprint revision in the local disk to keep track of the current deployment state on the agent.,0.1.0,0.1.0,0,0,34,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
92,Bug,Resolved,Fixed,ambari-agent,Major,Eric Yang,0.001886574,0.001886574,Eric Yang,2011/10/21 19:17:12 +0100,0.001886574,0.001886574,/SUM agent retri heartbeat messag control receiv heartbeat/SUM,If the heartbeat was not received correctly by the controller  then it should retry.,0.1.0,0.1.0,0,0,14,1,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
103,Improvement,Resolved,Fixed,ambari-server; ambari-web,Major,Eric Yang,0.005081019,0.005081019,Eric Yang,2011/10/26 19:25:26 +0100,0.005081019,0.005081019,/SUM remov agent entiti bean public schema xsd/SUM,Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public.,0.1.0,0.1.0,0,0,34,1,0,0,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
192,Bug,Resolved,Fixed,,Major,Ramya Sunil,0.319259259,0.319259259,Ramya Sunil,2012/05/09 07:04:42 +0100,0.319259259,0.319259259,/SUM check NN safemod restart/SUM,There is no checks for safemode when we reconfigure the cluster.,0.9.0,0.9.0,0,0,11,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,1,2,CHANGES.txt;hmc/puppet/modules/hdp-hadoop/manifests/hdfs/service_check.pp;,
198,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,0.05681713,0.05681713,Jitendra Nath Pandey,2012/05/09 23:17:43 +0100,0.05681713,0.05681713,/SUM depend templeton hcat client/SUM,hcat client should be installed at the templeton server node.,0.9.0,0.9.0,0,0,10,1,1,1,1 ,0 ,0 ,0 ,0 ,0 ,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/PuppetClassDependencies.php;,
199,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,0.05193287,0.05193287,Jitendra Nath Pandey,2012/05/09 23:20:11 +0100,0.05193287,0.05193287,/SUM remov import mysql puppet modul manifest/SUM,Remove import of mysql puppet module from manifest because this module is deprecated.,0.9.0,0.9.0,0,0,13,1,1,1,1 ,0 ,0 ,0 ,0 ,0 ,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;,
202,Bug,Resolved,Fixed,,Major,Ramya Sunil,0.018136574,0.018136574,Ramya Sunil,2012/05/09 23:46:44 +0100,0.018136574,0.018136574,/SUM add check verifi jdk path instal/SUM,After the jdk install  we do not validate the path. This causes problems during service start in later stages.,0.9.0,0.9.0,0,0,19,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,1,2,CHANGES.txt;hmc/puppet/modules/hdp/manifests/java/package.pp;,
207,Bug,Resolved,Fixed,ambari-server,Minor,Jitendra Nath Pandey,1.490023148,1.490023148,Jitendra Nath Pandey,2012/05/11 15:56:58 +0100,1.490023148,1.490023148,/SUM php notic undefin variabl manifest usr share hmc php puppet genmanifest hostsconfig php/SUM,Undefined variable used.,0.9.0,0.9.0,0,0,4,1,1,1,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
208,Bug,Resolved,Fixed,,Major,Hitesh Shah,1.412303241,1.412303241,Hitesh Shah,2012/05/11 15:59:05 +0100,1.412303241,1.412303241,/SUM support filter host base discoveri statu/SUM,Api to get hosts should allow filtering out bad hosts,0.9.0,0.9.0,0,0,10,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
217,Bug,Resolved,Fixed,,Major,vitthal (Suhas) Gogate,0.771944444,0.771944444,vitthal (Suhas) Gogate,2012/05/11 17:13:23 +0100,0.771944444,0.771944444,/SUM alert tabl right need tie visual verbal context content display/SUM,Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name.,0.9.0,0.9.0,0,0,37,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
222,Bug,Resolved,Fixed,,Major,vitthal (Suhas) Gogate,4.0421875,4.0421875,vitthal (Suhas) Gogate,2012/05/15 02:11:31 +0100,4.0421875,4.0421875,/SUM remov word alert nagio alert descript/SUM,IT is sort of redundant..,0.9.0,0.9.0,0,1,6,1,1,1,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
226,Bug,Resolved,Fixed,,Minor,Suresh Srinivas,3.376296296,null,Unassigned,2012/05/15 03:31:24 +0100,3.376296296,null,/SUM make daemon name field name consist/SUM,Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop,0.9.0,0.9.0,0,1,20,0,1,1,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
232,Bug,Resolved,Fixed,,Major,Vikram Dixit K,3.230358796,3.230358796,Vikram Dixit K,2012/05/15 03:45:36 +0100,3.230358796,3.230358796,/SUM enabl lzo show checkbox instead text/SUM,Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox.,0.9.0,0.9.0,0,1,22,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
236,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2.422349537,2.422349537,Jitendra Nath Pandey,2012/05/15 04:15:29 +0100,2.422349537,2.422349537,/SUM increas puppet agent timeout/SUM,Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog.,0.9.0,0.9.0,0,1,27,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
237,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,3.555358796,3.555358796,Jitendra Nath Pandey,2012/05/16 07:36:09 +0100,3.555358796,3.555358796,/SUM refactor puppet kick loop easili chang retri timeout/SUM,Refactor puppet kick loop to easily change retries and timeouts.,0.9.0,0.9.0,0,1,10,1,1,1,0 ,0 ,0 ,0 ,1 ,0 ,0,0,,
