term,idf
properti,2.5977912620678194
configur,1.925856998147067
camel,1.345242495136942
context,1.4066439824741717
AfterPropertiesConfigured,9.793728488543389
CamelContext,2.432988585485111
afterPropertiesConfigured,9.100581307983443
camelContext,2.8506060657239605
serialVersionUID,4.022287365413373
stop,2.7843195558347515
AlreadyStoppedException,9.793728488543389
alreadi,6.615674658195443
version,3.4929426938801447
serial,3.7183824574547044
UID,4.01917694299898
except,2.7637555768370023
broadcast,6.903356730647224
notif,5.531048611502073
awar,5.178607971702129
jmx,4.4854607911421835
setNotificationBroadcaster,9.100581307983443
NotificationBroadcasterSupport,9.100581307983443
JmxNotificationBroadcasterAware,9.793728488543389
support,3.505869928381604
set,1.3658037648853334
ManagedAttribute,9.793728488543389
manag,3.1229621676975143
attribut,3.9386565663409616
instanc,3.5456856140349595
getInstance,6.032528372849826
get,0.941921929990938
ManagedInstance,9.793728488543389
ManagedNotification,9.793728488543389
ManagedNotifications,9.793728488543389
ManagedOperation,9.793728488543389
oper,3.5322368042223466
resourc,3.8883666404888184
ManagedResource,9.793728488543389
string,0.885980801754741
ss,6.797996214989397
TIMESTAMP,6.7026860351850726
mm,6.749206050819966
ROOT,7.395833215745018
HH,6.749206050819966
messag,2.163752781515599
FORMAT,5.922527477635498
TAG,6.9605151444871725
SSSZ,8.001969019315334
MM,6.359741284058242
dd,6.267367963927227
yyyi,6.297220927076908
tracer,5.305092118811249
event,3.53606090066075
backlog,6.535631950521907
Id,2.728969460751587
xml,3.032155719739333
backlogTracerEventMessage,9.793728488543389
indent,7.491143395549343
timestamp,5.462995148257058
exchang,2.1317309296414955
node,3.9795979567183224
getUid,9.100581307983443
getTimestamp,7.085678287441179
BacklogTracerEventMessage,8.69511619987528
toXml,8.69511619987528
getRouteId,6.426432658556915
uid,8.184290576109289
getMessageAsXml,9.100581307983443
getExchangeId,7.308821838755389
getToNode,8.001969019315334
rout,0.9945192463019972
type,2.2865874088157807
list,2.3200913800471827
composit,5.987065998773069
tabular,8.407434127423498
explain,6.392531106881234
endpoint,1.6232599102127157
compon,2.0022056693926564
eip,6.359741284058242
util,4.52587032948006
bean,2.8889777185815504
await,5.922527477635498
rest,3.607519864642895
choic,5.462995148257058
format,3.193857989330552
loadbalanc,7.847818339488075
detail,5.271939911494348
servic,2.633659280947262
open,5.066340669831048
thread,3.6668593044292037
transform,4.66976450914013
valid,3.7069537616310817
health,5.531048611502073
inflight,5.823436574991267
convert,3.613711834890816
runtim,5.437019661853797
CamelOpenMBeanTypes,9.793728488543389
data,2.7341108602520054
listEndpointsTabularType,9.793728488543389
choiceCompositeType,9.793728488543389
camelHealthDetailsTabularType,9.793728488543389
explainEipTabularType,9.793728488543389
camelHealthDetailsCompositeType,9.793728488543389
listAwaitThreadsCompositeType,9.793728488543389
listTypeConvertersCompositeType,9.793728488543389
listComponentsCompositeType,9.793728488543389
listRuntimeEndpointsCompositeType,9.793728488543389
explainDataFormatTabularType,9.793728488543389
listEipsTabularType,9.793728488543389
loadbalancerExceptionsCompositeType,9.793728488543389
listAwaitThreadsTabularType,9.793728488543389
listInflightExchangesCompositeType,9.793728488543389
listTransformersTabularType,9.793728488543389
listValidatorsTabularType,9.793728488543389
choiceTabularType,9.793728488543389
endpointsUtilizationCompositeType,9.793728488543389
endpointsUtilizationTabularType,9.793728488543389
loadbalancerExceptionsTabularType,9.793728488543389
explainComponentCompositeType,9.793728488543389
listComponentsTabularType,9.793728488543389
listRuntimeEndpointsTabularType,9.793728488543389
explainDataFormatsCompositeType,9.793728488543389
listInflightExchangesTabularType,9.793728488543389
listTypeConvertersTabularType,9.793728488543389
explainEndpointsCompositeType,9.793728488543389
explainEipsCompositeType,9.793728488543389
explainEndpointTabularType,9.793728488543389
explainComponentTabularType,9.793728488543389
listRestServicesTabularType,9.793728488543389
listEndpointsCompositeType,9.793728488543389
listRestServicesCompositeType,9.793728488543389
listTransformersCompositeType,9.793728488543389
listValidatorsCompositeType,9.793728488543389
listEipsCompositeType,9.793728488543389
complet,3.858834292923801
correl,5.411701853869507
timeout,3.5731383184436494
key,3.0138065810711363
size,3.4289777316914773
express,3.5152070643775444
forc,5.198608638408799
languag,3.9076244570932333
statist,5.057530040148893
enabl,3.812314277288908
interv,5.111597261419169
predic,4.264299401031965
group,4.060387211645643
close,4.2965602632501865
batch,4.495411121995352
cach,3.3819102208334915
consum,2.2536381683980635
total,5.559621983946129
aggreg,3.8483078799368133
ignor,4.567981814830187
checker,6.574852663675188
isStatisticsEnabled,7.15467115892813
getCorrelationExpression,7.847818339488075
getClosedCorrelationKeysCacheSize,8.69511619987528
strategi,3.355976838806987
getCompletedByBatchConsumer,8.69511619987528
check,4.076700787137167
processor,2.5829100350711682
discard,6.797996214989397
getCompletionPredicateLanguage,9.100581307983443
getCompletionTimeout,8.184290576109289
getCompletedByForce,8.69511619987528
getCompletedByPredicate,8.69511619987528
statisticsEnabled,7.228779131081851
isDiscardOnCompletionTimeout,8.69511619987528
forceCompletionOfAllGroups,8.184290576109289
lock,4.783093194447133
getCompletionTimeoutCheckerInterval,8.407434127423498
reset,4.573372663465064
ManagedAggregateProcessorMBean,9.793728488543389
getCorrelationExpressionLanguage,9.100581307983443
getCompletionTimeoutExpression,8.407434127423498
getCompletedBySize,8.69511619987528
getCompletionPredicate,8.001969019315334
isCompletionFromBatchConsumer,8.69511619987528
optimist,6.615674658195443
getCompletionTimeoutLanguage,9.100581307983443
setStatisticsEnabled,7.085678287441179
resetStatistics,7.395833215745018
aggregationRepositoryGroups,9.100581307983443
isIgnoreInvalidCorrelationKeys,8.69511619987528
isForceCompletionOnStop,9.100581307983443
isOptimisticLocking,8.184290576109289
getInProgressCompleteExchanges,8.69511619987528
getCompletedByStrategy,8.69511619987528
clear,4.66976450914013
getCompletedByInterval,8.69511619987528
getCompletionSize,8.184290576109289
isEagerCheckCompletion,8.407434127423498
process,3.0206481128878533
progress,7.15467115892813
getCloseCorrelationKeyOnCompletion,8.407434127423498
isParallelProcessing,7.5965039112071695
isCompleteAllOnStop,8.69511619987528
getCompletedByTimeout,8.69511619987528
forceCompletionOfGroup,8.184290576109289
clearClosedCorrelationKeysCache,8.69511619987528
getTotalCompleted,8.69511619987528
getCompletionInterval,7.714286946863552
getTotalIn,8.69511619987528
repositori,4.252464943384963
parallel,5.250433706273385
eager,5.9650870920542935
invalid,4.162516706722023
getCompletionSizeExpression,8.407434127423498
getCompletionSizeExpressionLanguage,9.100581307983443
interrupt,6.658234272614239
durat,5.666594103498297
brows,6.267367963927227
getMinDuration,9.100581307983443
ManagedAsyncProcessorAwaitManagerMBean,9.793728488543389
getMaxDuration,9.100581307983443
async,3.4675790153882895
setInterruptThreadsWhileStopping,8.407434127423498
getMeanDuration,9.100581307983443
exchangeId,6.426432658556915
getTotalDuration,9.100581307983443
min,5.666594103498297
interruptThreadsWhileStopping,8.407434127423498
block,4.66976450914013
getThreadsBlocked,9.100581307983443
max,4.093284915152702
isInterruptThreadsWhileStopping,8.407434127423498
mean,6.426432658556915
getThreadsInterrupted,9.100581307983443
getSize,6.032528372849826
breakpoint,6.615674658195443
bodi,2.9791855912834304
nodeId,7.308821838755389
object,2.1117069777165143
header,2.633659280947262
includ,4.4756084946991725
remov,3.547621723061826
level,4.395565787025636
step,6.426432658556915
name,1.9757005500126597
fallback,5.387009241279135
stream,3.0172214961712056
char,5.1397681383858655
headerName,5.650593762151856
debugg,6.658234272614239
file,2.7238543600848164
counter,4.364382859588948
add,3.3291401848534274
log,3.6409957938392843
condit,5.9650870920542935
debug,5.901908190432762
setMessageBodyOnBreakpoint,8.69511619987528
setMessageHeaderOnBreakpoint,8.69511619987528
resum,4.881073602807337
disabl,4.505461457848853
resumeBreakpoint,8.69511619987528
setLoggingLevel,7.714286946863552
getCamelManagementName,6.574852663675188
isEnabled,5.666594103498297
disableBreakpoint,8.69511619987528
bodyMaxChars,8.001969019315334
singl,4.578792730934403
setBodyIncludeStreams,8.001969019315334
dumpTracedMessagesAsXml,8.001969019315334
getDebugCounter,8.69511619987528
fallbackTimeout,8.69511619987528
setFallbackTimeout,8.69511619987528
bodyIncludeFiles,8.001969019315334
isSingleStepMode,8.69511619987528
addBreakpoint,8.184290576109289
getSuspendedBreakpointNodeIds,8.69511619987528
removeBreakpoint,8.184290576109289
setBodyIncludeFiles,8.001969019315334
suspend,4.718554673309562
dump,5.4499230666897045
resumeAll,8.69511619987528
getFallbackTimeout,8.69511619987528
id,3.5632470409649066
isBodyIncludeFiles,8.001969019315334
mode,4.304790762386702
addConditionalBreakpoint,8.69511619987528
setBodyMaxChars,8.001969019315334
removeMessageHeaderOnBreakpoint,8.69511619987528
disableDebugger,8.69511619987528
bodyIncludeStreams,8.001969019315334
getLoggingLevel,7.395833215745018
isBodyIncludeStreams,8.001969019315334
resetDebugCounter,8.69511619987528
enableBreakpoint,8.69511619987528
getBodyMaxChars,8.001969019315334
trace,4.456190408842071
enableDebugger,8.69511619987528
removeAllBreakpoints,8.69511619987528
validateConditionalBreakpoint,9.100581307983443
stepBreakpoint,8.69511619987528
ManagedBacklogDebuggerMBean,9.793728488543389
getCamelId,6.392531106881234
removeMessageBodyOnBreakpoint,8.69511619987528
getBreakpoints,8.184290576109289
pattern,3.896574620906648
nodeOrRouteId,9.100581307983443
filter,3.4729601942928063
setTracePattern,8.69511619987528
dumpTracedMessages,8.69511619987528
setTraceFilter,8.407434127423498
dumpAllTracedMessagesAsXml,8.69511619987528
setRemoveOnDump,8.69511619987528
getTracePattern,8.69511619987528
backlogSize,8.69511619987528
getTraceCounter,8.69511619987528
resetTraceCounter,8.69511619987528
removeOnDump,8.69511619987528
setBacklogSize,8.69511619987528
getBacklogSize,8.69511619987528
isRemoveOnDump,8.69511619987528
getTraceFilter,8.407434127423498
ManagedBacklogTracerMBean,9.793728488543389
setEnabled,5.94358088683333
dumpAllTracedMessages,8.69511619987528
ManagedBeanMBean,9.793728488543389
method,3.3901542906085735
getMethod,6.392531106881234
class,2.7664139745036125
getBeanClassName,9.100581307983443
integ,3.4911095127984835
index,4.5105247598054
boolean,3.160410055263012
includeBody,8.184290576109289
browseMessageAsXml,9.100581307983443
browsabl,7.395833215745018
fromIndex,8.407434127423498
browseRangeMessagesAsXml,8.69511619987528
browseAllMessagesAsXml,9.100581307983443
browseMessageBody,9.100581307983443
queue,3.9559980413774487
queueSize,7.228779131081851
toIndex,8.69511619987528
browseExchange,9.100581307983443
rang,5.823436574991267
ManagedBrowsableEndpointMBean,9.793728488543389
uri,2.026464491786081
json,3.697903926111164
endpointUri,4.38655671708327
map,2.452892934420114
option,3.444589497163591
paramet,2.9205646543308705
schema,4.628942514619874
use,2.705319709867994
find,4.391051106671109
start,2.2954126177764076
time,3.777571328845035
send,2.8879752122319244
componentName,5.604073746516963
unit,4.490423580484313
resolv,3.3591819697559355
global,4.731133455516422
shutdown,4.221574456365624
includeAllOptions,8.407434127423498
getLoad,8.001969019315334
creat,0.742618342137763
load,3.7092290754682176
request,3.4136059516436235
stat,5.531048611502073
updat,3.9825874955666882
restart,5.619341218647752
resolvePlaceholders,8.407434127423498
uptim,7.308821838755389
dumpRestsAsXml,9.100581307983443
addOrUpdateRoutesFromXml,9.100581307983443
static,5.282868982026539
createRouteStaticEndpointJson,8.001969019315334
dumpRoutesAsXml,9.100581307983443
placehold,3.8829318445028616
packag,3.8561922834609623
componentParameterJsonSchema,9.100581307983443
isAllowUseOriginalMessage,8.001969019315334
getClassResolver,8.001969019315334
isUseMDCLogging,8.184290576109289
dataFormatName,7.5965039112071695
eipParameterJsonSchema,9.100581307983443
getUptimeMillis,7.5965039112071695
requestBodyAndHeaders,7.085678287441179
getProperties,5.76837679780824
sendBodyAndHeaders,8.184290576109289
getManagementStatisticsLevel,9.100581307983443
getApplicationContextClassName,9.100581307983443
explainEndpointJson,8.407434127423498
urlDecode,9.100581307983443
requestBody,7.021139766303607
setTimeout,5.559621983946129
getPackageScanClassResolver,8.184290576109289
dataFormatParameterJsonSchema,9.100581307983443
explainComponentJson,8.407434127423498
getHeadersMapFactoryClassName,9.100581307983443
createEndpoint,4.141239308274738
TimeUnit,5.411701853869507
decod,5.239851596942848
getStartedRoutes,9.100581307983443
completeEndpointPath,7.714286946863552
breadcrumb,6.749206050819966
coverag,6.749206050819966
setGlobalOption,9.100581307983443
isShutdownNowOnTimeout,8.184290576109289
getUptime,7.5965039112071695
removeEndpoints,8.407434127423498
completionText,7.714286946863552
allow,4.116974686275107
setShutdownNowOnTimeout,8.184290576109289
getGlobalOptions,7.5965039112071695
full,5.619341218647752
MDC,6.535631950521907
getState,6.156142328817003
sendBody,6.749206050819966
includeDynamic,7.847818339488075
findEips,8.184290576109289
getTimeout,5.489663395339219
getCamelVersion,9.100581307983443
nameOrId,7.5965039112071695
fullStats,7.5965039112071695
setProperty,6.797996214989397
state,4.52587032948006
