term,idf
init,3.4095734194643383
applic,2.465631156259673
wicket,2.6101315802547695
home,2.878395566849449
WicketApplication,6.472964341492144
get,0.9122827104766164
page,1.091225366805035
getHomePage,3.8628945487501376
contact,4.344732635642876
string,0.8511152495986292
email,5.374352052824034
long,4.418840607796598
remov,3.0325462466767075
id,1.8657961528413796
getContact,7.389255073366299
getContacts,7.389255073366299
modelObject,6.136492104870931
object,2.277267285009756
addContact,7.389255073366299
ContactDao,5.885177676590025
model,2.12915891963846
add,2.889445403036034
dao,5.443344924310986
em,6.696107892806354
manag,4.2537608574371495
context,3.428441903768721
entiti,6.290642784698189
persist,5.885177676590025
PersistenceContext,8.082402253926244
EntityManager,8.082402253926244
bean,4.131158535344817
ContactDaoBean,8.082402253926244
Id,2.6663018517218244
strategi,3.6879530992538054
uniqu,5.779817160932199
IDENTITY,8.082402253926244
column,4.556041729310083
set,1.8961936300257505
name,2.5569493147944606
gener,3.833907011876885
valu,2.794135223231709
equal,3.418963159814177
obj,4.368830187221937
GeneratedValue,8.082402253926244
code,3.3117176294605795
setEmail,6.472964341492144
getId,4.824305715904762
setId,5.684506981127874
toString,2.9349077771127914
getEmail,6.472964341492144
hashCode,3.955267868881153
hash,3.112588954350244
setName,5.517452896464707
getName,4.444816094199859
form,2.895016448085489
insert,5.684506981127874
inject,4.021959243379825
insertForm,7.389255073366299
contactDao,6.472964341492144
InsertContact,7.389255073366299
resourc,2.1369816453196693
welcomeMessage,8.082402253926244
messag,3.1479283207955526
welcom,8.082402253926244
list,2.4547811402356072
ListContacts,8.082402253926244
servlet,3.8057361349101893
INF,6.472964341492144
WEB,6.696107892806354
path,3.1265751963249837
web,2.895016448085489
base,3.4974347752556723
basePath,7.389255073366299
app,4.616666351126518
apach,4.021959243379825
arquillian,6.983789965258135
test,1.4103693084651772
project,6.983789965258135
org,4.393522799812308
ServletContext,5.885177676590025
servletContext,6.290642784698189
pathnam,6.136492104870931
class,2.3988224865875627
ResourceWebApplicationPath,8.082402253926244
find,3.8777096345352784
clazz,4.298212620007983
initResourceFinder,7.389255073366299
finder,5.517452896464707
EE,7.389255073366299
java,3.4476732656966087
WicketJavaEEApplication,8.082402253926244
header,2.4056484516579624
ApacheLicenceHeaderTest,4.904348423578298
licenc,4.8635264290580436
SRC,8.082402253926244
webapp,6.696107892806354
logger,2.769196274884457
src,5.309813531686463
tester,3.7385968320725604
WEBAPP,8.082402253926244
deploy,6.983789965258135
main,5.684506981127874
log,3.0717669598299886
TEST,5.779817160932199
AbstractDeploymentTest,8.082402253926244
wicketTester,6.472964341492144
WicketTester,4.498883315470135
abstract,3.058521733079968
factori,2.517881846603551
getLogger,2.8353781817657584
LoggerFactory,2.8353781817657584
use,4.681204872264089
setWicketTester,8.082402253926244
contain,2.8094026953624978
useServletContextContainer,8.082402253926244
getWicketTester,8.082402253926244
REQUIRED,6.696107892806354
requir,4.418840607796598
WICKET,5.086669980372253
EMAIL,6.983789965258135
ARQUILLIAN,8.082402253926244
INSERT,7.389255073366299
ORG,8.082402253926244
IS,6.696107892806354
FORM,6.002960712246408
APACHE,8.082402253926244
NAME,4.498883315470135
InsertContactTest,8.082402253926244
error,3.4095734194643383
testErrorMessagesInsertContact,8.082402253926244
testInsertContact,8.082402253926244
CONTACT,8.082402253926244
PAGES,7.389255073366299
found,4.786565387921915
HTML,5.137963274759804
FOUND,8.082402253926244
RESOURCE,5.137963274759804
NOT,6.472964341492144
html,3.892747511899819
ArquillianContainerProvidedTest,8.082402253926244
provid,3.133642363548076
new,2.402229644909177
findResourcesServletContext,8.082402253926244
testFindResourcesServletContextFromContainer,8.082402253926244
testNullApplication,8.082402253926244
reus,5.517452896464707
null,4.021959243379825
testNewApplicationTryReuseServletContextFilter,8.082402253926244
testNewApplication,8.082402253926244
filter,3.238215167467653
tri,6.472964341492144
testFindResourcesWebApplicationFromContainer,8.082402253926244
TestWicketJavaEEApplication,8.082402253926244
entri,4.616666351126518
packag,4.321202138232682
fail,4.648415049441098
OsgiClashingPackagesTest,8.082402253926244
collectProjectPackages,8.082402253926244
osgi,7.389255073366299
clash,8.082402253926244
collect,3.7516689136399135
StartJavaScriptTests,8.082402253926244
arg,5.517452896464707
script,3.833907011876885
start,3.7385968320725604
phone,5.517452896464707
first,4.2537608574371495
last,3.764914140389934
cell,5.443344924310986
lastName,6.136492104870931
firstName,6.290642784698189
homePhone,6.696107892806354
cellPhone,6.696107892806354
serialVersionUID,0.9427419179613249
version,0.9161362797926061
serial,0.9192298630796018
UID,0.9427419179613249
getHomePhone,6.696107892806354
setHomePhone,6.696107892806354
setFirstName,6.290642784698189
getLastName,6.136492104870931
getFirstName,6.290642784698189
getCellPhone,6.696107892806354
setCellPhone,6.696107892806354
setLastName,6.136492104870931
count,3.518054062458408
iter,3.6879530992538054
size,3.4095734194643383
detach,3.214867803470662
ContactDataProvider,6.983789965258135
getContactsDB,5.684506981127874
data,2.8145440948629163
DB,5.517452896464707
ContactGenerator,6.696107892806354
instanc,3.7516689136399135
smiith,6.696107892806354
kathleen,6.696107892806354
ortiz,6.696107892806354
cruz,6.696107892806354
brianna,6.696107892806354
nichola,6.696107892806354
sandra,6.696107892806354
baker,6.472964341492144
dougla,6.696107892806354
jone,6.472964341492144
linda,6.696107892806354
clark,6.696107892806354
pamela,6.696107892806354
michael,6.472964341492144
bailey,6.696107892806354
virginia,6.696107892806354
brown,6.696107892806354
matthew,6.696107892806354
larri,6.696107892806354
black,6.472964341492144
davi,6.696107892806354
samantha,6.696107892806354
abner,6.696107892806354
abbi,6.696107892806354
jose,6.696107892806354
willi,6.472964341492144
hailey,6.696107892806354
graham,6.696107892806354
lee,6.696107892806354
allen,6.696107892806354
william,6.696107892806354
nelson,6.696107892806354
debra,6.696107892806354
hall,6.696107892806354
johnson,6.696107892806354
rose,6.696107892806354
timothi,6.696107892806354
fisher,6.696107892806354
christoph,6.696107892806354
keith,6.696107892806354
murray,6.696107892806354
jacob,6.696107892806354
emili,6.696107892806354
jack,6.696107892806354
gonzalez,6.696107892806354
maria,6.696107892806354
wilson,6.696107892806354
gerald,6.696107892806354
sarah,6.696107892806354
moor,6.472964341492144
donahu,6.696107892806354
samuel,6.696107892806354
gomez,6.696107892806354
joshua,6.696107892806354
firstNames,6.696107892806354
max,4.190581955815618
lastNames,6.696107892806354
min,5.137963274759804
rint,6.696107892806354
nextId,6.472964341492144
choic,4.150576621201918
next,4.190581955815618
random,5.309813531686463
randomString,6.290642784698189
generatePhoneNumber,6.696107892806354
getInstance,5.517452896464707
number,3.700375619252363
generateId,6.696107892806354
map,2.8353781817657584
synchron,5.885177676590025
array,3.0851899801621294
idx,6.472964341492144
ArrayList,3.9880576917041437
synchronizedList,6.696107892806354
desc,6.136492104870931
lname,6.696107892806354
fname,6.696107892806354
asc,8.082402253926244
delet,5.086669980372253
fnameDescIdx,6.696107892806354
prop,6.983789965258135
fnameIdx,6.696107892806354
databas,5.597495604138244
lnameIdx,6.696107892806354
HashMap,4.498883315470135
ContactsDatabase,6.290642784698189
sort,4.47148434128202
synchronizedMap,6.472964341492144
lnameDescIdx,6.696107892806354
save,5.086669980372253
getCount,5.779817160932199
index,3.4380113547848716
sortProperty,5.443344924310986
updat,3.5076912754228613
sortAsc,8.082402253926244
properti,3.303278760814715
updateIndecies,6.696107892806354
indeci,6.696107892806354
getIndex,6.472964341492144
locat,3.7783371607220744
DatabaseLocator,6.983789965258135
getDatabase,6.983789965258135
DetachableContactModel,6.983789965258135
load,3.791942812777853
integ,3.639750997435928
line,5.086669980372253
date,3.892747511899819
boolean,3.9880576917041437
doubl,4.585894692459764
group,4.112110340374122
URL,4.190581955815618
rang,5.374352052824034
select,4.075069068693773
site,5.684506981127874
url,2.8512936370716577
UsPhoneNumber,6.696107892806354
US,6.696107892806354
Us,6.290642784698189
NUMBERS,6.696107892806354
radio,5.086669980372253
mask,6.696107892806354
booleanProperty,7.389255073366299
integerInRangeProperty,7.389255073366299
dateProperty,8.082402253926244
urlProperty,7.389255073366299
doubleProperty,7.389255073366299
stringProperty,7.389255073366299
check,3.278381209192988
phoneNumberUS,7.389255073366299
integerProperty,7.389255073366299
HashSet,5.309813531686463
input,3.1996003313398735
numbersCheckGroup,7.389255073366299
numberRadioChoice,7.389255073366299
siteSelection,7.389255073366299
numbersGroup,7.389255073366299
FormInputModel,7.389255073366299
getLines,7.389255073366299
color,6.472964341492144
getDateProperty,8.082402253926244
getPhoneNumberUS,7.389255073366299
setDoubleProperty,7.389255073366299
setNumbersGroup,7.389255073366299
setPhoneNumberUS,7.389255073366299
setLines,7.389255073366299
getIntegerInRangeProperty,7.389255073366299
setNumberRadioChoice,7.389255073366299
favorit,7.389255073366299
getNumberRadioChoice,7.389255073366299
getNumbersGroup,7.389255073366299
getDoubleProperty,7.389255073366299
getBooleanProperty,7.389255073366299
setUrlProperty,7.389255073366299
setIntegerInRangeProperty,7.389255073366299
getNumbersCheckGroup,7.389255073366299
setStringProperty,7.389255073366299
selectedSites,7.389255073366299
setSiteSelection,7.389255073366299
setBooleanProperty,7.389255073366299
getSiteSelection,7.389255073366299
getStringProperty,7.389255073366299
getIntegerProperty,7.389255073366299
setIntegerProperty,7.389255073366299
setDateProperty,8.082402253926244
getUrlProperty,7.389255073366299
favoriteColor,7.389255073366299
local,2.9349077771127914
asList,5.037879816202821
DK,7.389255073366299
LOCALES,7.389255073366299
side,5.309813531686463
IR,7.389255073366299
net,5.779817160932199
SITES,5.885177676590025
JAPANESE,7.389255073366299
server,4.75019774375104
BR,7.389255073366299
SIMPLIFIED,7.389255073366299
ENGLISH,6.290642784698189
wrap,4.527054192436831
da,7.389255073366299
relev,6.696107892806354
GERMAN,7.389255073366299
pt,7.389255073366299
multipl,4.75019774375104
fa,7.389255073366299
CHINESE,7.389255073366299
nl,6.983789965258135
lobbi,5.885177676590025
label,3.5076912754228613
getSelectedContactLabel,7.389255073366299
setLocale,5.249188909870028
imag,3.9392675275347115
defin,6.136492104870931
PAGE,5.309813531686463
PER,6.983789965258135
IMAGES,8.082402253926244
ResourceTestPage,8.082402253926244
contactsDB,6.983789965258135
TestApp,7.389255073366299
getNumber,6.696107892806354
setNumber,6.696107892806354
connect,4.585894692459764
getData,5.597495604138244
pool,8.082402253926244
dequ,6.983789965258135
ThreadLocal,6.983789965258135
thread,5.137963274759804
instance,8.082402253926244
lock,6.002960712246408
releas,6.696107892806354
allConnections,8.082402253926244
ArrayDeque,8.082402253926244
doGetConnection,8.082402253926244
doRelease,8.082402253926244
getConnection,6.983789965258135
request,2.1162555148025524
respons,2.549012765198724
chain,5.517452896464707
config,4.946908037997095
destroy,3.8628945487501376
ServletRequest,6.290642784698189
FilterConfig,5.885177676590025
FilterChain,6.696107892806354
doFilter,6.290642784698189
ServletResponse,6.290642784698189
TestFilter,8.082402253926244
execut,4.393522799812308
visit,5.137963274759804
AbstractCommand,8.082402253926244
command,6.002960712246408
URLs,6.696107892806354
UR,6.696107892806354
Ls,6.696107892806354
getUrls,8.082402253926244
getIterations,7.389255073366299
client,4.2537608574371495
runner,6.696107892806354
AbstractGetCommand,8.082402253926244
CommandRunner,6.696107892806354
http,3.467281737084985
doGet,6.696107892806354
HttpClient,6.983789965258135
observ,6.983789965258135
CommandRunnerObserver,8.082402253926244
run,5.684506981127874
getClient,8.082402253926244
print,5.684506981127874
SimpleGetCommand,8.082402253926244
simpl,3.700375619252363
printResponse,8.082402253926244
getPrintResponse,8.082402253926244
setPrintResponse,8.082402253926244
port,5.086669980372253
session,3.051964332533809
host,5.374352052824034
param,4.444816094199859
seper,7.389255073366299
concurr,4.527054192436831
repres,6.290642784698189
behav,6.983789965258135
multipleSessions,8.082402253926244
numberOfThreads,8.082402253926244
localhost,7.389255073366299
issu,5.779817160932199
activeThreads,8.082402253926244
HttpClientParams,8.082402253926244
except,3.2621206883212075
activ,4.71510642393977
setPort,6.983789965258135
startServer,8.082402253926244
getHost,7.389255073366299
setHost,7.389255073366299
onDone,7.389255073366299
getPort,6.696107892806354
onError,5.137963274759804
done,6.290642784698189
authent,5.137963274759804
AbstractAuthenticatedWebSession,8.082402253926244
isSignedIn,6.983789965258135
getRoles,6.290642784698189
role,4.824305715904762
sign,4.681204872264089
compon,1.785292933992309
unauthor,5.597495604138244
onUnauthorizedPage,8.082402253926244
newSession,5.443344924310986
getSignInPageClass,7.389255073366299
getWebSessionClass,7.389255073366299
instanti,4.585894692459764
AuthenticatedWebApplication,8.082402253926244
restart,5.443344924310986
onUnauthorizedInstantiation,6.983789965258135
hasAnyRole,6.472964341492144
restartResponseAtSignInPage,8.082402253926244
AtomicBoolean,5.597495604138244
atom,4.946908037997095
user,4.321202138232682
password,5.086669980372253
true,4.8635264290580436
usernam,5.597495604138244
signedIn,8.082402253926244
signIn,6.983789965258135
AuthenticatedWebSession,7.389255073366299
invalid,4.47148434128202
signOut,8.082402253926244
SignInPage,8.082402253926244
paramet,2.5294426690046268
PageParameters,2.970414465569701
SignOutPage,8.082402253926244
rememb,6.696107892806354
panel,2.895016448085489
checkbox,6.136492104870931
SIGN,7.389255073366299
cooki,4.418840607796598
display,4.444816094199859
includ,5.309813531686463
rememberMe,8.082402253926244
SignInPanel,7.389255073366299
includeRememberMe,8.082402253926244
IN,7.389255073366299
signInForm,8.082402253926244
getPassword,7.389255073366299
onSignInSucceeded,8.082402253926244
setRememberMe,8.082402253926244
getForm,5.374352052824034
onSignInRemembered,8.082402253926244
setUsername,8.082402253926244
