class_id,class_name,class_content
0,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/archetypes/quickstart/src/main/resources/archetype-resources/src/main/java/HomePage.java,
1,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/archetypes/quickstart/src/main/resources/archetype-resources/src/main/java/WicketApplication.java, WicketApplication getHomePage init wicket applic get home page init
2,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/archetypes/quickstart/src/main/resources/archetype-resources/src/test/java/Start.java,
3,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/archetypes/quickstart/src/main/resources/archetype-resources/src/test/java/TestHomePage.java,
4,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/dao/ContactDao.java, ContactDao getContacts getContact long id addContact string string email remov contact modelObject contact dao get contact get contact long id add contact string string email remov contact model object
5,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/dao/ContactDaoBean.java, ContactDaoBean getContacts getContact long id addContact string string email remov contact modelObject PersistenceContext EntityManager em PersistenceContext EntityManager em contact dao bean get contact get contact long id add contact string string email remov contact model object persist context entiti manag em persist context entiti manag em
6,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/model/Contact.java, contact contact contact long id string string email getEmail setEmail string email getName setName string getId setId long id hashCode equal object obj toString Id GeneratedValue strategi IDENTITY long id Id GeneratedValue strategi IDENTITY long id string string column uniqu string email column uniqu string email contact contact contact long id string string email get email set email string email get name set name string get Id set Id long id hash code equal object obj string Id gener valu strategi IDENTITY long id Id gener valu strategi IDENTITY long id string string column uniqu string email column uniqu string email
7,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/pages/InsertContact.java, InsertContact InsertContact getEmail setEmail string email getName setName string form contact insertForm form contact insertForm string string string email string email inject ContactDao contactDao inject ContactDao contactDao insert contact insert contact get email set email string email get name set name string form contact insert form form contact insert form string string string email string email inject contact dao contact dao inject contact dao contact dao
8,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/pages/ListContacts.java, ListContacts ListContacts inject ContactDao inject inject ContactDao contactDao inject ContactDao contactDao resourc welcomeMessage string resourc welcomeMessage string list contact list contact inject contact dao inject inject contact dao contact dao inject contact dao contact dao resourc welcom messag string resourc welcom messag string
9,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/util/ResourceWebApplicationPath.java, ResourceWebApplicationPath ResourceWebApplicationPath string basePath ServletContext servletContext find class clazz string pathnam toString string WEB_INF WEB INF string WEB_INF WEB INF web app servlet context ServletContext servletContext web app servlet context ServletContext servletContext basePath project org apach wicket arquillian test string basePath basePath project org apach wicket arquillian test string basePath resourc web applic path resourc web applic path string base path servlet context servlet context find class clazz string pathnam string string WEB INF WEB INF string WEB INF WEB INF web app servlet context servlet context servlet context web app servlet context servlet context servlet context base path project org apach wicket arquillian test string base path base path project org apach wicket arquillian test string base path
10,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/main/java/org/apache/wicket/arquillian/testing/WicketJavaEEApplication.java, WicketJavaEEApplication getHomePage init initResourceFinder wicket java EE applic get home page init init resourc finder
11,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/test/java/org/apache/wicket/arquillian/testing/ApacheLicenceHeaderTest.java, ApacheLicenceHeaderTest ApacheLicenceHeaderTest apach licenc header test apach licenc header test
12,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/test/java/org/apache/wicket/arquillian/testing/deployment/AbstractDeploymentTest.java, AbstractDeploymentTest deploy setWicketTester WicketTester wicketTester getWicketTester useServletContextContainer logger log LoggerFactory getLogger AbstractDeploymentTest logger log LoggerFactory getLogger AbstractDeploymentTest string WEBAPP_SRC src main webapp string WEBAPP_SRC src main webapp string WEBAPP_TEST_SRC src test webapp string WEBAPP_TEST_SRC src test webapp WicketTester wicketTester WicketTester wicketTester abstract deploy test deploy set wicket tester wicket tester wicket tester get wicket tester use servlet context contain logger log logger factori get logger abstract deploy test logger log logger factori get logger abstract deploy test string WEBAPP SRC src main webapp string WEBAPP SRC src main webapp string WEBAPP TEST SRC src test webapp string WEBAPP TEST SRC src test webapp wicket tester wicket tester wicket tester wicket tester
