issue_id,reporter,component,keywords,pre_sum,summary,pre_des,description,des-1,des-2,des-3,des-4,des-5,files,Security
72,Willem Jiang,camel-core,0,FileConfigureTest can't pass in Windows box, FileConfigureTest file configur test pass window box,Because of the File.separator is different between the unix and windows system. So the test can't pass in windows box.I just attached a patch for it. Please have a look at it  I tested it in windows box., file separ file separ differ unix window system system test pass window box box attach patch pleas look test window box box,0,1,0,0,0,camel-core/src/test/java/org/apache/camel/component/file/FileConfigureTest.java;,0
84,Brian McCallister,camel-core,0,Throw Useful Exception on No TypeConverter Available, throw use except No TypeConverter type convert avail,When there is no type converter available an NPE is thrown that requires tracing through sources to find root of problem, no type convert avail NPE thrown requir trace sourc find root problem,0,1,0,0,1,camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java;camel-core/src/main/java/org/apache/camel/processor/ConvertBodyProcessor.java;,0
100,Aaron Crickenberger,camel-activemq,0,Most recent snapshot requires ActiveMQ, recent snapshot requir ActiveMQ activ MQ,This may be moot given the projects' relationship  but it's a recently introduced side effect. Before the most recent snapshot  I was able to use Camel without any ActiveMQ jar's floating around so long as I never tried to use any 'activemq:queue:foo' URI's. Now with the most recent snapshot  the first time I do something that uses AnnotationTypeCoverterLoader  ActiveMQConverter gets loaded  and then causes a NoClassDefFoundError for ActiveMQDestination., may moot given project project relationship recent introduc side effect effect recent snapshot abl use camel without ActiveMQ activ MQ jar jar float around long never tri use activemq queue foo activemq queue foo URI URI recent snapshot first time someth use AnnotationTypeCoverterLoader annot type covert loader ActiveMQConverter activ MQ convert get load caus NoClassDefFoundError No class def found error ActiveMQDestination activ MQ destin,0,0,0,0,0,tests/camel-partial-classpath-test/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;tests/pom.xml;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyBean.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/MyConverter.java;tests/camel-partial-classpath-test/src/test/java/org/apache/camel/tests/partialclasspath/RouteTest.java;tests/camel-partial-classpath-test/src/test/resources/META-INF/services/org/apache/camel/TypeConverter;camel-core/src/main/java/org/apache/camel/impl/DefaultComponentResolver.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;tests/camel-partial-classpath-test/src/test/resources/log4j.properties;,0
112,james strachan,camel-activemq,0,JMSXGroupID is not copied across ActiveMQ endpoints, JMSXGroupID JMSX group ID not copi across ActiveMQ activ MQ endpoint,See thread: http://www.nabble.com/MethodName-in-header-is-ignored-by-beanRef%28%29-tf4285009s22882.html#a12198390, see thread thread,0,0,0,1,0,components/camel-activemq/src/test/java/org/apache/camel/component/activemq/ActiveMQReplyToHeaderUsingConverterTest.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/EndpointMessageListener.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsBinding.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsMessage.java;,0
132,james strachan,camel-http,0,enable polling via the http component, enabl poll via http compon,,,0,0,0,0,0,components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpEndpoint.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpPollingConsumer.java;components/camel-http/src/test/java/org/apache/camel/component/http/HttpPollingGetTest.java;,0
143,Dejan Predovic,camel-core,0,XPath namespaces configuration not possible through xml, XPath path namespac configur not possibl xml,Xpath xml element offers no way to define namespace mappings., xpath xml element offer no way defin namespac map map,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java;camel-core/src/main/java/org/apache/camel/model/language/ElementAwareExpression.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/main/java/org/apache/camel/spi/ElementAware.java;camel-core/src/test/java/org/apache/camel/builder/xml/XPathWithNamespacesFromDomTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;components/camel-spring/src/test/java/org/apache/camel/spring/processor/SpringXPathFilterWithNamespaceTest.java;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/xpathFilterWithNamespace.xml;camel-core/src/main/java/org/apache/camel/model/language/ExpressionType.java;camel-core/src/main/java/org/apache/camel/model/language/XPathExpression.java;camel-core/src/test/java/org/apache/camel/processor/XPathFilterTest.java;components/camel-spring/src/main/java/org/apache/camel/spring/handler/CamelNamespaceHandler.java;,0
161,Bozhong Lin,null,0,URL link broken in org.apache.camel.Processor API doc, URL link broken org apach camel processor org apach camel processor API doc,'Message Transformer' link is broken., messag messag transform transform link broken broken,0,0,0,1,0,camel-core/src/main/java/org/apache/camel/Processor.java;,0
166,Bozhong Lin,camel-core,0,org.apache.camel.processor.UnitOfWorkWithAsyncFlowTest failure, org apach camel processor UnitOfWorkWithAsyncFlowTest org apach camel processor unit work async flow test failur,Running org.apache.camel.processor.UnitOfWorkWithAsyncFlowTestTests run: 3  Failures: 1  Errors: 0  Skipped: 0  Time elapsed: 20.345 sec &lt;&lt;&lt; FAILURE!This prevents developer from building camel under Linux platform. Thanks!, run org apach camel processor UnitOfWorkWithAsyncFlowTestTests org apach camel processor unit work async flow test test run run failur failur error error skip skip time elaps elaps sec lt lt lt lt lt lt FAILURE FAILURE prevent develop build camel linux platform platform thank thank,0,0,0,0,0,camel-core/pom.xml;camel-core/pom.xml;camel-core/src/test/java/org/apache/camel/processor/UnitOfWorkTest.java;,0
199,Gert Vanthienen,camel-core,0,New converter : Node -> Source, new convert node sourc,Currently  there is no converter from Node -&gt; Source.It is required when using Camel's splitter() functionality inside ServiceMix:from('jbi:service:urn:eu:java:smx:fleetintegrator:camel') .splitter(xpath('/traces/trace')) .to('jbi:endpoint:urn:eu:java:smx:fleetintegrator:jms:mq');, current no convert node gt gt sourc sourc requir use camel camel splitter splitter function insid ServiceMix jbi servic urn eu java smx fleetintegr camel servic mix jbi servic urn eu java smx fleetintegr camel splitter xpath trace trace splitter xpath trace trace jbi endpoint urn eu java smx fleetintegr jm mq jbi endpoint urn eu java smx fleetintegr jm mq,0,1,1,0,0,camel-core/src/main/java/org/apache/camel/converter/jaxp/XmlConverter.java;camel-core/src/test/java/org/apache/camel/converter/JaxpTest.java;,0
210,Roman Kalukiewicz,camel-core,0,exception clause doesn't proceed with pipeline, except claus proceed pipelin,Problem is very similar to CAMEL-191 but this time with exception clause.As exceptions are not cleared pipeline doesn't proceed., problem similar CAMEL CAMEL time except claus claus except not clear pipelin proceed proceed,0,1,0,0,0,camel-core/src/main/java/org/apache/camel/processor/Pipeline.java;camel-core/src/test/java/org/apache/camel/processor/PipelineTest.java;camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;camel-core/src/main/java/org/apache/camel/util/ExchangeHelper.java;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;,0
