issue_id,summary,description,summary_proc,description_proc,Surprising,Dormant,Blocker,Security,Performance,Breakage
12,Add additional transition states, add addit transit state,For running a server (daemon)  the current states are: START and STARTED. It would be nice to have transition state: STARTING  and STOPPING., for run server daemon current state start start it would nice transit state start stop,0,0,0,0,0,0,
46,Preserve cluster id  blueprint name  and blueprint revision in agent local disk, preserv cluster id blueprint name blueprint revis agent local disk,After agent execute commands on behave of the controller  agent should store cluster id  blueprint name and blueprint revision in the local disk to keep track of the current deployment state on the agent., after agent execut command behav control agent store cluster id blueprint name blueprint revis local disk keep track current deploy state agent,0,0,0,0,0,0,
92,Agent should retry heartbeat message  if controller did not receive the heartbeat, agent retri heartbeat messag control receiv heartbeat,If the heartbeat was not received correctly by the controller  then it should retry., if heartbeat receiv correctli control retri,0,0,0,0,0,0,
103,Remove agent entities beans from public schema xsd, remov agent entiti bean public schema xsd,Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public., agent entiti bean locat ambari client org apach ambari common rest entiti agent henc schema xsd gener public rest api includ agent entiti bean we move org apach ambari common rest agent exclud agent entiti expos public,0,0,0,0,0,0,
192,Check for NN safemode during restarts, check nn safemod restart,There is no checks for safemode when we reconfigure the cluster., there check safemod reconfigur cluster,1,0,0,0,0,0,
198,Dependency of templeton on hcat client, depend templeton hcat client,hcat client should be installed at the templeton server node., hcat client instal templeton server node,1,0,0,0,0,0,
199,Remove import of mysql puppet module from manifest., remov import mysql puppet modul manifest,Remove import of mysql puppet module from manifest because this module is deprecated., remov import mysql puppet modul manifest modul deprec,1,0,0,0,0,0,
202,Add check to verify jdk path after install, add check verifi jdk path instal,After the jdk install  we do not validate the path. This causes problems during service start in later stages., after jdk instal valid path thi caus problem servic start later stage,1,0,0,0,0,0,
207,PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php, php notic undefin variabl manifest usr share hmc php puppet genmanifest host config php,Undefined variable used., undefin variabl use,1,0,0,0,0,0,
208,Support filtering hosts based on discovery status, support filter host base discoveri statu,Api to get hosts should allow filtering out bad hosts, api get host allow filter bad host,0,0,0,0,0,0,
217,Alert table on the right needs to be tied visually/verbally to the context/content it is displaying, alert tabl right need tie visual verbal context content display,Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name., current dashboard servic entri click right side alert tabl caption indic show alert relat servic so cpation tabl chang indic correspond servic name,1,0,0,0,0,0,
222,Remove the word alert from all the Nagios alerts descriptions., remov word alert nagio alert descript,IT is sort of redundant.., it sort redund,1,0,0,0,0,0,
226,Make the daemon names and other field names consistent, make daemon name field name consist,Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop, follow name need consist hdf gt hdf mapreduc gt map reduc zookeep gt zoo keeper hadoop gt hadoop,1,0,0,0,0,0,
232,Enable LZO should show checkbox instead of text, enabl lzo show checkbox instead text,Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox., current enabl lzo option show text box need fill true fals chang ui element checkbox,1,0,0,0,0,0,
236,Increase puppet agent timeout., increas puppet agent timeout,Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog., puppet agent timeout increas sometim possibl due bug rubi puppet master take long time compil send back catalog,0,0,0,0,0,0,
237,Refactor puppet kick loop to easily change retries and timeouts., refactor puppet kick loop easili chang retri timeout,Refactor puppet kick loop to easily change retries and timeouts., refactor puppet kick loop easili chang retri timeout,0,0,0,0,1,0,
245,Support data cleanup if installation fails., support data cleanup instal fail,We need to support data cleanup so that a cluster can be re-installed in case of failures., we need support data cleanup cluster instal case failur,0,0,0,0,0,0,
247,Replace index.php with clusters.php, replac index php cluster php,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well., like titl say overwrit index php content cluster php make sure add link add node wizard well,0,0,0,0,0,0,
249,Uninstall support from UI, uninstal support ui,Uninstall/wipeout support from UI., uninstal wipeout support ui,0,0,0,0,0,0,
252,Remove 'Playground' files from HMC, remov playground file hmc,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things)., there bunch temporari playground file got wrongli commit hmc codebas remov get thing cleaner state least face thing,0,0,0,0,0,0,
253,Support uninstall state in mysql modules, support uninstal state mysql modul,Currently  there is no support for uninstall of mysql package., current support uninstal mysql packag,0,0,0,0,0,0,
255,Rename/Relocate files as appropriate, renam reloc file appropri,There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up., there imag html directori imag html file whose extens chang htmli would nice clean,0,0,0,0,0,0,
256,Update hive config to enable authorization, updat hive config enabl author,In /etc/hive/conf/hive-site.xml&lt;property&gt; &lt;name&gt;hive.security.authorization.enabled&lt;/name&gt; &lt;value&gt;true&lt;/value&gt; &lt;description&gt;enable or disable the hive client authorization&lt;/description&gt;&lt;/property&gt;&lt;property&gt; &lt;name&gt;hive.security.authorization.manager&lt;/name&gt; &lt;value&gt;org.apache.hcatalog.security.HdfsAuthorizationProvider&lt;/value&gt; &lt;description&gt;the hive client authorization manager class name. The user defined authorization class should implement interface org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider. &lt;/description&gt;&lt;/property&gt;In /etc/hive/conf/hive-env.sh  add -export HIVE_AUX_JARS_PATH=/usr/lib/hcatalog/share/hcatalog/hcatalog-0.4.0.jar, in etc hive conf hive site xml lt properti gt lt name gt hive secur author enabl lt name gt lt valu gt true lt valu gt lt descript gt enabl disabl hive client author lt descript gt lt properti gt lt properti gt lt name gt hive secur author manag lt name gt lt valu gt org apach hcatalog secur hdf author provid lt valu gt lt descript gt hive client author manag class name the user defin author class implement interfac org apach hadoop hive ql secur author hive author provid lt descript gt lt properti gt in etc hive conf hive env sh add export hive aux jar path usr lib hcatalog share hcatalog hcatalog jar,0,0,0,0,0,0,
257,Manage services section will have any empty section when no client only components installed, manag servic section empti section client compon instal,On the manage services page we have a section for client only services that have no long running processes.If the user has no such component there is a heading but no content. Maybe we can hide the heading when no such service is present., on manag servic page section client servic long run process if user compon head content mayb hide head servic present,0,0,0,0,0,0,
262,Init Wizard: Advanced Config validation errors can be bypassed, init wizard advanc config valid error bypass,Make the Naigos password (and re-type password) different so as you cause a validation error.This will let the user move on to the next screen by ignoring all other validation errors on this page., make naigo password type password differ caus valid error thi let user move next screen ignor valid error page,0,0,0,0,0,0,
264,Nagios Admin Contact should be checked to ensure it is always an email address, nagio admin contact check ensur alway email address,,,0,0,0,0,0,0,
274,Templeton data on hdfs needs to be readable by all users, templeton data hdf need readabl user,Content of /user/templeton dir-bash-3.2$ hadoop dfs -ls /user/templetonFound 4 items-rw-r--r-- 3 templeton hdfs 107373 2012-05-14 19:53 /user/templeton/hadoop-streaming.jar-rw------- 3 templeton hdfs 35352096 2012-05-14 19:53 /user/templeton/hive.tar.gz-rw------- 3 templeton hdfs 47909478 2012-05-14 19:53 /user/templeton/pig.tar.gz-rw------- 3 templeton hdfs 127652 2012-05-14 19:53 /user/templeton/ugi.jarOnly templeton user can use the jars, content user templeton dir bash hadoop df ls user templeton found item rw r r templeton hdf user templeton hadoop stream jar rw templeton hdf user templeton hive tar gz rw templeton hdf user templeton pig tar gz rw templeton hdf user templeton ugi jar onli templeton user use jar,0,0,0,0,0,0,
276,Update HDFS parameter configuration description, updat hdf paramet configur descript,Updating the short description and tooltip long description as follows:Changing the text that affects WebUI as follows: filesystem -&gt; file system HDFS Append Enabled -&gt; Append enabled HDFS WebHDFS Enabled -&gt; WebHDFS enabled Hadoop maximum Java heap size -&gt; Hadoop maximum Java heap size (MB)  Java Heap Size for slave daemons -&gt; Maximum Java heap size for daemons such as Balancer in MB (-Xmx)   NameNode maximum Java heap size -&gt; NameNode initial Java heap size (MB)  Java Heap Size for NameNode -&gt; Initial and minimum Java heap size for NameNode in MB (-Xms)   Hadoop Young Generation heap size -&gt; NameNode new generation size (MB)  Maximum size for New Generation for java heap size -&gt; Default size of Java new generation in MB for NameNode (-XX:NewSize)   DataNode Java heap size -&gt; DataNode maximum Java heap size (MB)  Java Heap Size for DataNode -&gt; Maximum Java heap size for DataNode in MB (-Xmx), updat short descript tooltip long descript follow chang text affect web ui follow filesystem gt file system hdf append enabl gt append enabl hdf web hdf enabl gt web hdf enabl hadoop maximum java heap size gt hadoop maximum java heap size mb java heap size slave daemon gt maximum java heap size daemon balanc mb xmx name node maximum java heap size gt name node initi java heap size mb java heap size name node gt initi minimum java heap size name node mb xm hadoop young gener heap size gt name node new gener size mb maximum size new gener java heap size gt default size java new gener mb name node xx new size data node java heap size gt data node maximum java heap size mb java heap size data node gt maximum java heap size data node mb xmx,0,0,0,0,0,0,
280,Cleanup of utilities, cleanup util,We need an api for the UI to figure out the status of the cluster., we need api ui figur statu cluster,0,0,0,0,0,0,
283,Fixup review and deploy rendering, fixup review deploy render,Currently render of the review and deploy page is messy., current render review deploy page messi,0,0,0,0,0,0,
287,Add link to uninstall on index page, add link uninstal index page,Uninstall link is now hooked into the index page., uninstal link hook index page,0,0,0,0,0,0,
290,Comment in addNodesWizardInit.js., comment add node wizard init js,Comment in addNodesWizardInit.js., comment add node wizard init js,0,0,0,0,0,0,
292,HTML being spewed in the Review+Deploy page., html spew review deploy page,HTML being spewed in the Review+Deploy page., html spew review deploy page,0,0,0,0,0,0,
300,Change the status message (success/error) location so that it shows below the page summary box  rather than above  more better visibility, chang statu messag success error locat show page summari box rather better visibl,,,0,0,0,0,0,0,
302,regionservers config in the hbase only has localhost in it, regionserv config hbase localhost,/etc/hbase/conf/regionserver should correctly populate the slaves list, etc hbase conf regionserv correctli popul slave list,0,0,0,0,0,0,
304,Upgrade to yui-3.5.1, upgrad yui,,,0,0,0,0,0,0,
310,Externalize message resources for the welcome page.  Update styles on various pages., extern messag resourc welcom page updat style variou page,,,0,0,0,0,0,0,
312,Uninstall's wipe flag should be correctly passed to puppet, uninstal wipe flag correctli pass puppet,,,0,0,0,0,0,0,
316,Grid mount points page doesn't let one pass with only a custom mount point, grid mount point page let one pass custom mount point,,,0,0,0,0,0,0,
319,Scale puppet master to large number of nodes., scale puppet master larg number node,Scale puppet master to large number of nodes., scale puppet master larg number node,0,0,0,0,0,0,
323,During any process in the cluster initialization wizard  if the user goes back to the '1 Create Cluster' tab  the user is stuck., dure process cluster initi wizard user goe back creat cluster tab user stuck,,,0,0,0,0,0,0,
326,Dependencies should be added only during install phase, depend ad instal phase,Host level dependencies are being set in running stage as well  which is redundant. It can be assumed that dependencies were installed at install stage., host level depend set run stage well redund it assum depend instal instal stage,0,0,0,0,0,0,
330,Provide a way to resume if browser crashes/is closed during the deploy-in-progress, provid way resum browser crash close deploy progress,Currently when the browser is closed one cannot view the install in progress. They will have to look at the logs on the hmc machine to figure out whats going on. It would be nice if we can provide a way to get back to the install progress., current browser close one cannot view instal progress they look log hmc machin figur what go it would nice provid way get back instal progress,0,0,0,0,0,0,
335,Redundant downloads even though the artifacts are already installed, redund download even though artifact alreadi instal,Artifacts (such as mysql-connector.zip  hive.tar.gz  pig.tar.gz  ext.zip) are being downloaded even though they are previously installed leading to additional execution time., artifact mysql connector zip hive tar gz pig tar gz ext zip download even though previous instal lead addit execut time,0,0,0,0,0,0,
338,Cluster status update needs to happen for all stages of installation wizard., cluster statu updat need happen stage instal wizard,Cluster status should be updated in db for each stage of the installation wizard. This is used to enable restart of browser and also showing status of the cluster on the index page., cluster statu updat db stage instal wizard thi use enabl restart browser also show statu cluster index page,0,0,0,0,0,0,
339,Making transitionToNextStage more robust, make transit to next stage robust,If the currentStage is null  we should not proceed with a transition., if current stage null proceed transit,0,0,0,0,0,0,
349,Logging in case of error during uninstall needs to be fixed., log case error uninstal need fix,Logs disappear post uninstall because the transaction is also cleaned from the db., log disappear post uninstal transact also clean db,0,0,0,0,0,0,
352,Add flow control - force redirects to appropriate pages based on cluster configuration status for better usability, add flow control forc redirect appropri page base cluster configur statu better usabl,If no cluster has been set up yet  redirect to the welcome page.If a cluster is being configured (but has not gone thru deployment)  redirect to Step 1 of the cluster init wizard.If a cluster is being deployed  redirect to the deployment progress page.If a cluster has gone thru deployment but failed  redirect to the re-install page.If a cluster has gone thru deployment and succeed  do not perform any forced redirect., if cluster set yet redirect welcom page if cluster configur gone thru deploy redirect step cluster init wizard if cluster deploy redirect deploy progress page if cluster gone thru deploy fail redirect instal page if cluster gone thru deploy succeed perform forc redirect,0,0,0,0,0,0,
357,Redesign master service assignment page so that it takes up less vertical space, redesign master servic assign page take less vertic space,,,0,0,0,0,0,0,
362,Create lock file as part of rpm install, creat lock file part rpm instal,Lock file is being created as part of create cluster. This is brittle and needs to be done as part of the rpm install., lock file creat part creat cluster thi brittl need done part rpm instal,0,0,0,0,0,0,
366,Package up the fonts/ subdirectory in the HMC RPM, packag font subdirectori hmc rpm,The new fonts/ subdirectory used for the buttons on the ManageServices page isn't packaged up., the new font subdirectori use button manag servic page packag,0,0,0,0,0,0,
369,Improve Service Management page and general popup styling, improv servic manag page gener popup style,,,0,0,0,0,0,0,
371,Mysql packages not being sent during install and uninstall, mysql packag sent instal uninstal,Mysql packages not being sent during install and uninstall., mysql packag sent instal uninstal,0,0,0,0,0,0,
377,Uninstall does not handle component dependencies., uninstal handl compon depend,Uninstall does not handle component dependencies., uninstal handl compon depend,0,0,0,0,0,0,
386,On Single Node install when install all the components the recommended num for Map/Reduce Tasks is too high, on singl node instal instal compon recommend num map reduc task high,Use lower count of maps/reduce slots for a single node install., use lower count map reduc slot singl node instal,0,0,0,0,0,0,
393,ZooKeeper myid files not existent on ZK install., zoo keeper myid file exist zk instal,ZooKeeper myid files not existent on ZK install., zoo keeper myid file exist zk instal,0,0,0,0,0,0,
394,Add nodes fails to find node in db, add node fail find node db,Host not found in db error on assign nodes page, host found db error assign node page,0,0,0,0,0,0,
399,Cannot uninstall - the page hangs with the spinning icon, cannot uninstal page hang spin icon,,,0,0,0,0,0,0,
401,Manual config changes for nn get reset on stop/start from hmc, manual config chang nn get reset stop start hmc,Manual config changes for nn get reset on stop/start from hmc, manual config chang nn get reset stop start hmc,0,0,0,0,0,0,
402,Completing successful add node takes one to initialize cluster page starting from scratch, complet success add node take one initi cluster page start scratch,,,0,0,0,0,0,0,
404,Unify the top nav for both Monitoring and Cluster Management, unifi top nav monitor cluster manag,,,0,0,0,0,0,0,
414,Add rpm spec for hmc agent., add rpm spec hmc agent,Add rpm spec for hmc agent., add rpm spec hmc agent,0,0,0,0,0,0,
415,Reset service back to original state after reconfiguration, reset servic back origin state reconfigur,,,0,0,0,0,0,0,
420,Improve style on error log popups, improv style error log popup,,,0,0,0,0,0,0,
426,Reinstall of cluster after failure to install results in failure, reinstal cluster failur instal result failur,According to Bikas:I tried to install a single node cluster. That failed for some random issue.I was presented an option to reinstall.I clicked on that option and it asked me to uninstall.I chose uninstall and wipe data option.Uninstall failed.This happened because the install did not complete in the first place.Thu May 24 17:45:28 -0400 2012 /Stage17/Hdp-oozie::Service/Hdp-oozie::Service::Createsymlinks/usr/lib/oozie/oozie-server/lib/mapred-site.xml/File/usr/lib/oozie/oozie-server/lib/mapred-site.xml/ensure (err): change from absent to present failed: Could not set 'present on ensure: No such file or directory - /usr/lib/oozie/oozie-server/lib/mapred-site.xml at /etc/puppet/agent/modules/hdp-oozie/manifests/service.pp:61, accord bika i tri instal singl node cluster that fail random issu i present option reinstal i click option ask uninstal i chose uninstal wipe data option uninstal fail thi happen instal complet first place thu may stage hdp oozi servic hdp oozi servic createsymlink usr lib oozi oozi server lib mapr site xml file usr lib oozi oozi server lib mapr site xml ensur err chang absent present fail could set present ensur no file directori usr lib oozi oozi server lib mapr site xml etc puppet agent modul hdp oozi manifest servic pp,0,0,0,0,0,0,
429,Fix bug with jmx parsing on HBase., fix bug jmx pars h base,Fix bug with jmx parsing on HBase., fix bug jmx pars h base,0,0,0,0,0,0,
433,Using service stop instead of killall for uninstall, use servic stop instead killal uninstal,,,0,0,0,0,0,0,
435,Uninstall needs to update status for failure., uninstal need updat statu failur,This is to enable the routing layer to redirect appropriately., thi enabl rout layer redirect appropri,0,0,0,0,0,0,
442,Duplicate definition: Class[Hdp-hbase::Regionserver::Enable-ganglia], duplic definit class hdp hbase regionserv enabl ganglia,Duplicate definition: Class&#91;Hdp-hbase::Regionserver::Enable-ganglia&#93; is already defined; cannot redefine at /etc/puppet/agent/modules/hdp-ganglia/manifests/monitor.pp:37 on node ip-10-64-19-248.ec2.internal, duplic definit class hdp hbase regionserv enabl ganglia alreadi defin cannot redefin etc puppet agent modul hdp ganglia manifest monitor pp node ip ec intern,0,0,0,0,0,0,
449,Post cluster install/deploy the URL hmc/html/initializeCluster.php should be disabled, post cluster instal deploy url hmc html initi cluster php disabl,Install a cluster. Then go to http://&lt;host&gt;/hmc/html/initializeCluster.php URL. You get a page enter cluster name. If you enter a cluster name  existing install is wiped out. We need to disable this URL on an installed cluster.Only way to enable this should be uninstall., instal cluster then go http lt host gt hmc html initi cluster php url you get page enter cluster name if enter cluster name exist instal wipe we need disabl url instal cluster onli way enabl uninstal,0,0,0,0,0,0,
450,Boldify/Redify restart HMC message when nagios/ganglia is on the hmc host, boldifi redifi restart hmc messag nagio ganglia hmc host,,,0,0,0,0,0,0,
455,nagios shows service status critical if hbase is not installed, nagio show servic statu critic hbase instal,,,0,0,0,0,0,0,
466,Add nodes page alerts removed in case of adding duplicate nodes, add node page alert remov case ad duplic node,Alerts that are being shown needs to be changed to be compatible with current implementation of showing errors. A link now appears to 'Show the duplicate nodes' which shows the duplicate nodes., alert shown need chang compat current implement show error a link appear show duplic node show duplic node,0,0,0,0,0,0,
467,Fix hive stop to escape $., fix hive stop escap,,,0,0,0,0,0,0,
468,Post-Install Add Nodes - update progress title and success/error messages to reflect what it's actually doing/has done, post instal add node updat progress titl success error messag reflect actual done,,,0,0,0,0,0,0,
475,Add missing JS file for making post cluster install Add Nodes work, add miss js file make post cluster instal add node work,,,0,0,0,0,0,0,
482,Show the same welcome page to the user if the user starts configuring a cluster but has not started deploy yet, show welcom page user user start configur cluster start deploy yet,,,0,0,0,0,0,0,
486,Add Node installs MySQL Server for Hive, add node instal my sql server hive,Adding slave nodes post cluster install will install MySQL Server if Hive was selected as a service at the time of cluster installation., ad slave node post cluster instal instal my sql server hive select servic time cluster instal,0,0,0,0,0,0,
488,Manage service needs a way to recover from terminated browser sessions, manag servic need way recov termin browser session,We need to block users from being able to start/stop services when we have a batch of start/stop activities are already in progress.Do something similar to deployment progress display and bring the user back to that modal status display which will end when we detect success/failure., we need block user abl start stop servic batch start stop activ alreadi progress do someth similar deploy progress display bring user back modal statu display end detect success failur,0,0,0,0,0,0,
491,Service Reconfiguration screens should respect the 'reconfigurable' attributes set in ConfigProperties table, servic reconfigur screen respect reconfigur attribut set config properti tabl,Some service config parameters are editable (can be customized on initial install)  but cannot be reconfigured post cluster install.This info is stored in ConfigProperties table  but the Service Reconfiguration screens are allowing these non-reconfigurable parameters to be changed., some servic config paramet edit custom initi instal cannot reconfigur post cluster instal thi info store config properti tabl servic reconfigur screen allow non reconfigur paramet chang,0,0,0,0,0,0,
492,make support for os check a bit more robust, make support os check bit robust,,,0,0,0,0,0,0,
493,Add rack_info as column in Hosts table, add rack info column host tabl,,,0,0,0,0,0,0,
494,Fix node assignments not not allow slaves on master., fix node assign allow slave master,,,0,0,0,1,0,0,
501,Speed up page load/reload times, speed page load reload time,,,0,0,0,0,0,0,
508,Support Resume For Add Nodes, support resum for add node,Just like for Manage Services + Deploy + Uninstall., just like manag servic deploy uninstal,0,0,0,0,0,0,
510,Modify the router to force redirection to 'Add Nodes Progress' popup, modifi router forc redirect add node progress popup,,,0,0,0,0,0,0,
512,Fix puppet manifests for tarball downloads via rpms., fix puppet manifest tarbal download via rpm,,,0,0,0,0,0,0,
519,update to fix the ganglia monitor_and_server anchor problem, updat fix ganglia monitor server anchor problem,update to fix the ganglia monitor_and_server anchor problem, updat fix ganglia monitor server anchor problem,0,0,0,0,0,0,
528,Fix oozie smoke test failure, fix oozi smoke test failur,Oozie smoke test failing with 'Error: E0301 : E0301: Invalid resource &#91;usr/lib/oozie/conf&#93;', oozi smoke test fail error e e invalid resourc usr lib oozi conf,0,0,0,0,0,0,
529,Fix Advanced Config: HDFS reserved space is in bytes. Too many bytes to count., fix advanc config hdf reserv space byte too mani byte count,Simplify user input., simplifi user input,0,0,0,0,0,0,
539,Create a spec file with less dependencies for HMC, creat spec file less depend hmc,Simplify process for users that want to use different dependencies for PHP and Ruby.e.g PHP-5.3  ruby-1.8.7, simplifi process user want use differ depend php rubi e g php rubi,0,0,0,0,0,0,
543,Rpm naming needs to be corrected., rpm name need correct,Rpm naming needs to be corrected., rpm name need correct,0,0,0,0,0,0,
544,Templeton configs for pig archive not correct in HMC, templeton config pig archiv correct hmc,From Arpit:The configs for pig in templeton are wrong.The deployed configs are&lt;property&gt; &lt;name&gt;templeton.pig.archive&lt;/name&gt; &lt;value&gt;hdfs:///apps/templeton/&lt;/value&gt; &lt;description&gt;The path to the Pig archive.&lt;/description&gt; &lt;/property&gt; &lt;property&gt; &lt;name&gt;templeton.pig.path&lt;/name&gt; &lt;value&gt;/pig-0.9.2/bin/pig&lt;/value&gt; &lt;description&gt;The path to the Pig executable.&lt;/description&gt; &lt;/property&gt;They are missing the pig tar ball. For example they should be&lt;property&gt; &lt;name&gt;templeton.pig.archive&lt;/name&gt; &lt;value&gt;hdfs:///apps/templeton/pig.tar.gz&lt;/value&gt; &lt;description&gt;The path to the Pig archive.&lt;/description&gt; &lt;/property&gt; &lt;property&gt; &lt;name&gt;templeton.pig.path&lt;/name&gt; &lt;value&gt;pig.tar.gz/pig-0.9.2/bin/pig&lt;/value&gt; &lt;description&gt;The path to the Pig executable.&lt;/description&gt; &lt;/property&gt;So both the properties are missing 'pig-0.9.2.tar.gz', from arpit the config pig templeton wrong the deploy config lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton lt valu gt lt descript gt the path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig bin pig lt valu gt lt descript gt the path pig execut lt descript gt lt properti gt they miss pig tar ball for exampl lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton pig tar gz lt valu gt lt descript gt the path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig tar gz pig bin pig lt valu gt lt descript gt the path pig execut lt descript gt lt properti gt so properti miss pig tar gz,0,0,0,0,0,0,
546,Puppet fails to install 32-bit JDK properly on RHEL6, puppet fail instal bit jdk properli rhel,mkdir -p /usr/jdk32 ; chmod +x /tmp/HDP-artifacts//jdk-6u31-linux-i586.bin; cd /usr/jdk32 ; echo A | /tmp/HDP-artifacts//jdk-6u31-linux-i586.bin -noregister 2&gt;&amp;1Unpacking...Checksumming...Extracting.../var/www/html/downloads/jdk-6u31-linux-i586.bin: ./install.sfx.1794: /lib/ld-linux.so.2: bad ELF interpreter: No such file or directoryFailed to extract the files. Please refer to the Troubleshooting section ofthe Installation Instructions on the download page for more information.Puppet should ensure glibc.i686 is installed before trying to install jdk., mkdir p usr jdk chmod x tmp hdp artifact jdk u linux bin cd usr jdk echo a tmp hdp artifact jdk u linux bin noregist gt amp unpack checksum extract var www html download jdk u linux bin instal sfx lib ld linux bad elf interpret no file directori fail extract file pleas refer troubleshoot section ofth instal instruct download page inform puppet ensur glibc instal tri instal jdk,0,0,0,0,0,0,
547,Change os type check during node bootstrap to allow RHEL6 or CentOS6 nodes, chang os type check node bootstrap allow rhel cent os node,hmc/php/frontend/addNodes/verifyAndUpdateNodesInfo.php hardcodes checks to only allow rhel5 or centos5 nodes., hmc php frontend add node verifi and updat node info php hardcod check allow rhel cento node,0,0,1,0,0,0,
548,Puppet agent install script should use correct epel repo, puppet agent instal script use correct epel repo,hmc/ShellScripts/puppet_agent_install.sh hardcodes to epel-release rpm for CentOS-5.4. Should be more intelligent to handle different OS types., hmc shell script puppet agent instal sh hardcod epel releas rpm cent os should intellig handl differ os type,0,0,1,0,0,0,
550,Add support to jump to a specified state in the wizard for development purposes, add support jump specifi state wizard develop purpos,,,0,0,0,0,0,0,
552,Update README to point to trunk, updat readm point trunk,We need to fix the README to point to trunk after the merge of ambari-186 branch., we need fix readm point trunk merg ambari branch,0,0,0,0,0,0,
565,Remove YUI source files from SVN, remov yui sourc file svn,Currently YUI 3.5.1 source files are in SVN.We don't really need to have them checked into SVN as we don't track changes. We are pre-concatenating and minifying the YUI js files  so we don't need the files to run Ambari anyhow.We should just remove them from SVN and instead just checkin the tarball., current yui sourc file svn we realli need check svn track chang we pre concaten minifi yui js file need file run ambari anyhow we remov svn instead checkin tarbal,0,0,0,0,0,0,
566,Update documentation, updat document,Modify pom.xml to create output files under ../site  rather than ./target.Make minor wording modifications., modifi pom xml creat output file site rather target make minor word modif,0,0,0,0,0,0,
569,Nagios install fails on RHEL6, nagio instal fail rhel,Puppet layer  when trying to install nagios  tries to install php-pecl-json when it is not needed and fails when trying to do so. On RHEL6  php-5.3 is default which has the json module built into it., puppet layer tri instal nagio tri instal php pecl json need fail tri on rhel php default json modul built,0,0,1,0,0,0,
570,Consolidate head tags for organization and combine CSS files for faster load, consolid head tag organ combin css file faster load,,,0,0,0,0,1,0,
573,Puppet error: Cannot reassign variable zookeeper_hosts at modules/hdp/manifests/params.pp:47, puppet error cannot reassign variabl zookeep host modul hdp manifest param pp,Seems like a typo: $zookeeper_hosts = hdp_default('zookeeper_hosts')Should be $public_zookeeper_hosts, seem like typo zookeep host hdp default zookeep host should public zookeep host,0,0,0,0,0,0,
