summary,description,Security,Performance
Add additional transition states,For running a server (daemon)  the current states are: START and STARTED. It would be nice to have transition state: STARTING  and STOPPING.,0 ,0 
Preserve cluster id  blueprint name  and blueprint revision in agent local disk,After agent execute commands on behave of the controller  agent should store cluster id  blueprint name and blueprint revision in the local disk to keep track of the current deployment state on the agent.,0 ,0 
Agent should retry heartbeat message  if controller did not receive the heartbeat,If the heartbeat was not received correctly by the controller  then it should retry.,0 ,0 
Remove agent entities beans from public schema xsd,Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public.,0 ,0 
Check for NN safemode during restarts,There is no checks for safemode when we reconfigure the cluster.,0 ,0 
Dependency of templeton on hcat client,hcat client should be installed at the templeton server node.,0 ,0 
Remove import of mysql puppet module from manifest.,Remove import of mysql puppet module from manifest because this module is deprecated.,0 ,0 
Add check to verify jdk path after install,After the jdk install  we do not validate the path. This causes problems during service start in later stages.,0 ,0 
PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php,Undefined variable used.,0 ,0 
Support filtering hosts based on discovery status,Api to get hosts should allow filtering out bad hosts,0 ,0 
Alert table on the right needs to be tied visually/verbally to the context/content it is displaying,Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name.,0 ,0 
Remove the word alert from all the Nagios alerts descriptions.,IT is sort of redundant..,0 ,0 
Make the daemon names and other field names consistent,Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop,0 ,0 
Enable LZO should show checkbox instead of text,Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox.,0 ,0 
Increase puppet agent timeout.,Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog.,0 ,0 
Refactor puppet kick loop to easily change retries and timeouts.,Refactor puppet kick loop to easily change retries and timeouts.,0 ,1 
Support data cleanup if installation fails.,We need to support data cleanup so that a cluster can be re-installed in case of failures.,0 ,0 
Replace index.php with clusters.php,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well.,0 ,0 
Uninstall support from UI,Uninstall/wipeout support from UI.,0 ,0 
Remove 'Playground' files from HMC,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things).,0 ,0 
Support uninstall state in mysql modules,Currently  there is no support for uninstall of mysql package.,0 ,0 
Rename/Relocate files as appropriate,There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up.,0 ,0 
Update hive config to enable authorization,In /etc/hive/conf/hive-site.xml&lt;property&gt; &lt;name&gt;hive.security.authorization.enabled&lt;/name&gt; &lt;value&gt;true&lt;/value&gt; &lt;description&gt;enable or disable the hive client authorization&lt;/description&gt;&lt;/property&gt;&lt;property&gt; &lt;name&gt;hive.security.authorization.manager&lt;/name&gt; &lt;value&gt;org.apache.hcatalog.security.HdfsAuthorizationProvider&lt;/value&gt; &lt;description&gt;the hive client authorization manager class name. The user defined authorization class should implement interface org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider. &lt;/description&gt;&lt;/property&gt;In /etc/hive/conf/hive-env.sh  add -export HIVE_AUX_JARS_PATH=/usr/lib/hcatalog/share/hcatalog/hcatalog-0.4.0.jar,0 ,0 
Manage services section will have any empty section when no client only components installed,On the manage services page we have a section for client only services that have no long running processes.If the user has no such component there is a heading but no content. Maybe we can hide the heading when no such service is present.,0 ,0 
Init Wizard: Advanced Config validation errors can be bypassed,Make the Naigos password (and re-type password) different so as you cause a validation error.This will let the user move on to the next screen by ignoring all other validation errors on this page.,0 ,0 
Nagios Admin Contact should be checked to ensure it is always an email address,,0 ,0 
Templeton data on hdfs needs to be readable by all users,Content of /user/templeton dir-bash-3.2$ hadoop dfs -ls /user/templetonFound 4 items-rw-r--r-- 3 templeton hdfs 107373 2012-05-14 19:53 /user/templeton/hadoop-streaming.jar-rw------- 3 templeton hdfs 35352096 2012-05-14 19:53 /user/templeton/hive.tar.gz-rw------- 3 templeton hdfs 47909478 2012-05-14 19:53 /user/templeton/pig.tar.gz-rw------- 3 templeton hdfs 127652 2012-05-14 19:53 /user/templeton/ugi.jarOnly templeton user can use the jars,0 ,0 
