issue_id,component,reporter,summary,description,affected_version,fixed_version,description_words,Surprising,Dormant,Blocker,Security,Performance,Breakage,file_count,files
12,,Eric Yang,Add additional transition states,For running a server (daemon)  the current states are: START and STARTED. It would be nice to have transition state: STARTING  and STOPPING.,0.1.0,0.1.0,23,0,0,0,0,0,0,0,
46,ambari-agent,Eric Yang,Preserve cluster id  blueprint name  and blueprint revision in agent local disk,After agent execute commands on behave of the controller  agent should store cluster id  blueprint name and blueprint revision in the local disk to keep track of the current deployment state on the agent.,0.1.0,0.1.0,34,0,0,0,0,0,0,0,
92,ambari-agent,Eric Yang,Agent should retry heartbeat message  if controller did not receive the heartbeat,If the heartbeat was not received correctly by the controller  then it should retry.,0.1.0,0.1.0,14,0,0,0,0,0,0,0,
103,ambari-server; ambari-web,Eric Yang,Remove agent entities beans from public schema xsd,Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public.,0.1.0,0.1.0,34,0,0,0,0,0,0,0,
192,,Ramya Sunil,Check for NN safemode during restarts,There is no checks for safemode when we reconfigure the cluster.,0.9.0,0.9.0,11,1,0,0,0,0,0,2,CHANGES.txt;hmc/puppet/modules/hdp-hadoop/manifests/hdfs/service_check.pp;
198,ambari-server,Jitendra Nath Pandey,Dependency of templeton on hcat client,hcat client should be installed at the templeton server node.,0.9.0,0.9.0,10,1,0,0,0,0,0,2,CHANGES.txt;hmc/php/puppet/genmanifest/PuppetClassDependencies.php;
199,ambari-server,Jitendra Nath Pandey,Remove import of mysql puppet module from manifest.,Remove import of mysql puppet module from manifest because this module is deprecated.,0.9.0,0.9.0,13,1,0,0,0,0,0,2,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;
202,,Ramya Sunil,Add check to verify jdk path after install,After the jdk install  we do not validate the path. This causes problems during service start in later stages.,0.9.0,0.9.0,19,1,0,0,0,0,0,2,CHANGES.txt;hmc/puppet/modules/hdp/manifests/java/package.pp;
207,ambari-server,Jitendra Nath Pandey,PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php,Undefined variable used.,0.9.0,0.9.0,4,1,0,0,0,0,0,0,
208,,Hitesh Shah,Support filtering hosts based on discovery status,Api to get hosts should allow filtering out bad hosts,0.9.0,0.9.0,10,0,0,0,0,0,0,0,
217,,vitthal (Suhas) Gogate,Alert table on the right needs to be tied visually/verbally to the context/content it is displaying,Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name.,0.9.0,0.9.0,37,1,0,0,0,0,0,0,
222,,vitthal (Suhas) Gogate,Remove the word alert from all the Nagios alerts descriptions.,IT is sort of redundant..,0.9.0,0.9.0,6,1,0,0,0,0,0,0,
226,,Suresh Srinivas,Make the daemon names and other field names consistent,Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop,0.9.0,0.9.0,20,1,0,0,0,0,0,0,
232,,Vikram Dixit K,Enable LZO should show checkbox instead of text,Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox.,0.9.0,0.9.0,22,1,0,0,0,0,0,0,
236,ambari-server,Jitendra Nath Pandey,Increase puppet agent timeout.,Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog.,0.9.0,0.9.0,27,0,0,0,0,0,0,0,
237,ambari-server,Jitendra Nath Pandey,Refactor puppet kick loop to easily change retries and timeouts.,Refactor puppet kick loop to easily change retries and timeouts.,0.9.0,0.9.0,10,0,0,0,0,1,0,0,
245,ambari-server,Jitendra Nath Pandey,Support data cleanup if installation fails.,We need to support data cleanup so that a cluster can be re-installed in case of failures.,0.9.0,0.9.0,17,0,0,0,0,0,0,0,
247,,Varun Kapoor,Replace index.php with clusters.php,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well.,0.9.0,0.9.0,22,0,0,0,0,0,0,0,
249,,Vikram Dixit K,Uninstall support from UI,Uninstall/wipeout support from UI.,0.9.0,0.9.0,4,0,0,0,0,0,0,0,
252,,Varun Kapoor,Remove 'Playground' files from HMC,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things).,0.9.0,0.9.0,37,0,0,0,0,0,0,0,
