Subject,Intent,Text,Structural,Sampling,Feature Selection,Algorithm,TP,TN,FP,FN,Pre,Rec,TPR,FPR,Min,Major,Total,IR
ambari,Security,1,0,0,0,MNB,13,660,311,16,0.040123457,0.448275862,0.040123457,0.320288363,,,,
ambari,Performance,1,0,0,0,MNB,31,539,420,10,0.068736142,0.756097561,0.068736142,0.437956204,,,,
camel,Security,1,0,0,0,MNB,25,460,508,7,0.046904315,0.78125,0.046904315,0.524793388,,,,
camel,Performance,1,0,0,0,MNB,70,553,354,23,0.16509434,0.752688172,0.16509434,0.390297685,,,,
derby,Security,1,0,0,0,MNB,77,607,305,11,0.201570681,0.875,0.201570681,0.334429825,,,,
derby,Performance,1,0,0,0,MNB,85,528,371,16,0.186403509,0.841584158,0.186403509,0.412680756,,,,
wicket,Security,1,0,0,0,MNB,7,434,556,3,0.012433393,0.7,0.012433393,0.561616162,,,,
wicket,Performance,1,0,0,0,MNB,61,527,390,22,0.135254989,0.734939759,0.135254989,0.425299891,,,,
ambari,Security,1,0,-1,"1(1500,0.5)",MNB,5,836,135,24,0.035714286,0.172413793,0.035714286,0.139031926,,,,
ambari,Performance,1,0,-1,1,MNB,0,1,2,3,0,0,0,0.666666667,,,,
camel0,Security,1,0,-1,1,MNB,0,0,0,0,0.25,0.2,0.25,0.6,,,,
camel0,Performance,1,0,-1,1,MNB,0,0,0,0,0.333333333,0.285714286,0.333333333,0.571428571,,,,
derby,Security,1,0,-1,1,MNB,3,4,5,6,0.375,0.333333333,0.375,0.555555556,,,,
derby,Performance,1,0,-1,1,MNB,4,5,6,7,0.4,0.363636364,0.4,0.545454546,,,,
wicket,Security,1,0,-1,1,MNB,5,6,7,8,0.416666667,0.384615385,0.416666667,0.538461539,,,,
wicket,Performance,1,0,-1,1,MNB,6,7,8,9,0.428571429,0.4,0.428571429,0.533333333,,,,
camel,Security,1,1,-1,"1(1500,0.5)","MNB, Naive Bayes",18,828,133,18,0.119205298,0.5,0.119205298,0.138397503,,,,
camel,Performance,1,1,-1,,"MNB, Naive Bayes",51,564,223,30,0.186131387,0.62962963,0.186131387,0.283354511,,,,
Apache,Security,1,0,0,0,MNB,1167,6947,1764,176,0.398157625,0.868950112,0.868950112,0.202502583,1343,8711,10054,0.133578675
Apache,Security,1,0,1,0,MNB,976,7846,865,367,0.530146659,0.726731199,0.726731199,0.099299736,1343,8711,10054,0.133578675
Apache,Security,1,0,2,0,MNB,988,7829,882,355,0.528342246,0.735666418,0.735666418,0.101251291,1343,8711,10054,0.133578675
Apache,Security,1,0,-1,0,MNB,1156,7002,1709,187,0.403490401,0.860759494,0.860759494,0.196188727,1343,8711,10054,0.133578675
Apache,Security,1,0,-1,"(2000,0.5,0)",MNB,1020,7836,875,323,0.538258575,0.759493671,0.759493671,0.10044771,1343,8711,10054,0.133578675
Apache,Performance,1,0,0,0,MNB,1267,7028,1516,243,0.455264103,0.839072848,0.839072848,0.177434457,1510,8544,10054,0.15018898
Apache,Performance,1,0,1,0,MNB,1039,7678,866,471,0.545406824,0.68807947,0.68807947,0.101357678,1510,8544,10054,0.15018898
Apache,Performance,1,0,2,0,MNB,1070,7604,940,440,0.532338308,0.708609272,0.708609272,0.110018727,1510,8544,10054,0.15018898
Apache,Performance,1,0,-1,0,MNB,1231,7023,1521,279,0.447311047,0.815231788,0.815231788,0.178019663,1510,8544,10054,0.15018898
Apache,Performance,1,0,-1,"(2000,0.5,0)",MNB,803,8207,337,707,0.704385965,0.531788079,0.531788079,0.039442884,1510,8544,10054,0.15018898
Apache ,Security,1,0,0,CHI2,MNB,1105,7552,1159,238,0.488074205,0.82278481,0.82278481,0.133050166,1343,8711,10054,0.133578675
Apache,Security,1,0,1,CHI2,MNB,1057,7715,996,286,0.514856308,0.787043931,0.787043931,0.114338193,1343,8711,10054,0.133578675
Apache,Security,1,0,2,CHI2,MNB,1073,7727,984,270,0.521633447,0.798957558,0.798957558,0.112960624,1343,8711,10054,0.133578675
Apache,Performance,1,0,0,CHI2,MNB,1200,7326,1218,310,0.496277916,0.794701987,0.794701987,0.14255618,1510,8544,10054,0.15018898
Apache,Performance,1,0,1,CHI2,MNB,1140,7551,993,370,0.534458509,0.754966887,0.754966887,0.11622191,1510,8544,10054,0.15018898
Apache,Performance,1,0,2,CHI2,MNB,1146,7525,1019,364,0.529330254,0.758940397,0.758940397,0.119264981,1510,8544,10054,0.15018898
