index,term,score
0,build,2.9756190892931067
1,not,2.8440920635891316
2,gem,3.7137710113038667
3,project,3.2625291044010876
4,allBuild,3.044621905075833
5,excess,0.1327440112632392
6,memori,0.38314779008163113
7,use,1.4509431274274223
8,deseri,0.6403909216500241
9,serial,1.2196293207624447
10,unit,3.313790876192254
11,suit,5.304300027082786
12,groundless,3.044621905075833
13,test,3.1659166516706727
14,eventu,4.796387498171663
15,titl,5.199392593813554
16,chang,1.63359215234078
17,languag,1.9048344646276418
18,caus,2.4858731312769553
19,portlet,6.044723728600087
20,disappear,2.5211923501812867
21,document,1.8304474325896103
22,liter,0.901846941266519
23,WSDL,7.435534072805343
24,bad,1.863492330375308
25,gener,2.231332632979971
26,asn,3.044621905075833
27,ldap,5.399257386929924
28,excpet,3.7137710113038667
29,org,2.5354727679750075
30,common,1.5343659231467746
31,apach,2.5949006028475763
32,berlib,3.044621905075833
33,encod,2.257142084747614
34,cast,3.116274794199147
35,class,2.6324560501281065
36,ClassCast,3.7137710113038667
37,snicker,3.044621905075833
38,SnickersEncoder,3.044621905075833
39,digest,1.7517655930958305
40,throw,3.5994621992908797
41,even,1.7596076464832717
42,OK,0.6691491062280331
43,result,2.205274268034334
44,stack,2.456781749931743
45,empti,2.7669351591884404
46,except,3.854279443330342
47,EmptyStackException,3.044621905075833
48,JDBC,0.8045455103551682
49,set,2.48206103823258
50,alway,1.5294871416008116
51,metadata,1.0391852680189013
52,derbi,5.708603314879169
53,return,2.564545846694922
54,requir,2.02336882816525
55,compil,4.782692613766318
56,style,3.27725625175683
57,client,2.026802740898103
58,RPC,2.256467038626852
59,Ls,1.9948323035753024
60,WSDLs,3.7137710113038667
61,WSD,3.7137710113038667
62,code,2.2110796418217764
63,copil,3.044621905075833
64,valu,1.4762102374727197
65,xmln,4.1111722959167265
66,envelop,5.199392593813554
67,unnecessari,0.2615142281743334
68,attribut,2.954577479305248
69,paramet,2.0170744475419906
70,construct,2.1198037579952316
73,path,1.735036853461065
74,array,1.6504309643992867
75,migrat,2.256467038626852
76,SVN,2.595126208330083
77,CVS,4.1111722959167265
78,infrastructur,1.3502251783825527
79,request,1.3923026116044048
80,send,1.8934598803946556
81,email,0.901846941266519
82,break,3.490080329079605
83,support,1.91162707383719
84,ClassCastException,6.584226209748842
85,compon,3.862079439224966
86,tag,3.0662022279552716
87,UIComponentTag,3.044621905075833
88,UI,2.003666165330111
89,geronimo,5.399257386929924
90,configur,2.3975310914676613
91,error,3.471329085413676
92,start,2.499046770845726
93,secur,5.1239357921828885
94,gbean,3.044621905075833
95,must,2.6187387267592754
96,ignor,2.4351987220446274
97,import,2.3550450338577438
98,xml,4.223398082513302
99,prefix,0.8045455103551682
100,invalid,2.819916120234957
101,namespac,3.717758654824014
102,SAXParser,3.044621905075833
103,parser,1.2350265859662832
104,SAX,4.394847083458386
105,type,1.8436452010704287
106,wsdl,6.872760037318
107,case,2.3387697135049526
108,declar,6.434419179779837
109,emit,4.1111722959167265
110,java,2.9392646898375947
111,wrong,2.911638893354755
112,simpleTypes,3.044621905075833
113,simpl,0.9298167750274889
114,serializ,2.0375784758908817
115,et,4.796387498171663
116,servic,2.7153703391302204
118,JavaServiceDesc,3.044621905075833
119,method,1.7911521358285225
120,instanc,1.412294928753972
121,oper,0.7932615127134096
122,OperationDesc,3.044621905075833
123,ipc,1.2356853583996086
124,timeout,0.6916526295195673
125,system,2.065577885855801
126,platform,1.5285758174891904
127,engin,0.8235774195373119
128,nightli,5.0822003809667144
129,fail,3.955022163457227
130,server,2.276816852391979
131,wrap,2.0375784758908817
132,expand,0.6810760721545195
133,web,2.5688014075464505
134,report,2.3334710486220187
136,JAva,3.044621905075833
137,ava,3.044621905075833
138,deadlock,2.879854967143971
139,depend,3.024244877974175
140,time,0.543980778976726
141,complex,1.7794975902628563
142,filter,0.29840066569551615
143,search,1.1682467407300239
144,BER,3.044621905075833
145,pars,2.429727886221738
146,incorrectli,3.0716725647156977
147,deploy,3.383124433267852
148,FIRST,3.7137710113038667
149,RC,3.0910663938870226
150,axi,4.576822313868543
151,PARENT,3.7137710113038667
152,classload,5.48599119520574
153,incompat,6.178257221502511
154,WebSphere,4.1111722959167265
155,IncompatibleClassChangeError,4.1111722959167265
156,sphere,1.0665503908408929
157,locat,1.7694284524234143
158,root,3.116274794199147
159,resourc,1.3713990692801261
160,UR,5.304300027082786
161,LocatorFactoryImpl,3.044621905075833
162,getHref,3.044621905075833
163,impl,0.9893467706590603
164,DAV,4.6156179525703855
165,WebDAV,4.394847083458386
166,factori,1.6324090246671106
167,href,3.7137710113038667
168,URLs,4.6156179525703855
169,get,1.6244734934240144
170,broken,3.741997610140483
171,PARALLEL,3.044621905075833
172,severli,3.7137710113038667
173,STRATEGY,3.044621905075833
174,page,2.304739474407692
175,aggreg,0.34318373385913814
176,bind,4.316248333448589
177,BindingException,3.044621905075833
178,XmlBeans,4.6156179525703855
179,bean,2.1893791262904565
180,deriv,4.6156179525703855
181,mess,4.394847083458386
182,render,3.592490758084168
183,new,1.9626717662995237
184,invok,6.638420089906658
185,properli,2.822451014159973
186,clear,1.9335514326833612
187,without,1.1214424906238445
188,PortletURL,3.044621905075833
189,URL,2.813178747584451
190,die,5.639748113405917
191,incub,5.833574769299098
192,updat,1.6142944776283878
193,issu,1.475082432415628
195,Bs,0.6691491062280331
196,BLO,3.044621905075833
197,BLOBs,3.044621905075833
198,XSD,4.6156179525703855
199,BASE,3.7137710113038667
200,BINARY,3.044621905075833
201,problem,3.3400182783301755
203,bridg,1.597431018962443
204,list,1.5857545742143706
206,take,0.5755474435948873
207,util,1.2434757042910842
208,mode,1.7728599957215316
209,long,0.5104924429731583
210,xsd,5.639748113405917
211,rpc,2.846047981103749
212,enc,5.0822003809667144
213,anyType,3.7137710113038667
214,variou,2.259678122006953
215,pluggabl,1.5709960474945526
216,manag,2.1190951082866283
217,bug,2.3770509755639777
218,jar,4.449199945403227
219,lib,2.9000690436569774
220,INF,4.9494563697034755
221,config,3.331574827488257
222,file,2.2448464309208656
223,face,1.7517655930958305
224,found,3.219852298772832
225,WEB,3.7137710113038667
226,string,1.1769791896768949
227,soapenc,3.044621905075833
228,interop,1.7517655930958305
229,instead,1.1386778202359877
231,regress,1.014473243010643
232,previou,0.1807695456012778
233,certain,1.378186705782401
234,content,1.2692046157201962
235,retain,0.1807695456012778
237,sun,5.639748113405917
238,hpp,3.7137710113038667
239,workshop,3.7137710113038667
240,patch,3.740821670943731
241,XalanMemMgrHelper,3.044621905075833
242,helper,4.1111722959167265
244,xalan,4.796387498171663
245,mgr,0.3974012846128594
246,solari,2.0375784758908817
247,directori,2.2944292566655067
248,enumer,1.5709960474945526
249,DirectoryEnumerator,3.044621905075833
250,work,3.4810668611738556
251,argument,2.074229425995933
252,byte,0.9312272424118527
253,mismatch,5.199392593813554
254,lang,2.3566346369646998
255,illeg,6.434419179779837
256,IllegalArgumentException,5.708603314879169
257,insert,1.3631231729699231
258,XalanDOMString,3.044621905075833
259,DOM,5.399257386929924
260,need,2.7906687194059665
261,notif,1.8520432439532533
262,callback,2.154770688737721
263,API,1.8730744967892115
264,enabl,1.5249788710598677
265,fix,2.62014321114109
266,mutex,4.6156179525703855
267,creat,1.883444564477169
268,runtim,2.2818629675591753
270,object,1.3190665494661793
271,XMLPlatformUtils,3.044621905075833
272,XML,3.2102021787080512
273,makeMutex,3.044621905075833
274,make,0.9149106809889216
275,MemoryManager,3.044621905075833
276,annot,2.5005152266508
277,checker,4.796387498171663
278,element,2.7632416971985045
279,control,2.0435748911950404
280,ControlInterface,3.044621905075833
281,interfac,4.148108559437321
282,data,1.308198230406812
283,charact,3.740821670943731
