index,term,score
670,PATCH,8.513465693959766
1470,optim,7.812371706929963
1249,row,7.63139214111292
602,tree,7.493821850479061
963,RTE,7.4709058256438565
986,grid,7.423464753640074
937,blocker,7.386372531254495
801,font,7.294163654943747
1574,slow,7.222761421978804
884,merg,7.207857167927787
829,space,7.129858546793682
1013,sort,7.080002384159295
138,deadlock,7.045345838792123
1739,pom,6.991027263060697
630,grammar,6.933623310076698
769,model,6.913740306714573
34,cast,6.872760037318
106,wsdl,6.872760037318
252,byte,6.830045805503014
2981,scanner,6.830045805503014
851,nest,6.785443576019564
535,ant,6.7146094056338255
889,target,6.689847378566319
1590,fop,6.689847378566319
3565,alloc,6.689847378566319
6972,asterix,6.689847378566319
950,flex,6.664461726626168
523,graphic,6.638420089906658
1612,fo,6.638420089906658
538,codegen,6.611687522567526
930,give,6.611687522567526
934,ZMZ,6.611687522567526
961,child,6.611687522567526
978,scroll,6.611687522567526
1119,color,6.611687522567526
1738,snapshot,6.611687522567526
2047,df,6.611687522567526
84,ClassCastException,6.584226209748842
583,lost,6.584226209748842
942,player,6.555995144654935
976,bar,6.555995144654935
1117,last,6.526949758888318
2959,beta,6.526949758888318
58,RPC,6.466217329774469
1014,inlin,6.466217329774469
1059,rang,6.466217329774469
2071,compar,6.466217329774469
3884,AFP,6.466217329774469
108,declar,6.434419179779837
679,recoveri,6.434419179779837
935,flexstor,6.434419179779837
988,DataGrid,6.434419179779837
1289,seem,6.434419179779837
2170,parallel,6.434419179779837
4052,plan,6.434419179779837
949,embed,6.401583267328184
1198,area,6.401583267328184
1533,constructor,6.401583267328184
3141,DFS,6.401583267328184
436,increas,6.367639334543578
830,width,6.367639334543578
1160,insid,6.367639334543578
1746,transit,6.367639334543578
994,mxml,6.332509738063142
1415,broke,6.332509738063142
1863,svn,6.332509738063142
678,archiv,6.296108376183809
7140,predic,6.296108376183809
542,OM,6.258339413833694
1178,scale,6.258339413833694
1664,metric,6.258339413833694
1775,SNAPSHOT,6.258339413833694
2500,wait,6.258339413833694
513,attach,6.219095757852327
572,webapp,6.219095757852327
936,frogger,6.219095757852327
948,increment,6.219095757852327
205,iter,6.178257221502511
298,menu,6.178257221502511
305,eclips,6.178257221502511
566,latest,6.178257221502511
957,min,6.178257221502511
958,height,6.178257221502511
1076,dispatch,6.178257221502511
1093,sequenc,6.178257221502511
7362,TPC,6.178257221502511
474,small,6.135688298962856
562,convers,6.135688298962856
1068,doubl,6.135688298962856
1189,next,6.135688298962856
1311,border,6.135688298962856
1653,RTF,6.135688298962856
2606,omnibu,6.135688298962856
3451,secondari,6.135688298962856
269,heap,6.091235445920699
306,forrest,6.091235445920699
690,mac,6.091235445920699
999,swc,6.091235445920699
1643,resolut,6.091235445920699
2250,NOTICE,6.091235445920699
2416,calcul,6.091235445920699
4257,HBASE,6.091235445920699
7127,BetaBlocker,6.091235445920699
587,alpha,6.044723728600087
778,copyright,6.044723728600087
1130,old,6.044723728600087
1582,expect,6.044723728600087
2432,equal,6.044723728600087
5588,effici,6.044723728600087
504,comput,5.995952656602354
798,pattern,5.995952656602354
939,MXML,5.995952656602354
954,top,5.995952656602354
956,zorn,5.995952656602354
1203,lot,5.995952656602354
1832,mvn,5.995952656602354
1881,modif,5.995952656602354
1968,timestamp,5.995952656602354
211,rpc,5.94469094873281
969,background,5.94469094873281
1238,roll,5.94469094873281
3622,counter,5.94469094873281
531,left,5.890669886179582
561,bit,5.890669886179582
747,publish,5.890669886179582
1627,rel,5.890669886179582
1641,revis,5.890669886179582
2075,ADB,5.890669886179582
2114,notic,5.890669886179582
4719,gumbo,5.890669886179582
5534,RS,5.890669886179582
6983,tupl,5.890669886179582
126,platform,5.833574769299098
191,incub,5.833574769299098
901,push,5.833574769299098
1062,skin,5.833574769299098
1420,twice,5.833574769299098
1453,detect,5.833574769299098
1913,sql,5.833574769299098
2181,integ,5.833574769299098
2187,channel,5.833574769299098
2334,LICENSE,5.833574769299098
3841,contrib,5.833574769299098
4372,capac,5.833574769299098
4452,estim,5.833574769299098
5954,bloom,5.833574769299098
634,spec,5.773033789240787
647,minor,5.773033789240787
1034,mx,5.773033789240787
1057,dataProvider,5.773033789240787
1848,fast,5.773033789240787
1997,goe,5.773033789240787
2087,kill,5.773033789240787
3119,fetch,5.773033789240787
3906,faster,5.773033789240787
4096,recov,5.773033789240787
4105,HOD,5.773033789240787
6966,perf,5.773033789240787
7165,LSM,5.773033789240787
5,excess,5.708603314879169
52,derbi,5.708603314879169
635,lifecycl,5.708603314879169
735,undefin,5.708603314879169
831,zero,5.708603314879169
979,tile,5.708603314879169
1049,children,5.708603314879169
1096,comment,5.708603314879169
1110,editor,5.708603314879169
1134,focu,5.708603314879169
1161,databind,5.708603314879169
1308,rich,5.708603314879169
1594,marker,5.708603314879169
1624,leader,5.708603314879169
1694,keep,5.708603314879169
2148,writabl,5.708603314879169
3239,MR,5.708603314879169
3886,PS,5.708603314879169
4215,leas,5.708603314879169
4597,chukwa,5.708603314879169
5807,GC,5.708603314879169
6043,cost,5.708603314879169
20,disappear,5.639748113405917
237,sun,5.639748113405917
847,recurs,5.639748113405917
912,rev,5.639748113405917
998,cursor,5.639748113405917
1007,resiz,5.639748113405917
1108,numer,5.639748113405917
1199,TextArea,5.639748113405917
1593,align,5.639748113405917
1732,continuum,5.639748113405917
1741,mojo,5.639748113405917
1802,across,5.639748113405917
