index,term,score
27,ldap,0.18076954560127773
93,secur,2.022810207271919
314,jetti,0.3338384171330896
340,credenti,2.4219172876589896
342,login,0.08673380827581585
343,role,2.3774644346168325
354,HTTP,0.0743161041855652
356,cooki,0.5044456566536598
390,amazon,0.6691491062280333
397,permiss,0.036401361879333544
486,admin,0.5698740437057362
498,sensit,0.40300509564189063
501,subject,0.5044456566536598
552,SSL,2.592239215357401
599,step,1.6854863756260576
663,owner,0.3338384171330896
675,password,1.4687712089928289
920,keystor,1.904834464627642
1019,indic,0.5092107210656149
1372,smoke,0.4015404147132776
1689,mislead,0.6691491062280333
1766,prompt,0.9018469412665191
1774,inject,0.23608763385364126
1829,usernam,0.6886820745124004
1846,authent,1.3933700373118036
1850,executor,2.022802137336272
1954,expos,0.8841183995956229
2155,ui,1.082616486867797
2216,SAML,1.0665503908408929
2218,token,0.3896954511797502
2252,endpoint,1.5167609600709944
2271,secret,2.1547706887377207
2278,mechan,0.2220996461160716
2289,WSS,0.6691491062280333
2291,ToAxisServiceBuilder,0.6691491062280333
2303,hostnam,0.24993622411007896
2390,improp,0.6810760721545194
2435,crypto,0.6873532975083285
2437,TLS,2.1079234619356013
2440,wizard,2.614612503186068
2471,GET,0.9094529436244002
2527,entiti,0.13274401126323934
2542,SSO,0.6691491062280333
2582,restrict,0.9766462910691235
2590,spam,0.6691491062280333
2607,attack,1.368429369662848
2627,author,2.5088045770427034
2640,slave,0.2207708691119997
2893,encrypt,2.380987025700334
2898,protect,0.6896036970340764
2932,arbitrari,0.6873532975083285
3024,SecurityException,0.6691491062280333
3108,XSS,1.7224024733823722
3109,vulner,1.1761390328669794
3293,agent,0.5497360989545249
3309,SASL,1.6854863756260576
3345,HTTPS,0.5837746412431684
3385,httpclient,0.39740128461285934
3513,audit,0.5546092862450892
3797,SET,0.6691491062280333
3921,guest,0.6691491062280333
3955,sandbox,0.4015404147132776
3977,wildcard,0.8382840737867494
4033,granular,1.0665503908408929
4090,programmat,0.6691491062280333
4235,LDAP,1.374818899289014
4311,plain,0.5044456566536598
4420,negoti,0.2836747875416601
4422,auth,0.6285494780873966
4511,hive,0.08702177558181202
4518,trust,1.904834464627642
4542,zookeep,0.26151422817433334
4650,readabl,0.6810760721545194
4676,futon,0.39740128461285934
4693,legaci,1.0665503908408929
4778,constrain,1.3502251783825527
4886,ACLs,0.5044456566536598
4887,AC,0.4015404147132776
4965,TBinaryProtocol,0.6691491062280333
5016,ACL,2.4644862101986447
5054,nagio,0.6691491062280333
5228,princip,1.3393008007911922
5324,cryptographi,0.39740128461285934
5357,destruct,3.7137710113038667
5747,DeveloperBrowser,3.044621905075833
5800,intent,0.6691491062280333
5804,proxy,3.044621905075833
5805,configure,3.044621905075833
5812,WSE,3.044621905075833
5903,CF,0.39740128461285934
5904,enforc,1.1709671717987338
5905,manifold,4.111172295916726
5906,ManifoldCF,4.111172295916726
5907,SearchComponent,3.044621905075833
5910,acl,0.6810760721545194
5928,suscept,0.6691491062280333
5937,april,0.6691491062280333
6013,fixat,3.044621905075833
6118,grant,0.8382840737867494
6132,FSPermission,3.044621905075833
6296,ssl,1.2356853583996086
6314,nodetool,0.39740128461285934
6332,JAAS,1.2356853583996086
6347,isol,1.0665503908408929
6452,realm,0.6810760721545194
6475,harden,4.111172295916726
6476,foundat,3.044621905075833
6502,UserGroupInformation,0.6691491062280333
6518,analysi,0.2207708691119997
6526,tenant,0.6691491062280333
6532,certif,2.5053247465484607
6549,PCI,3.044621905075833
6559,oasi,3.7137710113038667
6560,wssecur,3.7137710113038667
6561,wss,4.111172295916726
6562,secext,3.7137710113038667
6563,WSEC,3.044621905075833
6564,wsspi,3.044621905075833
6565,SOAPFaultException,3.044621905075833
6566,SoapSecurityException,3.044621905075833
6567,nonc,3.044621905075833
6568,DigestScheme,3.044621905075833
6593,PropertiesLoginModule,3.7137710113038667
6596,axisfault,3.044621905075833
6598,DANE,3.044621905075833
6603,XMLEncryptionException,3.044621905075833
6604,nvelop,3.044621905075833
6605,WSSecurityException,4.111172295916726
6606,WSEncryptBody,3.7137710113038667
6607,WSSignE,3.044621905075833
6618,multipli,3.044621905075833
6619,asymmetr,3.7137710113038667
6622,GuestLoginModule,3.044621905075833
6632,grain,0.2207708691119997
6636,SSLPeerUnverifiedException,3.044621905075833
6637,unverifi,3.044621905075833
6671,TSSL,0.6691491062280333
6673,TSSLSocket,0.6691491062280333
6676,jspwiki,3.044621905075833
6677,ClientAccessControl,3.044621905075833
6678,kerbero,3.349051493836063
6689,YARN,0.5837746412431684
6710,denial,4.6156179525703855
6712,parentFolderPlaceholder,3.044621905075833
6713,XSRF,3.044621905075833
6714,XSSI,3.044621905075833
6734,UsernameTokenValidator,3.044621905075833
6754,affili,3.044621905075833
6766,JInInterceptor,3.044621905075833
6770,plaintext,4.111172295916726
6777,tamper,3.044621905075833
6778,SessionAware,3.044621905075833
6792,RADIUS,3.044621905075833
6801,SWARM,3.044621905075833
6802,WASP,3.044621905075833
6803,requisit,3.044621905075833
6804,seuriti,3.044621905075833
6813,hcat,0.6691491062280333
6819,fragil,3.044621905075833
6820,unduli,3.044621905075833
6842,HMAC,4.111172295916726
6843,TProtocol,3.044621905075833
6844,TMessage,3.044621905075833
6861,webconsol,3.044621905075833
6862,itsself,3.044621905075833
6863,PingRequestHandler,3.044621905075833
6864,RSA,3.044621905075833
6865,libcloud,3.7137710113038667
6866,CSRF,4.9494563697034755
6867,DaveX,3.044621905075833
6868,dave,3.044621905075833
6869,cloudera,3.044621905075833
6870,ecommerc,3.044621905075833
6872,PAX,3.044621905075833
6873,OPS,3.044621905075833
6874,renew,4.6156179525703855
6875,TGT,4.394847083458386
6876,AuthFailed,3.044621905075833
6880,NodeManager,4.394847083458386
6881,callabl,3.044621905075833
6883,WhitelistOnly,3.044621905075833
6884,whitelist,3.7137710113038667
6885,randomwalk,3.7137710113038667
6886,replicator,3.044621905075833
6888,AJP,3.044621905075833
6889,obfusc,4.111172295916726
6890,unprivileg,3.7137710113038667
6891,addus,3.044621905075833
6892,jaa,3.7137710113038667
6893,CryptoMapper,4.6156179525703855
