id,key,proc_summary,target_Security,target_Performance
29261,JS2-180,  allBuild not build gem project build not build gem project,0,0
29526,AXIS-1771,  excess memori use serial deseri excess memori use serial deseri,0,0
29581,JELLY-197,  groundless unit test suit groundless unit test suit,0,0
29690,JS2-202,  chang languag caus portlet titl eventu disappear chang languag caus portlet titl eventu disappear,0,0
29691,AXIS-1787,  bad gener WSDL document liter bad gener WSDL document liter,0,0
29767,DIRSERVER-214,  ClassCast excpet org apach ldap common berlib asn SnickersEncoder class cast excpet org apach ldap common berlib asn snicker encod,0,0
29798,DIRSERVER-198,  digest throw EmptyStackException even result OK digest throw empti stack except even result OK,0,0
29871,DERBY-137,  derbi metadata alway return JDBC result set even JDBC result set requir derbi metadata alway return JDBC result set even JDBC result set requir,0,0
29929,DIRSERVER-42,  project not compil project not compil,0,0
30205,AXISCPP-449,  client except not gener RPC style WSDLs client except not gener RPC style WSD Ls,0,0
30277,AXISCPP-459,  RPC style gener code not copil RPC style gener code not copil,0,0
30313,AXIS-1827,  unnecessari empti valu attribut xmln envelop paramet valu unnecessari empti valu attribut xmln envelop paramet valu,0,0
30406,XMLBEANS-110,  XPath evalu construct document path evalu construct document,0,0
30599,AXIS-1838,  array deseri array deseri,0,0
30620,XERCESC-1365,  migrat CVS SVN migrat CVS SVN,0,0
30621,XERCESC-1366,  send CVS migrat request email infrastructur apach send CVS migrat request email infrastructur apach,0,0
30736,MYFACES-123,  UIComponentTag break portlet support ClassCastException UI compon tag break portlet support class cast except,0,0
30752,GERONIMO-604,  gbean error start configur org apach geronimo secur gbean error start configur org apach geronimo secur,0,0
30818,JCR-62,  import must not ignor xml prefix attribut import must not ignor xml prefix attribut,0,0
30854,XERCESC-1377,  error SAXParser invalid namespac error SAX parser invalid namespac,0,0
30861,AXIS-1869,  wsdl java emit code use wrong xml type case declar simpleTypes wsdl java emit code use wrong xml type case declar simpl type,0,0
30901,AXIS-1875,  serializ JavaServiceDesc et serializ java servic desc et,0,0
30933,AXIS-1878,  serializ OperationDesc method instanc serializ oper desc method instanc,0,0
31046,NUTCH-15,  ipc client timeout configur ipc client timeout configur,0,0
31056,AXISCPP-569,  server engin fail compil platform nightli build system server engin fail compil platform nightli build system,0,0
31058,AXIS-1891,  expand java wsdl support start java wrap style web servic expand java wsdl support start java wrap style web servic,0,0
31126,AXIS-1900,  WSDL JAva fail SQL report servic WSDL ava fail SQL report servic,0,0
31127,DIRMINA-12,  time depend deadlock time depend deadlock,0,0
31145,DIRSERVER-193,  search request BER parser incorrectli pars complex filter search request BER parser incorrectli pars complex filter,0,0
31226,AXIS-1903,  IncompatibleClassChangeError deploy axi RC WebSphere PARENT_FIRST classload incompat class chang error deploy axi RC web sphere PARENT FIRST classload,0,0
31228,JCR-84,  WebDAV LocatorFactoryImpl locat getHref construct root resourc URLs incorrectli web DAV locat factori impl locat get href construct root resourc UR Ls incorrectli,0,0
31361,JS2-226,  page aggreg use STRATEGY_PARALLEL severli broken page aggreg use STRATEGY PARALLEL severli broken,0,0
31444,XMLBEANS-142,  XmlBeans web servic BindingException xml bean web servic bind except,0,0
31519,AXIS-1919,  deseri deriv type get mess deseri deriv type get mess,0,0
31577,JS2-231,  render paramet not clear properli new PortletURL without paramet invok render paramet not clear properli new portlet URL without paramet invok,0,0
31615,GERONIMO-627,  geronimo incub web page must die geronimo incub web page must die,0,0
31620,DERBY-217,  issu BLOBs batch updat issu BLO Bs batch updat,0,0
31726,AXISCPP-615,  wrong serial type XSD_BASE BINARY wrong serial type XSD BASE BINARY,0,0
31794,OJB-26,  JDBC ODBC bridg problem JDBC ODBC bridg problem,0,0
31806,IBATIS-112,  use iter tag take java util list result error use iter tag take java util list result error,0,0
31866,AXIS-1942,  RC rpc enc mode encod long xsd anyType broken RC RC rpc enc mode encod long xsd type broken RC,0,0
31918,XALANC-492,  variou pluggabl memori manag bug variou pluggabl memori manag bug,0,0
31930,MYFACES-208,  face config xml found jar file locat WEB INF lib face config xml found jar file locat WEB INF lib,0,0
32024,AXIS-1954,  NET interop string encod soapenc string instead xsd string NET interop string encod soapenc string instead xsd string,0,0
32121,AXIS-1966,  NET interop rpc encod array array regress RC NET interop rpc encod array array regress RC,0,0
32133,JS2-252,  fragment retain previou content certain case fragment retain previou content certain case,0,0
32241,XALANC-504,  sun workshop patch XalanMemMgrHelper hpp sun workshop patch xalan mem mgr helper hpp,0,0
32246,XALANC-505,  DirectoryEnumerator hpp not build solari sun workshop directori enumer hpp not build solari sun workshop,0,0
32383,AXIS-1985,  array array work not array array work not,0,0
32386,AXIS-1986,  java lang IllegalArgumentException argument type mismatch deseri byte java lang illeg argument except argument type mismatch deseri byte,0,0
32494,XALANC-515,  XalanDOMString insert broken xalan DOM string insert broken,0,0
32629,DIRMINA-40,  filter API need callback enabl notif filter API need callback enabl notif,0,0
32630,AXISCPP-648,  fix build break fix build break,0,0
32683,XERCESC-1420,  XMLPlatformUtils makeMutex creat mutex object use runtim heap instead use MemoryManager instanc XML platform util make mutex creat mutex object use runtim heap instead use memori manag instanc,0,0
32842,BEEHIVE-758,  checker element ControlInterface annot not work checker element control interfac annot not work,0,0
32947,AXIS-2021,  string array regress caus SAXException found charact data string array regress caus SAX except found charact data,0,0
32949,JS2-268,  persist PageLocalizedFieldImpl object PSML omit xml lang attribut persist page local field impl object PSML omit xml lang attribut,0,0
32974,CACTUS-214,  add cargo depend add cargo depend,0,0
33056,AXIS-2033,  bug CommonsHttpClient final nigthli build RC work fine bug common http client final nigthli build RC work fine,0,0
12310798,FOR-443,  menu disappear menu disappear,0,0
12310818,FOR-450,  input plugin broken input plugin broken,0,0
12310995,FOR-500,  ensur support librari correspond licens ensur support librari correspond licens,0,0
12311002,FOR-503,  org burrokeet serveletEngine requir eclips plugin forrest org burrokeet servelet engin requir eclips plugin forrest,0,0
12311160,FOR-528,  add version control plugin add version control plugin,0,0
12311180,GERONIMO-666,  addWebservice call SoapHandler JettyContainerImpl need support virtual host add webservic call soap handler jetti contain impl need support virtual host,0,0
12311203,BEEHIVE-800,  need upgrad XMLBeans due binari incompat need upgrad XML bean due binari incompat,0,0
12311236,JS2-280,  default valu xml lang attribut portlet xml english see descript default valu xml lang attribut portlet xml english see descript,0,0
12311298,AXIS-2049,  wrong xsi type handl complex type wrong xsi type handl complex type,0,0
12311305,AXIS-2050,  NET interop failur array complex type NET interop failur array complex type,0,0
12311347,PB-17,  remov jetspe rewrit compon depend perl bridg remov jetspe rewrit compon depend perl bridg,0,0
12311403,GERONIMO-677,  repeat login session invalid differ credenti result incorrect role set LOGIN MODULES REUSED repeat login session invalid differ credenti result incorrect role set LOGIN MODULES REUSED,0,0
12311435,FOR-544,  updat plugin doc deploy updat plugin doc deploy,0,0
12311481,NUTCH-63,  distribut search client gener much log statement distribut search client gener much log statement,0,0
12311501,AXIS-2064,  format multi cooki HTTP request head format multi cooki HTTP request head,0,0
12311543,DIRSERVER-296,  run search user via ldapsearch throw NoSuchMethodError run search user via ldapsearch throw No method error,0,0
12311548,MYFACES-288,  DataTable facet bug data tabl facet bug,0,0
12311694,AXIS2-45,  SOAP messag send axi SOAP SOAP not handl SOAP messag send axi SOAP SOAP not handl,0,0
12311711,DIRSERVER-306,  modifyRdn server add addit rdn attribut modifi rdn server add addit rdn attribut,0,0
12311764,MYFACES-293,  JSCookMenu action work sun JSF RI JS cook menu action work sun JSF RI,0,0
12311876,AXIS-2098,  xsi type ad deriv simpl type xsi type ad deriv simpl type,0,0
12312046,AXIS-2103,  WSDL java gener doc lit proxi send xsi type attribut WSDL java gener doc lit proxi send xsi type attribut,0,0
12312047,MYFACES-310,  HtmlLinkRendererBase not work custom compon not extend HtmlCommandLink html link render base not work custom compon not extend html command link,0,0
12312108,AXIS-2107,  amazon WSDL miss class declar amazon WSDL miss class declar,0,0
12312163,AXIS-2113,  WSDL gener not work paypal WSDL gener not work paypal,0,0
12312170,AXIS-2114,  GeoCoder failur geo coder failur,0,0
12312174,AXIS-2145,  axi client crash applet unless new permiss ad polici file custom secur manag use axi client crash applet unless new permiss ad polici file custom secur manag use,0,0
12312179,AXIS-2115,  axi fail deseri xs date respons axi fail deseri xs date respons,0,0
12312274,AXIS-2121,  CLONE IncompatibleClassChangeError deploy axi RC WebSphere PARENT_FIRST classload CLONE incompat class chang error deploy axi RC web sphere PARENT FIRST classload,0,0
12312324,GERONIMO-763,  provid ident jetti tomcat assembl altern provid ident jetti tomcat assembl altern,0,0
12312385,AXIS-2127,  schema version mismatch schema version mismatch,0,0
12312412,JDO-95,  JDO API not compat JRE JDO API not compat JRE,0,0
