issue_id,summary,description,target_Security,target_Performance
12, add addit transit state add addit transit state, run server daemon current state START STARTED would nice transit state STARTING STOPPING run server daemon current state START STARTED would nice transit state STARTING STOPPING,0 ,0 
46, preserv cluster id blueprint name blueprint revis agent local disk preserv cluster id blueprint name blueprint revis agent local disk, agent execut command behav control agent store cluster id blueprint name blueprint revis local disk keep track current deploy state agent agent execut command behav control agent store cluster id blueprint name blueprint revis local disk keep track current deploy state agent,0 ,0 
92, agent retri heartbeat messag control not receiv heartbeat agent retri heartbeat messag control not receiv heartbeat, heartbeat not receiv correctli control retri heartbeat not receiv correctli control retri,0 ,0 
103, remov agent entiti bean public schema xsd remov agent entiti bean public schema xsd, agent entiti bean locat ambari client org apach ambari common rest entiti agent henc schema xsd gener public rest api includ agent entiti bean move org apach ambari common rest agent exclud agent entiti expos public agent entiti bean locat ambari client org apach ambari common rest entiti agent henc schema xsd gener public rest api includ agent entiti bean move org apach ambari common rest agent exclud agent entiti expos public,0 ,0 
192, check NN safemod restart check NN safemod restart, no check safemod reconfigur cluster no check safemod reconfigur cluster,0 ,0 
198, depend templeton hcat client depend templeton hcat client, hcat client instal templeton server node hcat client instal templeton server node,0 ,0 
199, remov import mysql puppet modul manifest remov import mysql puppet modul manifest, remov import mysql puppet modul manifest modul deprec remov import mysql puppet modul manifest modul deprec,0 ,0 
202, add check verifi jdk path instal add check verifi jdk path instal, jdk instal not valid path caus problem servic start later stage jdk instal not valid path caus problem servic start later stage,0 ,0 
207, PHP notic undefin variabl manifest usr share hmc php puppet genmanifest hostsConfig php PHP notic undefin variabl manifest usr share hmc php puppet genmanifest host config php, undefin variabl use undefin variabl use,0 ,0 
208, support filter host base discoveri statu support filter host base discoveri statu, api get host allow filter bad host api get host allow filter bad host,0 ,0 
217, alert tabl right need tie visual verbal context content display alert tabl right need tie visual verbal context content display, current dashboard servic entri click right side alert tabl caption not indic show alert relat servic cpation tabl chang indic correspond servic name current dashboard servic entri click right side alert tabl caption not indic show alert relat servic cpation tabl chang indic correspond servic name,0 ,0 
222, remov word alert nagio alert descript remov word alert nagio alert descript, sort redund sort redund,0 ,0 
226, make daemon name field name consist make daemon name field name consist, follow name need consist hdf gt HDFS mapreduc gt MapReduce zookeep gt ZooKeeper HADOOP gt hadoop follow name need consist hdf gt HDFS mapreduc gt map reduc zookeep gt zoo keeper HADOOP gt hadoop,0 ,0 
232, enabl LZO show checkbox instead text enabl LZO show checkbox instead text, current enabl lzo option show text box need fill true fals chang UI element checkbox current enabl lzo option show text box need fill true fals chang UI element checkbox,0 ,0 
236, increas puppet agent timeout increas puppet agent timeout, puppet agent timeout increas sometim possibl due bug rubi puppet master take long time compil send back catalog puppet agent timeout increas sometim possibl due bug rubi puppet master take long time compil send back catalog,0 ,0 
237, refactor puppet kick loop easili chang retri timeout refactor puppet kick loop easili chang retri timeout, refactor puppet kick loop easili chang retri timeout refactor puppet kick loop easili chang retri timeout,0 ,1 
245, support data cleanup instal fail support data cleanup instal fail, need support data cleanup cluster instal case failur need support data cleanup cluster instal case failur,0 ,0 
247, replac index php cluster php replac index php cluster php, like titl say overwrit index php content cluster php make sure add link AddNodesWizard well like titl say overwrit index php content cluster php make sure add link add node wizard well,0 ,0 
249, uninstal support UI uninstal support UI, uninstal wipeout support UI uninstal wipeout support UI,0 ,0 
252, remov playground file HMC remov playground file HMC, bunch temporari playground file got wrongli commit HMC codebas remov get thing cleaner state least face thing bunch temporari playground file got wrongli commit HMC codebas remov get thing cleaner state least face thing,0 ,0 
253, support uninstal state mysql modul support uninstal state mysql modul, current no support uninstal mysql packag current no support uninstal mysql packag,0 ,0 
255, renam reloc file appropri renam reloc file appropri, imag html directori imag html file whose extens chang htmli would nice clean imag html directori imag html file whose extens chang htmli would nice clean,0 ,0 
256, updat hive config enabl author updat hive config enabl author, etc hive conf hive site xml lt properti gt lt name gt hive secur author enabl lt name gt lt valu gt true lt valu gt lt descript gt enabl disabl hive client author lt descript gt lt properti gt lt properti gt lt name gt hive secur author manag lt name gt lt valu gt org apach hcatalog secur HdfsAuthorizationProvider lt valu gt lt descript gt hive client author manag class name user defin author class implement interfac org apach hadoop hive ql secur author HiveAuthorizationProvider lt descript gt lt properti gt etc hive conf hive env sh add export HIVE_AUX_JARS_PATH usr lib hcatalog share hcatalog hcatalog jar etc hive conf hive site xml lt properti gt lt name gt hive secur author enabl lt name gt lt valu gt true lt valu gt lt descript gt enabl disabl hive client author lt descript gt lt properti gt lt properti gt lt name gt hive secur author manag lt name gt lt valu gt org apach hcatalog secur hdf author provid lt valu gt lt descript gt hive client author manag class name user defin author class implement interfac org apach hadoop hive ql secur author hive author provid lt descript gt lt properti gt etc hive conf hive env sh add export HIVE AUX JARS PATH usr lib hcatalog share hcatalog hcatalog jar,0 ,0 
257, manag servic section empti section no client compon instal manag servic section empti section no client compon instal, manag servic page section client servic no long run process user no compon head no content mayb hide head no servic present manag servic page section client servic no long run process user no compon head no content mayb hide head no servic present,0 ,0 
262, init wizard advanc config valid error bypass init wizard advanc config valid error bypass, make naigo password type password differ caus valid error let user move next screen ignor valid error page make naigo password type password differ caus valid error let user move next screen ignor valid error page,0 ,0 
264, nagio admin contact check ensur alway email address nagio admin contact check ensur alway email address,,0 ,0 
274, templeton data hdf need readabl user templeton data hdf need readabl user, content user templeton dir bash hadoop df ls user templetonFound item rw templeton hdf user templeton hadoop stream jar rw templeton hdf user templeton hive tar gz rw templeton hdf user templeton pig tar gz rw templeton hdf user templeton ugi jarOnly templeton user use jar content user templeton dir bash hadoop df ls user templeton found item rw templeton hdf user templeton hadoop stream jar rw templeton hdf user templeton hive tar gz rw templeton hdf user templeton pig tar gz rw templeton hdf user templeton ugi jar templeton user use jar,0 ,0 
276, updat HDFS paramet configur descript updat HDFS paramet configur descript, updat short descript tooltip long descript follow chang text affect WebUI follow filesystem gt file system HDFS append enabl gt append enabl HDFS WebHDFS enabl gt WebHDFS enabl hadoop maximum java heap size gt hadoop maximum java heap size MB java heap size slave daemon gt maximum java heap size daemon balanc MB xmx NameNode maximum java heap size gt NameNode initi java heap size MB java heap size NameNode gt initi minimum java heap size NameNode MB xm hadoop young gener heap size gt NameNode new gener size MB maximum size new gener java heap size gt default size java new gener MB NameNode XX NewSize DataNode java heap size gt DataNode maximum java heap size MB java heap size DataNode gt maximum java heap size DataNode MB xmx updat short descript tooltip long descript follow chang text affect web UI follow filesystem gt file system HDFS append enabl gt append enabl HDFS web HDFS enabl gt web HDFS enabl hadoop maximum java heap size gt hadoop maximum java heap size MB java heap size slave daemon gt maximum java heap size daemon balanc MB xmx name node maximum java heap size gt name node initi java heap size MB java heap size name node gt initi minimum java heap size name node MB xm hadoop young gener heap size gt name node new gener size MB maximum size new gener java heap size gt default size java new gener MB name node XX new size data node java heap size gt data node maximum java heap size MB java heap size data node gt maximum java heap size data node MB xmx,0 ,0 
280, cleanup util cleanup util, need api UI figur statu cluster need api UI figur statu cluster,0 ,0 
283, fixup review deploy render fixup review deploy render, current render review deploy page messi current render review deploy page messi,0 ,0 
287, add link uninstal index page add link uninstal index page, uninstal link hook index page uninstal link hook index page,0 ,0 
