issue_id,summary,description,target_Security,target_Performance
5, network server protocol error select fail order specifi network server protocol error select fail order specifi, report armi file derbi dev list use network server one tri execut select statement fail SQL except ex divid zero order claus specifi part select server throw distribut protocol except instead appropri error repro use ij util ij gt connect jdbc derbi net localhost myDB user password ij gt creat tabl int int row insert updat deletedij gt insert valu row insert updat delet without order fine gt attempt divid zero fine ij gt select fn mod ERROR DB SQL error SQLCODE SQLSTATE SQLERRMC order die ij gt select fn mod order ERROR execut fail due distribut protocol error caus dealloc convers DRDA data stream syntax error detect reason NOTES problem DRDAConnThread java file processCommands method case CodePoint OPNQRY block code case SQL except call writer clearBuffer use ensur OPNQFLRM sent back client not OPNQRYRM QRYDSC may written buffer OPNQFLRM call clearBuffer replac someth smarter instead full clear caus problem shown back buffer write made sinc begin case CodePoint OPNQRY block report armi file derbi dev list use network server one tri execut select statement fail SQL except ex divid zero order claus specifi part select server throw distribut protocol except instead appropri error repro use ij util ij gt connect jdbc derbi net localhost DB user password ij gt creat tabl int int row insert updat deletedij gt insert valu row insert updat delet without order fine gt attempt divid zero fine ij gt select fn mod ERROR DB SQL error SQLCODE SQLSTATE SQLERRMC order die ij gt select fn mod order ERROR execut fail due distribut protocol error caus dealloc convers DRDA data stream syntax error detect reason NOTES problem DRDA conn thread java file process command method case code point OPNQRY block code case SQL except call writer clear buffer use ensur OPNQFLRM sent back client not OPNQRYRM QRYDSC may written buffer OPNQFLRM call clear buffer replac someth smarter instead full clear caus problem shown back buffer write made sinc begin case code point OPNQRY block,0,0
19, NPE tri creat databas directori not allow NPE tri creat databas directori not allow, open bug behalf daniel debrunn bug occur embed derbi derbi network server derbi network server might best secur except thrown tri creat databas disallow directori SQLSTATE bug reproduc IJ like drive inaccess disk CD ROM ij gt connect jdbc derbi wombat creat true ERROR XJ fail creat databas wombat open bug behalf daniel debrunn bug occur embed derbi derbi network server derbi network server might best secur except thrown tri creat databas disallow directori SQLSTATE bug reproduc IJ like drive inaccess disk CD ROM ij gt connect jdbc derbi wombat creat true ERROR XJ fail creat databas wombat,0,0
38, make LOCKS non reserv keyword derbi sinc not reserv keyword SQL standard make LOCKS non reserv keyword derbi sinc not reserv keyword SQL standard, sinc LOCKS not reserv keyword SQL standard derbi not make LOCKS reserv keyword sinc LOCKS not reserv keyword SQL standard derbi not make LOCKS reserv keyword,0,0
42, use encrypt not store length inform extern key servic properti use encrypt not store length inform extern key servic properti, use derbi databas encrypt provis provid key use encrypt extern key case key not store databas ad secur not use inform extern key use encrypt databas servic properti right key length store servic properti not store servic properti use derbi databas encrypt provis provid key use encrypt extern key case key not store databas ad secur not use inform extern key use encrypt databas servic properti right key length store servic properti not store servic properti,1,0
44, support like escap support like escap, request support forSelect foo like escap function work JDBC RDBMS combo includ DB DB univers driver function benefici tool well appserv gener SQL EJBQL request support select foo like escap function work JDBC RDBMS combo includ DB DB univers driver function benefici tool well appserv gener SQL EJBQL,0,0
45, request support CAST like claus request support CAST like claus, request support CAST like claus exampl select ID QUANTITY NAME PRICE PNUM PRODUCTEJB_TABLE NAME like CAST VARCHAR support DB eas migrat DB derbi request support CAST like claus exampl select ID QUANTITY NAME PRICE PNUM PRODUCTEJB TABLE NAME like CAST VARCHAR support DB eas migrat DB derbi,0,0
85, NPE creat trigger tabl default schema exist NPE creat trigger tabl default schema exist, BACKGROUND connect derbi db user id password default schema USER exampl connect ij gt connect jdbc derbi myDB user someUser password somePwd default schema SOMEUSER PROBLEM turn tabl exist non default schema default schema case SOMEUSER exist yet no object creat schema attempt creat trigger use qualifi name lead null pointer except derbi engin REPRO ij creat databas default schema SOMEUSER ij gt connect jdbc derbi myDB creat true user someUser password somePwd creat tabl non default schema case call ITKO ij gt creat tabl itko int row insert updat delet schema ITKO exist exist schema ITKO default schema SOMEUSER NOT exist creat object schema yet tri creat trigger ITKO non default schema ij gt creat trigger trig updat itko row mode db sql select sy systabl ERROR XJ java except java lang NullPointerException look derbi log file show stack trace given word look like compil schema field SYS SYSTRIGGERS get set end null caus NPE subsequ process java lang NullPointerException org apach derbi impl sql catalog SYSSTATEMENTSRowFactory makeSYSSTATEMENTSrow SYSSTATEMENTSRowFactory java org apach derbi impl sql catalog DataDictionaryImpl addSPSDescriptor DataDictionaryImpl java org apach derbi impl sql execut CreateTriggerConstantAction createSPS CreateTriggerConstantAction java org apach derbi impl sql execut CreateTriggerConstantAction executeConstantAction CreateTriggerConstantAction java org apach derbi impl sql execut MiscResultSet open MiscResultSet java org apach derbi impl sql GenericPreparedStatement execut GenericPreparedStatement java org apach derbi impl jdbc EmbedStatement executeStatement EmbedStatement java org apach derbi impl jdbc EmbedStatement execut EmbedStatement java org apach derbi impl jdbc EmbedStatement execut EmbedStatement java org apach derbi impl tool ij ij executeImmediate ij java org apach derbi impl tool ij utilMain doCatch utilMain java org apach derbi impl tool ij utilMain go utilMain java org apach derbi impl tool ij main go main java org apach derbi impl tool ij main mainCore main java org apach derbi impl tool ij main main main java org apach derbi tool ij main ij java BACKGROUND connect derbi db user id password default schema USER exampl connect ij gt connect jdbc derbi DB user user password pwd default schema SOMEUSER PROBLEM turn tabl exist non default schema default schema case SOMEUSER exist yet no object creat schema attempt creat trigger use qualifi name lead null pointer except derbi engin REPRO ij creat databas default schema SOMEUSER ij gt connect jdbc derbi DB creat true user user password pwd creat tabl non default schema case call ITKO ij gt creat tabl itko int row insert updat delet schema ITKO exist exist schema ITKO default schema SOMEUSER NOT exist creat object schema yet tri creat trigger ITKO non default schema ij gt creat trigger trig updat itko row mode db sql select sy systabl ERROR XJ java except java lang null pointer except look derbi log file show stack trace given word look like compil schema field SYS SYSTRIGGERS get set end null caus NPE subsequ process java lang null pointer except org apach derbi impl sql catalog SYSSTATEMENTS row factori make SYSSTATEMENT srow SYSSTATEMENTS row factori java org apach derbi impl sql catalog data dictionari impl add SPS descriptor data dictionari impl java org apach derbi impl sql execut creat trigger constant action creat SPS creat trigger constant action java org apach derbi impl sql execut creat trigger constant action execut constant action creat trigger constant action java org apach derbi impl sql execut misc result set open misc result set java org apach derbi impl sql gener prepar statement execut gener prepar statement java org apach derbi impl jdbc emb statement execut statement emb statement java org apach derbi impl jdbc emb statement execut emb statement java org apach derbi impl jdbc emb statement execut emb statement java org apach derbi impl tool ij ij execut immedi ij java org apach derbi impl tool ij util main catch util main java org apach derbi impl tool ij util main go util main java org apach derbi impl tool ij main go main java org apach derbi impl tool ij main main core main java org apach derbi impl tool ij main main main java org apach derbi tool ij main ij java,0,0
88, RunSuite summari round incorrectli run suit summari round incorrectli, exampl output RunSuite report file test run pass test pass fail test fail singl failur not lead fail pass round pass percentag round fail percentag exampl output run suit report file test run pass test pass fail test fail singl failur not lead fail pass round pass percentag round fail percentag,0,0
90, dblook display messag key instead associ text dblook display messag key instead associ text, use derbi version execut java org apach derbi tool dblookinstead get usag messag get CSLOOK_UsageSimilarly use dblook gener databas schema output text contain key one instead associ text CSLOOK_Timestamp lt gt CSLOOK_DBName lt sampl gt CSLOOK_DBUrl lt jdbc derbi sampl gt appendLogs fals CSLOOK_SchemasHeader CREATE SCHEMA SAMP CSLOOK_TablesHeader CREATE TABLE SAMP IN_TRAY RECEIVED TIMESTAMP SOURCE CHAR SUBJECT CHAR NOTE_TEXT VARCHAR use derbi version execut java org apach derbi tool dblookinstead get usag messag get CSLOOK usag similarli use dblook gener databas schema output text contain key one instead associ text CSLOOK timestamp lt gt CSLOOK DB name lt sampl gt CSLOOK DB url lt jdbc derbi sampl gt append log fals CSLOOK schema header CREATE SCHEMA SAMP CSLOOK tabl header CREATE TABLE SAMP TRAY RECEIVED TIMESTAMP SOURCE CHAR SUBJECT CHAR NOTE TEXT VARCHAR,0,0
94, lock not releas properli possibl relat occur lock escal lock not releas properli possibl relat occur lock escal, follow scenario lt code snippet gt string sel select UPDATE PreparedStatement ps conn prepareStatement sel int val ps setMaxRows val ResultSet rs ps executeQuery string in updat set CURRENT rs getCursorName PreparedStatement ps conn prepareStatement in ps setInt iter rs next ps executeUpdate print lock tabl inform system println lock tabl commit transact printLockTable conn conn commit lt end code snippet gt run transact twice caus lock timeout second time seem like lock not releas properli tabl even transact commit connect close also condit seem happen lock escal tabl lock occur increas lock escal threshold prevent lock escal row level lock lock releas properli print lock inform see row level lock tabl also tabl level lock result lock escal commit resultset close row level lock not releas thu second iter test unreleas row level lock caus lock timeout happen case second iter test lock tabl show previou row lock null transact id not right transact run default isol level read commit default lock escal threshold set http incub apach org derbi manual tune perf html IDX attach program reproduct reproduc problem less number row tabl pleas run program follow derbi properti set derbi lock deadlockTrace truederbi lock escalationThreshold follow scenario lt code snippet gt string sel select UPDATE prepar statement ps conn prepar statement sel int val ps set max row val result set rs ps execut queri string in updat set CURRENT rs get cursor name prepar statement ps conn prepar statement in ps set int iter rs next ps execut updat print lock tabl inform system println lock tabl commit transact print lock tabl conn conn commit lt end code snippet gt run transact twice caus lock timeout second time seem like lock not releas properli tabl even transact commit connect close also condit seem happen lock escal tabl lock occur increas lock escal threshold prevent lock escal row level lock lock releas properli print lock inform see row level lock tabl also tabl level lock result lock escal commit resultset close row level lock not releas thu second iter test unreleas row level lock caus lock timeout happen case second iter test lock tabl show previou row lock null transact id not right transact run default isol level read commit default lock escal threshold set http incub apach org derbi manual tune perf html IDX attach program reproduct reproduc problem less number row tabl pleas run program follow derbi properti set derbi lock deadlock trace truederbi lock escal threshold,0,0
